probability_threshold,error_threshold_px,uncertainty_threshold_px,SCARED-C_raw_epe,SCARED-C_a2_epe,SCARED-C_refined_epe,SCARED-C_epe_gain,SCARED-C_retained_a2_gain,SCARED-C_intervention_coverage,SCARED-C_intervention_precision,SCARED-C_false_update_rate,SCARED-C_clean_degradation,D4D_raw_epe,D4D_a2_epe,D4D_refined_epe,D4D_epe_gain,D4D_retained_a2_gain,D4D_intervention_coverage,D4D_intervention_precision,D4D_false_update_rate,D4D_clean_degradation
0.5,1.0,1.0,0.19187043607234955,0.18235889077186584,0.1906931847333908,0.0011772513389587402,0.12377077559614544,0.0029128460501009522,0.828310502283105,0.0008274082098362844,0.00038311086018469976,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,2.0,0.19187043607234955,0.18235889077186584,0.1898413598537445,0.0020290762186050415,0.21332771432018036,0.006860483984666991,0.7372043427685149,0.0016847143633893422,0.0008698215718531023,0.882704496383667,0.8472868204116821,0.8829061985015869,-0.00020170211791992188,-0.005694956328570707,0.00044777790216052836,0.0,0.0004623208506703652,0.0004623208506703652
0.65,0.25,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.25,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.25,1.0,0.19187043607234955,0.18235889077186584,0.19187119603157043,-7.599592208862305e-07,-7.989860710094954e-05,1.3300666895438137e-06,0.5,6.953010166691466e-07,6.953010166691466e-07,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.25,2.0,0.19187043607234955,0.18235889077186584,0.19184009730815887,3.0338764190673828e-05,0.003189677726618299,6.051803437424352e-05,0.7802197802197802,1.1124816266706346e-05,1.0429515250037199e-05,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.5,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.5,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.5,1.0,0.19187043607234955,0.18235889077186584,0.19187119603157043,-7.599592208862305e-07,-7.989860710094954e-05,1.3300666895438137e-06,0.5,6.953010166691466e-07,6.953010166691466e-07,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.5,2.0,0.19187043607234955,0.18235889077186584,0.19184009730815887,3.0338764190673828e-05,0.003189677726618299,6.051803437424352e-05,0.7802197802197802,1.1124816266706346e-05,1.0429515250037199e-05,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.65,1.0,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.65,1.0,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.65,1.0,1.0,0.19187043607234955,0.18235889077186584,0.19187119603157043,-7.599592208862305e-07,-7.989860710094954e-05,1.3300666895438137e-06,0.5,6.953010166691466e-07,6.953010166691466e-07,0.882704496383667,0.8472868204116821,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
