stage,backbone,oracle_family,oracle_type,support_contract,row_count,base_count,support_count,raw_error_sum,oracle_error_sum,support_coverage,raw_epe,oracle_epe,oracle_gain
test,S2M2-S,current_plus_short_corrected,selection,strict_intersection,4024,9343782.0,9222484.0,5353731.804381371,4653401.346975327,0.9870183187064938,0.5805086573618746,0.5045713656944621,0.07593729166741248
test,S2M2-S,full_hybrid_bank,convex,availability_aware,4024,9343782.0,9343782.0,5459766.010287285,4226715.372917175,1.0,0.5843207825575645,0.4523559488991904,0.13196483365837408
test,S2M2-S,full_hybrid_bank,convex,strict_intersection,4024,9343782.0,9007017.0,5156891.847399712,3985299.354826927,0.9639583843030585,0.5725415914502784,0.44246606338446204,0.13007552806581635
test,S2M2-S,full_hybrid_bank,selection,availability_aware,4024,9343782.0,9343782.0,5459766.010287285,4335011.545455933,1.0,0.5843207825575645,0.4639461350292561,0.1203746475283084
test,S2M2-S,full_hybrid_bank,selection,strict_intersection,4024,9343782.0,9007017.0,5156891.847399712,4086212.8614940643,0.9639583843030585,0.5725415914502784,0.4536699399472727,0.11887165150300566
test,StereoAnywhere,current_plus_one_step_raw,convex,availability_aware,4024,9343782.0,9343782.0,4949571.640547752,4391578.538878441,1.0,0.5297182276456955,0.4700001069030122,0.059718120742683345
test,StereoAnywhere,current_plus_one_step_raw,convex,strict_intersection,4024,9343782.0,9256312.0,4887415.771976471,4329422.654927254,0.9906386942674819,0.5280089707408816,0.4677265259562614,0.06028244478462019
test,StereoAnywhere,current_plus_one_step_raw,selection,availability_aware,4024,9343782.0,9343782.0,4949571.640547752,4433984.834072113,1.0,0.5297182276456955,0.474538557735199,0.055179669910496554
test,StereoAnywhere,current_plus_one_step_raw,selection,strict_intersection,4024,9343782.0,9256312.0,4887415.771976471,4371828.963658333,0.9906386942674819,0.5280089707408816,0.4723078655579385,0.05570110518294308
test,StereoAnywhere,current_plus_raw_anchors,convex,availability_aware,4024,9343782.0,9343782.0,4949571.640547752,3520159.8308000565,1.0,0.5297182276456955,0.3767382234303044,0.15298000421539115
test,StereoAnywhere,current_plus_raw_anchors,convex,strict_intersection,4024,9343782.0,9007017.0,4699814.752570152,3313955.773331642,0.9639583843030585,0.5217948131518073,0.3679304450443074,0.15386436810749993
test,StereoAnywhere,current_plus_raw_anchors,selection,availability_aware,4024,9343782.0,9343782.0,4949571.640547752,3644754.0579328537,1.0,0.5297182276456955,0.3900726769880605,0.13964555065763506
test,StereoAnywhere,current_plus_raw_anchors,selection,strict_intersection,4024,9343782.0,9007017.0,4699814.752570152,3435521.3683986664,0.9639583843030585,0.5217948131518073,0.3814272104070267,0.1403676027447806
test,StereoAnywhere,current_plus_short_corrected,convex,availability_aware,4024,9343782.0,9343782.0,4949571.640547752,3988729.536789894,1.0,0.5297182276456955,0.4268859800870669,0.10283224755862863
test,StereoAnywhere,current_plus_short_corrected,convex,strict_intersection,4024,9343782.0,9222484.0,4858965.526779175,3903905.800784111,0.9870183187064938,0.5268608247820408,0.42330307114483595,0.10355775363720482
test,StereoAnywhere,current_plus_short_corrected,selection,availability_aware,4024,9343782.0,9343782.0,4949571.640547752,4056457.3218746185,1.0,0.5297182276456955,0.4341344138673846,0.09558381377831093
test,StereoAnywhere,current_plus_short_corrected,selection,strict_intersection,4024,9343782.0,9222484.0,4858965.526779175,3970165.5520181656,0.9870183187064938,0.5268608247820408,0.4304876595088878,0.09637316527315298
test,StereoAnywhere,full_hybrid_bank,convex,availability_aware,4024,9343782.0,9343782.0,4949571.640547752,3482481.88142395,1.0,0.5297182276456955,0.3727058145645896,0.15701241308110592
test,StereoAnywhere,full_hybrid_bank,convex,strict_intersection,4024,9343782.0,9007017.0,4699814.752570152,3282431.3467006683,0.9639583843030585,0.5217948131518073,0.36443045979603106,0.15736435335577625
test,StereoAnywhere,full_hybrid_bank,selection,availability_aware,4024,9343782.0,9343782.0,4949571.640547752,3599311.791059494,1.0,0.5297182276456955,0.3852093072226529,0.14450892042304264
test,StereoAnywhere,full_hybrid_bank,selection,strict_intersection,4024,9343782.0,9007017.0,4699814.752570152,3393812.6408014297,0.9639583843030585,0.5217948131518073,0.37679651773738515,0.14499829541442216
validation,RAFT-Stereo,current_plus_one_step_raw,convex,availability_aware,4225,17651468.0,17651468.0,5425536.530394077,4953130.41372633,1.0,0.3073702725684956,0.28060727944703123,0.02676299312146435
validation,RAFT-Stereo,current_plus_one_step_raw,convex,strict_intersection,4225,17651468.0,17518013.0,5362210.866124153,4889804.755904198,0.9924394390313599,0.30609697949899645,0.2791301020215134,0.026966877477483053
validation,RAFT-Stereo,current_plus_one_step_raw,selection,availability_aware,4225,17651468.0,17651468.0,5425536.530394077,4977808.646117687,1.0,0.3073702725684956,0.2820053632999639,0.025364909268531688
validation,RAFT-Stereo,current_plus_one_step_raw,selection,strict_intersection,4225,17651468.0,17518013.0,5362210.866124153,4914482.985547066,0.9924394390313599,0.30609697949899645,0.2805388365419677,0.02555814295702874
validation,RAFT-Stereo,current_plus_raw_anchors,convex,availability_aware,4225,17651468.0,17651468.0,5425536.530394077,3681872.8448028564,1.0,0.3073702725684956,0.20858734496206527,0.09878292760643032
validation,RAFT-Stereo,current_plus_raw_anchors,convex,strict_intersection,4225,17651468.0,17038211.0,5149162.652991772,3431169.7977871895,0.9652574505417907,0.3022126356453604,0.20138087254508055,0.10083176310027983
validation,RAFT-Stereo,current_plus_raw_anchors,selection,availability_aware,4225,17651468.0,17651468.0,5425536.530394077,3856864.3879613876,1.0,0.3073702725684956,0.21850105543410825,0.08886921713438733
validation,RAFT-Stereo,current_plus_raw_anchors,selection,strict_intersection,4225,17651468.0,17038211.0,5149162.652991772,3603953.9055609703,0.9652574505417907,0.3022126356453604,0.2115218496566905,0.09069078598866989
validation,RAFT-Stereo,current_plus_short_corrected,convex,availability_aware,4225,17651468.0,17651468.0,5425536.530394077,4424373.631981373,1.0,0.3073702725684956,0.2506518796046523,0.05671839296384329
validation,RAFT-Stereo,current_plus_short_corrected,convex,strict_intersection,4225,17651468.0,17451857.0,5331187.375984192,4332688.41569519,0.9886915354575608,0.30547966190556064,0.24826517978546297,0.057214482120097665
validation,RAFT-Stereo,current_plus_short_corrected,selection,availability_aware,4225,17651468.0,17651468.0,5425536.530394077,4524158.217854977,1.0,0.3073702725684956,0.25630492703807845,0.05106534553041714
validation,RAFT-Stereo,current_plus_short_corrected,selection,strict_intersection,4225,17651468.0,17451857.0,5331187.375984192,4432205.491600037,0.9886915354575608,0.30547966190556064,0.25396755724047226,0.051512104665088376
validation,RAFT-Stereo,full_hybrid_bank,convex,availability_aware,4225,17651468.0,17651468.0,5425536.530394077,3676622.6398530006,1.0,0.3073702725684956,0.2082899076639405,0.09908036490455507
validation,RAFT-Stereo,full_hybrid_bank,convex,strict_intersection,4225,17651468.0,17038211.0,5149162.652991772,3426298.727993965,0.9652574505417907,0.3022126356453604,0.2010949816265314,0.101117654018829
validation,RAFT-Stereo,full_hybrid_bank,selection,availability_aware,4225,17651468.0,17651468.0,5425536.530394077,3831033.8213210106,1.0,0.3073702725684956,0.21703768895148046,0.09033258361701513
validation,RAFT-Stereo,full_hybrid_bank,selection,strict_intersection,4225,17651468.0,17038211.0,5149162.652991772,3578465.7014522552,0.9652574505417907,0.3022126356453604,0.21002590597406354,0.09218672967129685
validation,S2M2-S,current_plus_one_step_raw,convex,availability_aware,4225,17651468.0,17651468.0,5289571.233043671,4857927.892011642,1.0,0.2996674969494702,0.2752138174576552,0.024453679491814984
validation,S2M2-S,current_plus_one_step_raw,convex,strict_intersection,4225,17651468.0,17518013.0,5229727.442908764,4798084.1099944115,0.9924394390313599,0.29853428256439607,0.27389431152919064,0.024639971035205432
validation,S2M2-S,current_plus_one_step_raw,selection,availability_aware,4225,17651468.0,17651468.0,5289571.233043671,4877270.836030006,1.0,0.2996674969494702,0.27630964382282575,0.023357853126644457
validation,S2M2-S,current_plus_one_step_raw,selection,strict_intersection,4225,17651468.0,17518013.0,5229727.442908764,4817427.04775095,0.9924394390313599,0.29853428256439607,0.27499848571587143,0.023535796848524637
validation,S2M2-S,current_plus_raw_anchors,convex,availability_aware,4225,17651468.0,17651468.0,5289571.233043671,3616946.5745925903,1.0,0.2996674969494702,0.20490910866974862,0.09475838827972158
validation,S2M2-S,current_plus_raw_anchors,convex,strict_intersection,4225,17651468.0,17038211.0,5024264.550420761,3375876.8723020554,0.9652574505417907,0.29488216517689336,0.1981356418406871,0.09674652333620626
validation,S2M2-S,current_plus_raw_anchors,selection,availability_aware,4225,17651468.0,17651468.0,5289571.233043671,3780350.131450653,1.0,0.2996674969494702,0.21416633061061285,0.08550116633885735
validation,S2M2-S,current_plus_raw_anchors,selection,strict_intersection,4225,17651468.0,17038211.0,5024264.550420761,3537457.799200535,0.9652574505417907,0.29488216517689336,0.20761908625269018,0.08726307892420318
validation,S2M2-S,current_plus_short_corrected,convex,availability_aware,4225,17651468.0,17651468.0,5289571.233043671,4351950.947881699,1.0,0.2996674969494702,0.24654895263565038,0.05311854431381982
validation,S2M2-S,current_plus_short_corrected,convex,strict_intersection,4225,17651468.0,17451857.0,5199872.323926449,4264553.648902893,0.9886915354575608,0.29795524475856344,0.24436102409634075,0.05359422066222269
validation,S2M2-S,current_plus_short_corrected,selection,availability_aware,4225,17651468.0,17651468.0,5289571.233043671,4442344.764482021,1.0,0.2996674969494702,0.2516699894015626,0.0479975075479076
validation,S2M2-S,current_plus_short_corrected,selection,strict_intersection,4225,17651468.0,17451857.0,5199872.323926449,4354771.473044872,0.9886915354575608,0.29795524475856344,0.24953054984606352,0.04842469491249993
validation,S2M2-S,full_hybrid_bank,convex,availability_aware,4225,17651468.0,17651468.0,5289571.233043671,3613536.1684617996,1.0,0.2996674969494702,0.2047159005960184,0.0949515963534518
validation,S2M2-S,full_hybrid_bank,convex,strict_intersection,4225,17651468.0,17038211.0,5024264.550420761,3372702.2941799164,0.9652574505417907,0.29488216517689336,0.19794932074616967,0.0969328444307237
validation,S2M2-S,full_hybrid_bank,selection,availability_aware,4225,17651468.0,17651468.0,5289571.233043671,3757502.317223072,1.0,0.2996674969494702,0.21287194454438985,0.08679555240508036
validation,S2M2-S,full_hybrid_bank,selection,strict_intersection,4225,17651468.0,17038211.0,5024264.550420761,3514879.0052866936,0.9652574505417907,0.29488216517689336,0.20629390053255553,0.08858826464433783
validation,StereoAnywhere,current_plus_one_step_raw,convex,availability_aware,4225,17651468.0,17651468.0,5740534.952718735,5112436.593798637,1.0,0.32521572442126256,0.28963237470099584,0.03558334972026672
validation,StereoAnywhere,current_plus_one_step_raw,convex,strict_intersection,4225,17651468.0,17518013.0,5673785.171410084,5045686.818313122,0.9924394390313599,0.3238829181945512,0.2880284892078298,0.035854428986721365
validation,StereoAnywhere,current_plus_one_step_raw,selection,availability_aware,4225,17651468.0,17651468.0,5740534.952718735,5132064.9094944,1.0,0.32521572442126256,0.2907443680885012,0.03447135633276138
validation,StereoAnywhere,current_plus_one_step_raw,selection,strict_intersection,4225,17651468.0,17518013.0,5673785.171410084,5065315.141270161,0.9924394390313599,0.3238829181945512,0.28914895435173843,0.03473396384281274
validation,StereoAnywhere,current_plus_raw_anchors,convex,availability_aware,4225,17651468.0,17651468.0,5740534.952718735,3784797.4193120003,1.0,0.32521572442126256,0.21441828063886811,0.11079744378239445
validation,StereoAnywhere,current_plus_raw_anchors,convex,strict_intersection,4225,17651468.0,17038211.0,5433301.322429657,3515931.411438465,0.9652574505417907,0.31888919103241864,0.20635566794180826,0.11253352309061038
validation,StereoAnywhere,current_plus_raw_anchors,selection,availability_aware,4225,17651468.0,17651468.0,5740534.952718735,3956542.089585781,1.0,0.32521572442126256,0.22414804760633966,0.1010676768149229
validation,StereoAnywhere,current_plus_raw_anchors,selection,strict_intersection,4225,17651468.0,17038211.0,5433301.322429657,3685848.36314106,0.9652574505417907,0.31888919103241864,0.21632836705338723,0.1025608239790314
validation,StereoAnywhere,current_plus_short_corrected,convex,availability_aware,4225,17651468.0,17651468.0,5740534.952718735,4536773.756300926,1.0,0.32521572442126256,0.2570196289793532,0.06819609544190935
validation,StereoAnywhere,current_plus_short_corrected,convex,strict_intersection,4225,17651468.0,17451857.0,5636641.924680233,4440043.977180004,0.9886915354575608,0.32298235796226343,0.2544167063241467,0.06856565163811673
validation,StereoAnywhere,current_plus_short_corrected,selection,availability_aware,4225,17651468.0,17651468.0,5740534.952718735,4637257.5567212105,1.0,0.32521572442126256,0.2627122886731693,0.06250343574809325
validation,StereoAnywhere,current_plus_short_corrected,selection,strict_intersection,4225,17651468.0,17451857.0,5636641.924680233,4540224.582844734,0.9886915354575608,0.32298235796226343,0.2601571043611424,0.06282525360112101
validation,StereoAnywhere,full_hybrid_bank,convex,availability_aware,4225,17651468.0,17651468.0,5740534.952718735,3778528.853858471,1.0,0.32521572442126256,0.21406315066024373,0.11115257376101884
validation,StereoAnywhere,full_hybrid_bank,convex,strict_intersection,4225,17651468.0,17038211.0,5433301.322429657,3510299.6856861115,0.9652574505417907,0.31888919103241864,0.20602513290192917,0.11286405813048947
validation,StereoAnywhere,full_hybrid_bank,selection,availability_aware,4225,17651468.0,17651468.0,5740534.952718735,3929829.191318989,1.0,0.32521572442126256,0.22263469482079273,0.10258102960046983
validation,StereoAnywhere,full_hybrid_bank,selection,strict_intersection,4225,17651468.0,17038211.0,5433301.322429657,3659560.3118634224,0.9652574505417907,0.31888919103241864,0.21478547905431047,0.10410371197810817
