stage,sequence,oracle_family,oracle_type,support_contract,row_count,base_count,support_count,raw_error_sum,oracle_error_sum,support_coverage,raw_epe,oracle_epe,oracle_gain
test,dataset_7_keyframe_2,current_plus_one_step_raw,convex,availability_aware,1860,588561.0,588561.0,128647.2262134552,106196.96772766113,1.0,0.2185792572281466,0.18043493831168075,0.03814431891646586
test,dataset_7_keyframe_2,current_plus_one_step_raw,convex,strict_intersection,1860,588561.0,586527.0,127765.72717094421,105315.46894741058,0.9965441135243416,0.21783434892331335,0.17955775087491382,0.03827659804839953
test,dataset_7_keyframe_2,current_plus_one_step_raw,selection,availability_aware,1860,588561.0,588561.0,128647.2262134552,108344.85336589813,1.0,0.2185792572281466,0.18408432323225313,0.034494933995893484
test,dataset_7_keyframe_2,current_plus_one_step_raw,selection,strict_intersection,1860,588561.0,586527.0,127765.72717094421,107463.35349369049,0.9965441135243416,0.21783434892331335,0.18321978953004806,0.0346145593932653
test,dataset_7_keyframe_2,current_plus_raw_anchors,convex,availability_aware,1860,588561.0,588561.0,128647.2262134552,70389.0224199295,1.0,0.2185792572281466,0.11959511829687917,0.09898413893126744
test,dataset_7_keyframe_2,current_plus_raw_anchors,convex,strict_intersection,1860,588561.0,579240.0,125014.14771175385,67666.32092189789,0.9841630689087453,0.2158244384223359,0.11681914391598973,0.09900529450634617
test,dataset_7_keyframe_2,current_plus_raw_anchors,selection,availability_aware,1860,588561.0,588561.0,128647.2262134552,77122.43062782288,1.0,0.2185792572281466,0.13103557766794416,0.08754367956020245
test,dataset_7_keyframe_2,current_plus_raw_anchors,selection,strict_intersection,1860,588561.0,579240.0,125014.14771175385,74332.2927570343,0.9841630689087453,0.2158244384223359,0.12832727842868985,0.08749715999364605
test,dataset_7_keyframe_2,current_plus_short_corrected,convex,availability_aware,1860,588561.0,588561.0,128647.2262134552,87843.8547296524,1.0,0.2185792572281466,0.14925191225659262,0.06932734497155399
test,dataset_7_keyframe_2,current_plus_short_corrected,convex,strict_intersection,1860,588561.0,585540.0,127380.55782794952,86672.88444328308,0.9948671420634395,0.21754373369530608,0.14802214100366,0.06952159269164607
test,dataset_7_keyframe_2,current_plus_short_corrected,selection,availability_aware,1860,588561.0,588561.0,128647.2262134552,93137.06897354126,1.0,0.2185792572281466,0.1582453967788237,0.0603338604493229
test,dataset_7_keyframe_2,current_plus_short_corrected,selection,strict_intersection,1860,588561.0,585540.0,127380.55782794952,91956.12166404724,0.9948671420634395,0.21754373369530608,0.15704498695912703,0.060498746736179054
test,dataset_7_keyframe_2,full_hybrid_bank,convex,availability_aware,1860,588561.0,588561.0,128647.2262134552,70140.5497789383,1.0,0.2185792572281466,0.119172948562576,0.09940630866557061
test,dataset_7_keyframe_2,full_hybrid_bank,convex,strict_intersection,1860,588561.0,579240.0,125014.14771175385,67447.40933322906,0.9841630689087453,0.2158244384223359,0.11644121492512441,0.09938322349721149
test,dataset_7_keyframe_2,full_hybrid_bank,selection,availability_aware,1860,588561.0,588561.0,128647.2262134552,75792.43336868286,1.0,0.2185792572281466,0.12877583354772548,0.08980342368042113
test,dataset_7_keyframe_2,full_hybrid_bank,selection,strict_intersection,1860,588561.0,579240.0,125014.14771175385,73032.8074684143,0.9841630689087453,0.2158244384223359,0.12608384688283666,0.08974059153949923
test,dataset_7_keyframe_3,current_plus_one_step_raw,convex,availability_aware,1728,7888269.0,7888269.0,9737483.629516602,8833754.166870117,1.0,1.234425908842181,1.1198596506876373,0.11456625815454369
test,dataset_7_keyframe_3,current_plus_one_step_raw,convex,strict_intersection,1728,7888269.0,7830003.0,9661967.706115723,8758238.252746582,0.9926135886086035,1.2339673057744323,1.1185485181482795,0.11541878762615276
test,dataset_7_keyframe_3,current_plus_one_step_raw,selection,availability_aware,1728,7888269.0,7888269.0,9737483.629516602,8932683.411621094,1.0,1.234425908842181,1.1324009629515797,0.10202494589060129
test,dataset_7_keyframe_3,current_plus_one_step_raw,selection,strict_intersection,1728,7888269.0,7830003.0,9661967.706115723,8857167.532653809,0.9926135886086035,1.2339673057744323,1.1311831595280115,0.10278414624642074
test,dataset_7_keyframe_3,current_plus_raw_anchors,convex,availability_aware,1728,7888269.0,7888269.0,9737483.629516602,7578715.989379883,1.0,1.234425908842181,0.9607578024253335,0.27366810641684747
test,dataset_7_keyframe_3,current_plus_raw_anchors,convex,strict_intersection,1728,7888269.0,7653696.0,9409906.785736084,7315877.000732422,0.9702630577126616,1.2294591770741985,0.955861978413099,0.27359719866109955
test,dataset_7_keyframe_3,current_plus_raw_anchors,selection,availability_aware,1728,7888269.0,7888269.0,9737483.629516602,7809794.3338012695,1.0,1.234425908842181,0.9900517253913717,0.2443741834508093
test,dataset_7_keyframe_3,current_plus_raw_anchors,selection,strict_intersection,1728,7888269.0,7653696.0,9409906.785736084,7541364.361999512,0.9702630577126616,1.2294591770741985,0.9853232166523875,0.24413596042181096
test,dataset_7_keyframe_3,current_plus_short_corrected,convex,availability_aware,1728,7888269.0,7888269.0,9737483.629516602,8170738.15612793,1.0,1.234425908842181,1.0358087631301531,0.19861714571202782
test,dataset_7_keyframe_3,current_plus_short_corrected,convex,strict_intersection,1728,7888269.0,7806627.0,9620808.00970459,8072201.3865356445,0.9896502008235267,1.2323898669303133,1.03401909512721,0.19837077180310336
test,dataset_7_keyframe_3,current_plus_short_corrected,selection,availability_aware,1728,7888269.0,7888269.0,9737483.629516602,8310389.012084961,1.0,1.234425908842181,1.0535123754127758,0.1809135334294052
test,dataset_7_keyframe_3,current_plus_short_corrected,selection,strict_intersection,1728,7888269.0,7806627.0,9620808.00970459,8206144.9279174805,0.9896502008235267,1.2323898669303133,1.051176766600669,0.18121310032964422
test,dataset_7_keyframe_3,full_hybrid_bank,convex,availability_aware,1728,7888269.0,7888269.0,9737483.629516602,7485034.754333496,1.0,1.234425908842181,0.948881783105203,0.28554412573697796
test,dataset_7_keyframe_3,full_hybrid_bank,convex,strict_intersection,1728,7888269.0,7653696.0,9409906.785736084,7253019.0037231445,0.9702630577126616,1.2294591770741985,0.9476492146700293,0.2818099624041692
test,dataset_7_keyframe_3,full_hybrid_bank,selection,availability_aware,1728,7888269.0,7888269.0,9737483.629516602,7708971.092407227,1.0,1.234425908842181,0.9772703101792328,0.2571555986629481
test,dataset_7_keyframe_3,full_hybrid_bank,selection,strict_intersection,1728,7888269.0,7653696.0,9409906.785736084,7461372.70501709,0.9702630577126616,1.2294591770741985,0.9748718403523069,0.2545873367218916
test,dataset_7_keyframe_4,current_plus_one_step_raw,convex,availability_aware,6567,10757355.0,10757355.0,4089995.9042224884,3613857.1395845413,1.0,0.38020460459122973,0.3359429097194005,0.04426169487182924
test,dataset_7_keyframe_4,current_plus_one_step_raw,convex,strict_intersection,6567,10757355.0,10601352.0,3981274.159092903,3505135.3889598846,0.9854980150789855,0.3755440022265937,0.33063097885627085,0.044913023370322824
test,dataset_7_keyframe_4,current_plus_one_step_raw,selection,availability_aware,6567,10757355.0,10757355.0,4089995.9042224884,3646591.385175705,1.0,0.38020460459122973,0.33898587386729406,0.04121873072393567
test,dataset_7_keyframe_4,current_plus_one_step_raw,selection,strict_intersection,6567,10757355.0,10601352.0,3981274.159092903,3537869.632253647,0.9854980150789855,0.3755440022265937,0.33371872118326484,0.04182528104332883
test,dataset_7_keyframe_4,current_plus_raw_anchors,convex,availability_aware,6567,10757355.0,10757355.0,4089995.9042224884,2547743.5424222946,1.0,0.38020460459122973,0.2368373584791331,0.14336724611209664
test,dataset_7_keyframe_4,current_plus_raw_anchors,convex,strict_intersection,6567,10757355.0,10137849.0,3632354.7030124664,2164116.4475679398,0.9424109365173874,0.3582963903893682,0.21346899599391742,0.1448273943954508
test,dataset_7_keyframe_4,current_plus_raw_anchors,selection,availability_aware,6567,10757355.0,10757355.0,4089995.9042224884,2693401.5728797913,1.0,0.38020460459122973,0.25037767860963883,0.1298269259815909
test,dataset_7_keyframe_4,current_plus_raw_anchors,selection,strict_intersection,6567,10757355.0,10137849.0,3632354.7030124664,2303738.613902092,0.9424109365173874,0.3582963903893682,0.22724136194000247,0.13105502844936576
test,dataset_7_keyframe_4,current_plus_short_corrected,convex,availability_aware,6567,10757355.0,10757355.0,4089995.9042224884,3158599.995191574,1.0,0.38020460459122973,0.29362236304292033,0.0865822415483094
test,dataset_7_keyframe_4,current_plus_short_corrected,convex,strict_intersection,6567,10757355.0,10536144.0,3928498.7279806137,3003397.4594097137,0.9794363019534077,0.37285924793554587,0.28505660699110735,0.08780264094443851
test,dataset_7_keyframe_4,current_plus_short_corrected,selection,availability_aware,6567,10757355.0,10757355.0,4089995.9042224884,3234720.0061531067,1.0,0.38020460459122973,0.30069845293318914,0.07950615165804059
test,dataset_7_keyframe_4,current_plus_short_corrected,selection,strict_intersection,6567,10757355.0,10536144.0,3928498.7279806137,3078799.6788597107,0.9794363019534077,0.37285924793554587,0.2922131359309165,0.08064611200462934
test,dataset_7_keyframe_4,full_hybrid_bank,convex,availability_aware,6567,10757355.0,10757355.0,4089995.9042224884,2534029.269470215,1.0,0.38020460459122973,0.2355624844090592,0.14464212018217054
test,dataset_7_keyframe_4,full_hybrid_bank,convex,strict_intersection,6567,10757355.0,10137849.0,3632354.7030124664,2152536.7955589294,0.9424109365173874,0.3582963903893682,0.21232677617894383,0.1459696142104244
test,dataset_7_keyframe_4,full_hybrid_bank,selection,availability_aware,6567,10757355.0,10757355.0,4089995.9042224884,2666942.018480301,1.0,0.38020460459122973,0.24791800758460616,0.13228659700662357
test,dataset_7_keyframe_4,full_hybrid_bank,selection,strict_intersection,6567,10757355.0,10137849.0,3632354.7030124664,2279165.3029928207,0.9424109365173874,0.3582963903893682,0.22481744431119666,0.13347894607817157
validation,dataset_2_keyframe_2,current_plus_one_step_raw,convex,availability_aware,3075,5635320.0,5635320.0,1380118.1894478798,1232385.4719672203,1.0,0.2449050257035767,0.2186895281842416,0.026215497519335107
validation,dataset_2_keyframe_2,current_plus_one_step_raw,convex,strict_intersection,3075,5635320.0,5623191.0,1376777.584353447,1229044.8716220856,0.9978476821192053,0.24483919972724508,0.21856715726392462,0.02627204246332046
validation,dataset_2_keyframe_2,current_plus_one_step_raw,selection,availability_aware,3075,5635320.0,5635320.0,1380118.1894478798,1238677.2933802605,1.0,0.2449050257035767,0.21980602581224498,0.025098999891331714
validation,dataset_2_keyframe_2,current_plus_one_step_raw,selection,strict_intersection,3075,5635320.0,5623191.0,1376777.584353447,1235336.692276001,0.9978476821192053,0.24483919972724508,0.2196860629980381,0.025153136729206965
validation,dataset_2_keyframe_2,current_plus_raw_anchors,convex,availability_aware,3075,5635320.0,5635320.0,1380118.1894478798,833343.5328202248,1.0,0.2449050257035767,0.1478786533542416,0.09702637234933509
validation,dataset_2_keyframe_2,current_plus_raw_anchors,convex,strict_intersection,3075,5635320.0,5579241.0,1363251.6367936134,819432.2889518738,0.9900486573965631,0.24434356515404396,0.14687164238861053,0.09747192276543343
validation,dataset_2_keyframe_2,current_plus_raw_anchors,selection,availability_aware,3075,5635320.0,5635320.0,1380118.1894478798,871879.2029643059,1.0,0.2449050257035767,0.15471689326680754,0.09018813243676915
validation,dataset_2_keyframe_2,current_plus_raw_anchors,selection,strict_intersection,3075,5635320.0,5579241.0,1363251.6367936134,857808.7519950867,0.9900486573965631,0.24434356515404396,0.15375008034158888,0.09059348481245508
validation,dataset_2_keyframe_2,current_plus_short_corrected,convex,availability_aware,3075,5635320.0,5635320.0,1380118.1894478798,1086006.7275567055,1.0,0.2449050257035767,0.19271429618135358,0.05219072952222312
validation,dataset_2_keyframe_2,current_plus_short_corrected,convex,strict_intersection,3075,5635320.0,5617074.0,1374929.3377389908,1081083.3217463493,0.9967622069376717,0.24477678907897435,0.19246378483643786,0.05231300424253649
validation,dataset_2_keyframe_2,current_plus_short_corrected,selection,availability_aware,3075,5635320.0,5635320.0,1380118.1894478798,1099709.9436488152,1.0,0.2449050257035767,0.1951459621900469,0.049759063513529794
validation,dataset_2_keyframe_2,current_plus_short_corrected,selection,strict_intersection,3075,5635320.0,5617074.0,1374929.3377389908,1094770.3049025536,0.9967622069376717,0.24477678907897435,0.194900459723791,0.04987632935518335
validation,dataset_2_keyframe_2,full_hybrid_bank,convex,availability_aware,3075,5635320.0,5635320.0,1380118.1894478798,831442.7596101761,1.0,0.2449050257035767,0.1475413569433814,0.09736366876019528
validation,dataset_2_keyframe_2,full_hybrid_bank,convex,strict_intersection,3075,5635320.0,5579241.0,1363251.6367936134,817559.750213623,0.9900486573965631,0.24434356515404396,0.1465360163172057,0.09780754883683826
validation,dataset_2_keyframe_2,full_hybrid_bank,selection,availability_aware,3075,5635320.0,5635320.0,1380118.1894478798,865630.3223948479,1.0,0.2449050257035767,0.15360801558648807,0.09129701011708863
validation,dataset_2_keyframe_2,full_hybrid_bank,selection,strict_intersection,3075,5635320.0,5579241.0,1363251.6367936134,851584.6613960266,0.9900486573965631,0.24434356515404396,0.15263450017592475,0.0917090649781192
validation,dataset_2_keyframe_3,current_plus_one_step_raw,convex,availability_aware,3282,14021148.0,14021148.0,3864793.2019691467,3326588.4283828735,1.0,0.2756402829475266,0.2372550684425322,0.038385214504994436
validation,dataset_2_keyframe_3,current_plus_one_step_raw,convex,strict_intersection,3282,14021148.0,13889706.0,3789190.3186416626,3250985.5515766144,0.9906254466467368,0.2728056532400083,0.2340571896609341,0.03874846357907416
validation,dataset_2_keyframe_3,current_plus_one_step_raw,selection,availability_aware,3282,14021148.0,14021148.0,3864793.2019691467,3359911.3376083374,1.0,0.2756402829475266,0.23963168619347983,0.0360085967540468
validation,dataset_2_keyframe_3,current_plus_one_step_raw,selection,strict_intersection,3282,14021148.0,13889706.0,3789190.3186416626,3284308.456768036,0.9906254466467368,0.2728056532400083,0.23645629769039286,0.03634935554961541
validation,dataset_2_keyframe_3,current_plus_raw_anchors,convex,availability_aware,3282,14021148.0,14021148.0,3864793.2019691467,2471149.3231887817,1.0,0.2756402829475266,0.17624443613238958,0.09939584681513705
validation,dataset_2_keyframe_3,current_plus_raw_anchors,convex,strict_intersection,3282,14021148.0,13507308.0,3565736.0242004395,2204951.67868042,0.9633525015212734,0.2639856901316265,0.16324138597272084,0.10074430415890565
validation,dataset_2_keyframe_3,current_plus_raw_anchors,selection,availability_aware,3282,14021148.0,14021148.0,3864793.2019691467,2625395.0996570587,1.0,0.2756402829475266,0.187245373892142,0.08839490905538464
validation,dataset_2_keyframe_3,current_plus_raw_anchors,selection,strict_intersection,3282,14021148.0,13507308.0,3565736.0242004395,2356903.251182556,0.9633525015212734,0.2639856901316265,0.1744909682360509,0.08949472189557559
validation,dataset_2_keyframe_3,current_plus_short_corrected,convex,availability_aware,3282,14021148.0,14021148.0,3864793.2019691467,3017261.831741333,1.0,0.2756402829475266,0.2151936369077149,0.06044664603981173
validation,dataset_2_keyframe_3,current_plus_short_corrected,convex,strict_intersection,3282,14021148.0,13839018.0,3757739.5149116516,2913860.4610214233,0.9870103361008671,0.271532236963031,0.21055399024854388,0.06097824671448715
validation,dataset_2_keyframe_3,current_plus_short_corrected,selection,availability_aware,3282,14021148.0,14021148.0,3864793.2019691467,3086114.676410675,1.0,0.2756402829475266,0.22010427936504737,0.05553600358247926
validation,dataset_2_keyframe_3,current_plus_short_corrected,selection,strict_intersection,3282,14021148.0,13839018.0,3757739.5149116516,2982436.377674103,0.9870103361008671,0.271532236963031,0.21550924911537095,0.05602298784766008
validation,dataset_2_keyframe_3,full_hybrid_bank,convex,availability_aware,3282,14021148.0,14021148.0,3864793.2019691467,2466409.8551387787,1.0,0.2756402829475266,0.1759064133078674,0.09973386963965922
validation,dataset_2_keyframe_3,full_hybrid_bank,convex,strict_intersection,3282,14021148.0,13507308.0,3565736.0242004395,2200930.9193782806,0.9633525015212734,0.2639856901316265,0.16294371309059366,0.10104197704103282
validation,dataset_2_keyframe_3,full_hybrid_bank,selection,availability_aware,3282,14021148.0,14021148.0,3864793.2019691467,2604733.5544605255,1.0,0.2756402829475266,0.1857717752113112,0.08986850773621544
validation,dataset_2_keyframe_3,full_hybrid_bank,selection,strict_intersection,3282,14021148.0,13507308.0,3565736.0242004395,2336862.1791095734,0.9633525015212734,0.2639856901316265,0.17300724756624883,0.09097844256537765
validation,dataset_2_keyframe_4,current_plus_one_step_raw,convex,availability_aware,6318,33297936.0,33297936.0,11210731.324739456,10364520.999186516,1.0,0.3366794664011444,0.31126616974657273,0.02541329665457165
validation,dataset_2_keyframe_4,current_plus_one_step_raw,convex,strict_intersection,6318,33297936.0,33041142.0,11099755.577447891,10253545.261013031,0.9922879904628323,0.3359374072920328,0.31032660012214563,0.025610807169887173
validation,dataset_2_keyframe_4,current_plus_one_step_raw,selection,availability_aware,6318,33297936.0,33297936.0,11210731.324739456,10388555.760653496,1.0,0.3366794664011444,0.31198797909436476,0.024691487306779614
validation,dataset_2_keyframe_4,current_plus_one_step_raw,selection,strict_intersection,6318,33297936.0,33041142.0,11099755.577447891,10277580.02552414,0.9922879904628323,0.3359374072920328,0.31105401942596717,0.024883387866065643
validation,dataset_2_keyframe_4,current_plus_raw_anchors,convex,availability_aware,6318,33297936.0,33297936.0,11210731.324739456,7779123.982698441,1.0,0.3366794664011444,0.23362180715040237,0.103057659250742
validation,dataset_2_keyframe_4,current_plus_raw_anchors,convex,strict_intersection,6318,33297936.0,32028084.0,10677740.864848137,7298594.113895416,0.9618639425578811,0.3333868134243727,0.22788107193347615,0.10550574149089656
validation,dataset_2_keyframe_4,current_plus_raw_anchors,selection,availability_aware,6318,33297936.0,33297936.0,11210731.324739456,8096482.306376457,1.0,0.3366794664011444,0.24315267788299122,0.09352678851815316
validation,dataset_2_keyframe_4,current_plus_raw_anchors,selection,strict_intersection,6318,33297936.0,32028084.0,10677740.864848137,7612548.064724922,0.9618639425578811,0.3333868134243727,0.23768353001462472,0.09570328340974799
validation,dataset_2_keyframe_4,current_plus_short_corrected,convex,availability_aware,6318,33297936.0,33297936.0,11210731.324739456,9209829.77686596,1.0,0.3366794664011444,0.2765886082808844,0.06009085812025999
validation,dataset_2_keyframe_4,current_plus_short_corrected,convex,strict_intersection,6318,33297936.0,32899479.0,11035032.771940231,9042342.259010315,0.988033582622058,0.335416642067196,0.2748475822067065,0.060569059860489494
validation,dataset_2_keyframe_4,current_plus_short_corrected,selection,availability_aware,6318,33297936.0,33297936.0,11210731.324739456,9417935.918998718,1.0,0.3366794664011444,0.2828384293548621,0.05384103704628229
validation,dataset_2_keyframe_4,current_plus_short_corrected,selection,strict_intersection,6318,33297936.0,32899479.0,11035032.771940231,9249994.864912987,0.988033582622058,0.335416642067196,0.28115931151715157,0.05425733055004445
validation,dataset_2_keyframe_4,full_hybrid_bank,convex,availability_aware,6318,33297936.0,33297936.0,11210731.324739456,7770835.047424316,1.0,0.3366794664011444,0.23337287474587964,0.10330659165526473
validation,dataset_2_keyframe_4,full_hybrid_bank,convex,strict_intersection,6318,33297936.0,32028084.0,10677740.864848137,7290810.038268089,0.9618639425578811,0.3333868134243727,0.22763803286728265,0.10574878055709006
validation,dataset_2_keyframe_4,full_hybrid_bank,selection,availability_aware,6318,33297936.0,33297936.0,11210731.324739456,8048001.453007698,1.0,0.3366794664011444,0.24169670615643257,0.0949827602447118
validation,dataset_2_keyframe_4,full_hybrid_bank,selection,strict_intersection,6318,33297936.0,32028084.0,10677740.864848137,7564458.178096771,0.9618639425578811,0.3333868134243727,0.236182038803719,0.09720477462065372
