role,backbone,sequence,region,aggregation_level,coverage_threshold,raw_error_sum,memory_error_sum,oracle_error_sum,helpful_sum,harmful_sum,temporal_difference_sum,gt_relative_temporal_consistency_sum,valid_pixel_count,memory_better_count,memory_worse_count,tie_count,raw_bad1_count,raw_bad3_count,raw_bad5_count,memory_bad1_count,memory_bad3_count,memory_bad5_count,oracle_bad1_count,oracle_bad3_count,oracle_bad5_count,valid_causal_pair_count,causal_pair_count,raw_epe,memory_epe,oracle_epe,oracle_epe_gain,relative_oracle_gain,memory_better_fraction,memory_worse_fraction,tie_fraction,mean_helpful_magnitude,mean_harmful_magnitude,raw_bad1,raw_bad3,raw_bad5,memory_bad1,memory_bad3,memory_bad5,oracle_bad1,oracle_bad3,oracle_bad5,flow_warped_raw_temporal_difference,gt_relative_temporal_error_consistency
seen,RAFT-Stereo,dataset_1_keyframe_2,non_boundary,sequence,0.5,51866.382962703705,52609.418904304504,44817.56173324585,7048.821229457855,7791.857171058655,16204.783522129059,14840.67840051651,760468,364762,393960,1746,5,0,0,0,0,0,0,0,0,277,279,0.06820324190196525,0.06918031909863992,0.05893418491408692,0.009269056987878332,0.13590346630738748,0.47965463372554795,0.518049411678072,0.002295954596380124,0.01932443957829449,0.019778295184939218,6.574898615063356e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021308961747409566,0.01951519117243133
seen,RAFT-Stereo,dataset_1_keyframe_2,raw_error_high_gt_3px,sequence,0.5,660.5239677429199,622.0950531959534,612.9709625244141,47.55300521850586,9.124090671539307,56.677095890045166,56.677095890045166,166,102,64,0,166,166,3,163,148,2,163,148,2,63,279,3.9790600466440957,3.747560561421406,3.692596159785627,0.2864638868584688,0.07199285346298553,0.6144578313253012,0.3855421686746988,0.0,0.4662059335147633,0.14256391674280167,1.0,1.0,0.018072289156626505,0.9819277108433735,0.891566265060241,0.012048192771084338,0.9819277108433735,0.891566265060241,0.012048192771084338,0.341428288494248,0.341428288494248
seen,RAFT-Stereo,dataset_1_keyframe_2,raw_error_low_le_1px,sequence,0.5,350764.5548734665,364422.36073827744,308792.11217594147,41972.442697525024,55630.24856233597,105951.39441728592,97602.69125986099,4282738,1920167,2354806,7765,0,0,0,147,1,0,0,0,0,279,279,0.08190194097174903,0.08509097701943884,0.07210156497454233,0.009800375997206706,0.11965987473468075,0.4483503310265536,0.5498365765078321,0.001813092465614287,0.02185874598278432,0.023624132332912336,0.0,0.0,0.0,3.4323836760502274e-05,2.3349548816668215e-07,0.0,0.0,0.0,0.0,0.024739172561404857,0.022789788042103205
seen,RAFT-Stereo,dataset_1_keyframe_2,raw_error_mid_1_to_3px,sequence,0.5,1197.8357481956482,985.736421585083,956.370768070221,241.46498012542725,29.36565351486206,271.1186089515686,270.8306336402893,760,535,225,0,760,0,0,499,8,1,499,0,0,246,279,1.5760996686784845,1.2970216073487935,1.2583825895660803,0.3177170791124042,0.20158438290822123,0.7039473684210527,0.29605263157894735,0.0,0.45133641144939673,0.13051401562160916,1.0,0.0,0.0,0.656578947368421,0.010526315789473684,0.0013157894736842105,0.656578947368421,0.0,0.0,0.35673501177837974,0.3563560968951175
seen,RAFT-Stereo,dataset_1_keyframe_3,all,sequence,0.5,513458.1129670143,528572.7540478706,454591.87308883667,58866.23987817764,73980.88095903397,143150.6640048027,132847.1208372116,5607664,2616157,2984358,7149,1077,76,11,1048,77,10,853,72,10,470,470,0.09156363736611436,0.09425899163142988,0.08106617534303708,0.01049746202307729,0.11464662528754196,0.4665324099304095,0.5321927276669929,0.001274862402597588,0.022501034868388115,0.024789546347668064,0.0001920585826825573,1.3552880486420014e-05,1.961601123034476e-06,0.00018688708881273915,1.373120786124133e-05,1.7832737482131596e-06,0.00015211325072258253,1.2839570987134749e-05,1.7832737482131596e-06,0.025527682115904716,0.023690278311470088
seen,RAFT-Stereo,dataset_1_keyframe_3,boundary,sequence,0.5,297253.51491642,308238.86319065094,263326.98765945435,33926.52725696564,44911.875531196594,84880.1916718483,78838.40278816223,3170653,1454239,1711338,5076,1065,75,11,1027,77,10,853,72,10,470,470,0.09375151267465093,0.09721620851939677,0.08305134231322518,0.010700170361425745,0.11413330895853288,0.4586559929453018,0.5397430750069465,0.0016009320477516776,0.0233294027026958,0.026243720136639632,0.0003358929532812326,2.3654433329664266e-05,3.469316888350759e-06,0.0003239080403942027,2.4285218218455315e-05,3.1539244439552357e-06,0.0002690297550693816,2.27082559964777e-05,3.1539244439552357e-06,0.0267705711321448,0.024865036567597348
seen,RAFT-Stereo,dataset_1_keyframe_3,fb_consistent,sequence,0.5,511316.90587615967,526261.9125466347,452690.93426275253,58625.971613407135,73570.97828388214,142490.61834144592,132196.94989728928,5598659,2612028,2979483,7148,1057,76,11,1047,77,10,853,72,10,470,470,0.09132846023952515,0.09399785065435039,0.08085702920337755,0.010471431036147602,0.11465682229487292,0.4665452923637607,0.5321779733325427,0.001276734303696653,0.02244461836297587,0.02469253165192825,0.0001887952097100395,1.3574679222292338e-05,1.9647562032265227e-06,0.0001870090677071063,1.3753293422585659e-05,1.7861420029332025e-06,0.00015235791285020216,1.2860222421119056e-05,1.7861420029332025e-06,0.02545084784435807,0.02361225248712045
seen,RAFT-Stereo,dataset_1_keyframe_3,fb_inconsistent_occlusion_like,sequence,0.5,2141.207090854645,2310.841501235962,1900.938826084137,240.2682647705078,409.90267515182495,660.045663356781,650.1709399223328,9005,4129,4875,1,20,0,0,1,0,0,0,0,0,70,470,0.23777979909546304,0.25661760146984586,0.21109814837136445,0.026681650724098588,0.11221159587819539,0.45852304275402556,0.5413659078289839,0.0001110494169905608,0.05819042498680257,0.08408260003114358,0.002220988339811216,0.0,0.0,0.0001110494169905608,0.0,0.0,0.0,0.0,0.0,0.0732976861029185,0.07220110382257998
seen,RAFT-Stereo,dataset_1_keyframe_3,gt_disparity_0_to_2px,sequence,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
seen,RAFT-Stereo,dataset_1_keyframe_3,gt_disparity_2_to_4px,sequence,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
seen,RAFT-Stereo,dataset_1_keyframe_3,gt_disparity_4_to_8px,sequence,0.5,178987.75625371933,180183.89563465118,161885.3421640396,17102.414089679718,18298.553470611572,36238.047157764435,35400.96756029129,1076685,533706,542964,15,247,2,1,234,1,0,90,0,0,308,470,0.16623966736205978,0.16735061381430147,0.1503553427084427,0.015884324653617082,0.09555074854079201,0.49569372657741123,0.5042923417712701,1.3931651318630798e-05,0.03204463522928301,0.03370122783575259,0.00022940785838012045,1.857553509150773e-06,9.287767545753865e-07,0.00021733376057064043,9.287767545753865e-07,0.0,8.358990791178478e-05,0.0,0.0,0.03365705583133826,0.03287959575947588
seen,RAFT-Stereo,dataset_1_keyframe_3,gt_disparity_ge_8px,sequence,0.5,334470.356713295,348388.85841321945,292706.53092479706,41763.825788497925,55682.327488422394,106912.61684703827,97446.15327692032,4530979,2082451,2441394,7134,830,74,10,814,76,10,763,72,10,470,470,0.07381856254758519,0.07689041560625627,0.06460116697181714,0.009217395575768048,0.12486555220885392,0.45960288052537873,0.5388226253090116,0.001574494165609684,0.02005513012719047,0.02280759577865039,0.00018318336942192847,1.633201124966591e-05,2.20702854725215e-06,0.00017965212374632502,1.677341695911634e-05,2.20702854725215e-06,0.00016839627815533906,1.589060554021548e-05,2.20702854725215e-06,0.023595919744284464,0.02150664421020718
seen,RAFT-Stereo,dataset_1_keyframe_3,motion_high_ge_1px,sequence,0.5,9603.169570446014,13603.27614068985,8599.265446186066,1003.9041242599487,5004.010694503784,6352.6399183273315,6007.914818763733,84253,21565,62655,33,8,1,0,5,1,0,3,1,0,85,470,0.1139801499109351,0.16145746905973496,0.1020647982408468,0.011915351670088295,0.1045388313614172,0.25595527755688224,0.7436530449954304,0.0003916774476873227,0.046552475041036344,0.07986610317618362,9.495210853026005e-05,1.1869013566282506e-05,0.0,5.934506783141253e-05,1.1869013566282506e-05,0.0,3.560704069884752e-05,1.1869013566282506e-05,0.0,0.07539956937233488,0.07130802248897646
seen,RAFT-Stereo,dataset_1_keyframe_3,motion_low_lt_1px,sequence,0.5,503854.9433965683,514969.4779071808,445992.6076426506,57862.335753917694,68976.87026453018,136798.02408647537,126839.20601844788,5523411,2594592,2921703,7116,1069,75,11,1043,76,10,850,71,10,470,470,0.09122170039429771,0.09323395957809057,0.08074586657459505,0.010475833819702657,0.11483927370813955,0.469744511136325,0.5289671545354854,0.0012883343281895915,0.022301130872953316,0.02360844694499413,0.0001935398252999822,1.3578565853600248e-05,1.99152299186137e-06,0.00018883258913740078,1.3759613398314918e-05,1.8104754471466998e-06,0.00015389041300746948,1.2854375674741569e-05,1.8104754471466998e-06,0.02476694638267465,0.02296392682319818
seen,RAFT-Stereo,dataset_1_keyframe_3,non_boundary,sequence,0.5,216204.59805059433,220333.8908572197,191264.88542938232,24939.712621212006,29069.005427837372,58270.47233295441,54008.71804904938,2437011,1161918,1273020,2073,12,1,0,21,0,0,0,0,0,301,470,0.08871712029637713,0.0904115290645876,0.0784833902798889,0.010233730016488224,0.11535236921915883,0.47677995708677556,0.5223694107248593,0.0008506321883651735,0.021464262212317915,0.022834680859560235,4.92406476622387e-06,4.1033873051865586e-07,0.0,8.617113340891772e-06,0.0,0.0,0.0,0.0,0.0,0.02391063164382697,0.022161868801186937
seen,RAFT-Stereo,dataset_1_keyframe_3,raw_error_high_gt_3px,sequence,0.5,298.9068093299866,284.70674896240234,283.6324625015259,15.274346828460693,1.0742864608764648,16.98228168487549,16.348633289337158,76,50,26,0,76,76,11,73,72,10,73,72,10,51,470,3.932984333289297,3.7461414337158203,3.7320060855463932,0.20097824774290363,0.051100698785346614,0.6578947368421053,0.34210526315789475,0.0,0.3054869365692139,0.04131871003371019,1.0,1.0,0.14473684210526316,0.9605263157894737,0.9473684210526315,0.13157894736842105,0.9605263157894737,0.9473684210526315,0.13157894736842105,0.22345107480099327,0.21511359591233103
seen,RAFT-Stereo,dataset_1_keyframe_3,raw_error_low_le_1px,sequence,0.5,511660.33925294876,526934.1964654922,452966.7354545593,58693.603798389435,73967.46101093292,142962.5105023384,132661.06480932236,5606587,2615459,2983979,7149,0,0,0,195,2,0,0,0,0,470,470,0.0912605724753667,0.09398484255492552,0.08079188559003175,0.010468686885334949,0.11471204487743801,0.4664975322776584,0.5322273604244436,0.0012751072978979903,0.02244103379115843,0.02478819757475938,0.0,0.0,0.0,3.478051798714619e-05,3.567232614066276e-07,0.0,0.0,0.0,0.0,0.025499026502636704,0.02366164385022873
seen,RAFT-Stereo,dataset_1_keyframe_3,raw_error_mid_1_to_3px,sequence,0.5,1498.8669047355652,1353.850833415985,1341.5051717758179,157.36173295974731,12.345661640167236,171.17122077941895,169.70739459991455,1001,648,353,0,1001,0,0,780,3,0,780,0,0,203,470,1.4973695352003649,1.3524983350809041,1.340165006769049,0.15720452843131594,0.10498712891890125,0.6473526473526473,0.35264735264735264,0.0,0.24284218049343723,0.03497354572285336,1.0,0.0,0.0,0.7792207792207793,0.002997002997002997,0.0,0.7792207792207793,0.0,0.0,0.17100022055886008,0.16953785674317137
seen,RAFT-Stereo,dataset_2_keyframe_2,all,sequence,0.5,429795.2814731598,419814.07167482376,386894.09474658966,42901.18672657013,32919.9769282341,81727.89040327072,75821.16365480423,2028109,1162243,864516,1350,22907,1055,726,21666,1045,721,20228,971,686,1029,1032,0.2119192220305515,0.20699778546164124,0.19076592764323302,0.021153294387318472,0.09981772386965865,0.5730673252768959,0.42626703002649263,0.0006656446966114741,0.03691240706682693,0.03807908347356683,0.01129475782613262,0.000520189003648226,0.0003579689257332816,0.010682857775395701,0.0005152583021918447,0.000355503575005091,0.009973822905968072,0.0004787711114146232,0.0003382461199077564,0.04029758282383773,0.037385152205726725
seen,RAFT-Stereo,dataset_2_keyframe_2,boundary,sequence,0.5,351187.4244890213,344505.3552918434,318618.9514427185,32568.473046302795,25886.40384912491,63486.69715642929,58454.876895427704,1401555,797238,603353,964,22035,1055,726,20871,1045,721,19475,971,686,1029,1032,0.2505698488386266,0.2458022377229887,0.22733246390096606,0.023237384937660532,0.09273815283588252,0.5688239134390016,0.43048827909001075,0.0006878074709875816,0.04085163156585962,0.042904243202776665,0.0157218232605927,0.0007527353546596459,0.0005179960829221829,0.014891317144172009,0.0007456004223879905,0.0005144286167863551,0.013895280599048914,0.0006928019235777405,0.0004894563538355612,0.04529732843622212,0.04170715875968314
seen,RAFT-Stereo,dataset_2_keyframe_2,fb_consistent,sequence,0.5,428595.60031175613,418478.5466413498,385888.6596298218,42706.94068193436,32589.887011528015,81115.27368116379,75296.82769346237,2021782,1159907,860525,1350,22811,1049,720,21564,1038,714,20145,965,680,1029,1032,0.21198902765568006,0.20698499968906134,0.19086561242993644,0.021123415225743625,0.09964390826893649,0.5737052758408177,0.4256269963823993,0.0006677277767830558,0.03681928006463825,0.037872097860640906,0.011282620974961691,0.0005188492132188337,0.00035612148095096307,0.010665838354481344,0.0005134084683709717,0.0003531538019430384,0.009963982269107155,0.000477301707107888,0.0003363369542314651,0.04012068248760934,0.037242802484868484
seen,RAFT-Stereo,dataset_2_keyframe_2,fb_inconsistent_occlusion_like,sequence,0.5,1199.681161403656,1335.5250334739685,1005.4351167678833,194.2460446357727,330.0899167060852,612.6167221069336,524.3359613418579,6327,2336,3991,0,96,6,6,102,7,7,83,6,6,152,1032,0.18961295422848998,0.21108345716357965,0.15891182499887518,0.030701129229614793,0.1619147244160275,0.36921131657973766,0.6307886834202624,0.0,0.08315327253243694,0.08270857346682164,0.015173067804646752,0.000948316737790422,0.000948316737790422,0.016121384542437174,0.001106369527422159,0.001106369527422159,0.013118381539434171,0.000948316737790422,0.000948316737790422,0.09682578190405146,0.08287276139431925
seen,RAFT-Stereo,dataset_2_keyframe_2,gt_disparity_0_to_2px,sequence,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
seen,RAFT-Stereo,dataset_2_keyframe_2,gt_disparity_2_to_4px,sequence,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
seen,RAFT-Stereo,dataset_2_keyframe_2,gt_disparity_4_to_8px,sequence,0.5,82867.47553634644,79968.18169975281,71516.74199390411,11350.733542442322,8451.439705848694,21932.044046401978,19802.173248291016,533289,306678,226481,130,1539,0,0,1473,0,0,1251,0,0,579,1032,0.15538943337729905,0.14995280551399487,0.1341050387199138,0.02128439465738524,0.13697453034470422,0.5750690526149986,0.42468717712159826,0.00024377026340314538,0.03701189372058746,0.037316329872478016,0.002885864887518775,0.0,0.0,0.0027621045999448703,0.0,0.0,0.0023458199962871915,0.0,0.0,0.04112600118585228,0.037132161451466306
seen,RAFT-Stereo,dataset_2_keyframe_2,gt_disparity_ge_8px,sequence,0.5,346927.80593681335,339845.88997507095,315377.35275268555,31550.453184127808,24468.537222385406,59795.846356868744,56018.990406513214,1494820,855565,638035,1220,21368,1055,726,20193,1045,721,18977,971,686,1029,1032,0.23208667661445082,0.22734903866356548,0.21098015329784559,0.02110652331660523,0.09094241696462398,0.5723531930265852,0.4268306551959433,0.000816151777471535,0.036876745991394934,0.03834983538894482,0.014294697689353902,0.0007057705944528438,0.00048567720528224135,0.013508649870887464,0.0006990808257850443,0.0004823323209483416,0.012695174000883049,0.0006495765376433283,0.00045891813061104346,0.040002037942273146,0.03747540868232511
seen,RAFT-Stereo,dataset_2_keyframe_2,motion_high_ge_1px,sequence,0.5,249387.15862607956,250287.7696671486,227494.65790224075,21892.500723838806,22793.111764907837,48524.41011047363,44685.61248874664,1107019,555496,550715,808,15251,469,220,14471,449,214,13419,414,202,652,1032,0.22527811954996216,0.22609166569602562,0.20550203555877608,0.019776083991186078,0.08778519649707987,0.5017944588123601,0.49747565308273844,0.0007298881049015419,0.03941072613275128,0.04138821670901979,0.013776637980016604,0.00042366029851339496,0.00019873190975041983,0.013072043027265114,0.0004055937612633568,0.00019331194857540837,0.012121743167913108,0.00037397732107579003,0.00018247202622538548,0.04383340313985002,0.04036571412843559
seen,RAFT-Stereo,dataset_2_keyframe_2,motion_low_lt_1px,sequence,0.5,180408.12284708023,169526.30200767517,159399.4368443489,21008.686002731323,10126.865163326263,33203.48029279709,31135.551166057587,921090,606747,313801,542,7656,586,506,7195,596,507,6809,557,484,707,1032,0.195863729762651,0.18404966073638315,0.17305522461903713,0.022808505143613877,0.11645088741674314,0.6587271602123571,0.3406844065183641,0.0005884332692787892,0.034625117227990124,0.03227161533368684,0.008311891346122528,0.0006362027597737463,0.0005493491406920062,0.007811397366164001,0.0006470594621589638,0.000550434810930528,0.007392328654094605,0.0006047183228566155,0.0005254643954445277,0.036048030369233285,0.03380294126095994
seen,RAFT-Stereo,dataset_2_keyframe_2,non_boundary,sequence,0.5,78607.85698413849,75308.71638298035,68275.14330387115,10332.713680267334,7033.573079109192,18241.19324684143,17366.286759376526,626554,365005,261163,386,872,0,0,795,0,0,753,0,0,168,1032,0.12546062587444737,0.12019509313320216,0.10896928804839033,0.016491337826057037,0.13144632199237127,0.5825595239995276,0.4168244077924648,0.0006160682080076098,0.02830841681694041,0.02693173642173352,0.0013917395787114918,0.0,0.0,0.0012688451434353623,0.0,0.0,0.001201811815102928,0.0,0.0,0.029113521335497706,0.027717142910868856
seen,RAFT-Stereo,dataset_2_keyframe_2,raw_error_high_gt_3px,sequence,0.5,7634.981086730957,7304.1237235069275,7165.455243110657,469.5258436203003,138.66848039627075,608.309787273407,608.194324016571,1055,642,413,0,1055,1055,726,1037,971,694,1037,971,686,251,1032,7.236948897375314,6.923340022281448,6.791900704370291,0.4450481930050234,0.06149666099845375,0.6085308056872037,0.3914691943127962,0.0,0.7313486660752341,0.3357590324364909,1.0,1.0,0.6881516587677725,0.9829383886255925,0.9203791469194312,0.6578199052132702,0.9829383886255925,0.9203791469194312,0.6502369668246446,0.5765969547615232,0.5764875109161811
seen,RAFT-Stereo,dataset_2_keyframe_2,raw_error_low_le_1px,sequence,0.5,387811.40597486496,379835.6489276886,347627.54669332504,40183.85928153992,32208.102234363556,78286.75092458725,72391.96151590347,2005202,1146086,857766,1350,0,0,0,1438,38,22,0,0,0,1029,1032,0.19340266266184902,0.18942512970149072,0.1733628565567584,0.020039806105090624,0.10361701245100652,0.571556381850806,0.42777036926952994,0.000673248879663994,0.035061818468718677,0.037548821280353334,0.0,0.0,0.0,0.0007171347325606099,1.8950709205356866e-05,1.0971463224153975e-05,0.0,0.0,0.0,0.03904182766852778,0.03610207924982295
seen,RAFT-Stereo,dataset_2_keyframe_2,raw_error_mid_1_to_3px,sequence,0.5,34348.89441156387,32674.299023628235,32101.09281015396,2247.801601409912,573.2062134742737,2832.8296914100647,2821.007814884186,21852,15515,6337,0,21852,0,0,19191,36,5,19191,0,0,565,1032,1.5718879009502047,1.4952543942718395,1.4690231013250028,0.1028647996252019,0.06544028970705877,0.7100036609921289,0.28999633900787114,0.0,0.14487925242732272,0.09045387619919106,1.0,0.0,0.0,0.878226249313564,0.0016474464579901153,0.00022881200805418268,0.878226249313564,0.0,0.0,0.1296370900334095,0.12909609257203852
seen,RAFT-Stereo,dataset_2_keyframe_3,all,sequence,0.5,1198811.496810913,1207022.3947467804,1062354.4995183945,136456.99729251862,144667.89522838593,307674.4786272049,281124.89252090454,4673151,2299142,2373907,102,123604,3385,12,127918,3417,8,104144,2566,3,1101,1101,0.25653172705331223,0.25828876377989507,0.22733151561299741,0.029200211440314816,0.1138269007725756,0.4919896660732769,0.5079885071122247,2.1826814498397335e-05,0.05935126986176522,0.06094084360861059,0.026449819404508863,0.0007243506576183821,2.567860529223216e-06,0.02737296526476461,0.0007311982856963106,1.7119070194821439e-06,0.022285605579618548,0.0005490941764988976,6.41965132305804e-07,0.06583876245967761,0.060157459607212464
