phase,threshold,coverage,epe,gain,harmful_selected_fraction
test,0.6,0.01805555634200573,0.1581098586320877,-0.0012174397706985474,0.008547008968889713
test,0.8,0.005941358394920826,0.15758466720581055,-0.0006922483444213867,0.019480518996715546
test,0.0,0.16581790149211884,0.17189085483551025,-0.0011809766292572021,0.016984643414616585
test,0.01,0.1059027835726738,0.1718926578760147,-0.0011827796697616577,0.026593806222081184
test,0.05,0.10231482237577438,0.17189635336399078,-0.001186475157737732,0.02752639539539814
test,0.1,0.0992283970117569,0.17190681397914886,-0.001196935772895813,0.02838258072733879
test,0.2,0.09421296417713165,0.1719074547290802,-0.0011975765228271484,0.029893530532717705
test,0.4,0.08206018805503845,0.17187286913394928,-0.001162990927696228,0.034320637583732605
test,0.6,0.03545524924993515,0.17104415595531464,-0.00033427774906158447,0.07508160918951035
test,0.8,0.01442901324480772,0.1702326387166977,0.0004772394895553589,0.13101604580879211
test,0.0,0.16782407462596893,0.1715172529220581,-0.007338538765907288,0.05149425193667412
test,0.01,0.11944445222616196,0.17151442170143127,-0.0073357075452804565,0.07235141843557358
test,0.05,0.1123071014881134,0.17147380113601685,-0.007295086979866028,0.07694949954748154
test,0.1,0.10810185968875885,0.1714157909154892,-0.007237076759338379,0.07994289696216583
test,0.2,0.10192901641130447,0.17133882641792297,-0.007160112261772156,0.08478425443172455
test,0.4,0.09020061790943146,0.17123860120773315,-0.007059887051582336,0.09580838680267334
test,0.6,0.03969907760620117,0.17151272296905518,-0.007334008812904358,0.21282799541950226
test,0.8,0.01847993955016136,0.16993090510368347,-0.005752190947532654,0.4008350670337677
test,0.0,0.17048612236976624,0.16488520801067352,-0.00984734296798706,0.051595382392406464
test,0.01,0.12476852536201477,0.16488425433635712,-0.009846389293670654,0.0705009251832962
test,0.05,0.11566358804702759,0.16487960517406464,-0.009841740131378174,0.07605069875717163
test,0.1,0.10914352536201477,0.16485685110092163,-0.009818986058235168,0.08059384673833847
test,0.2,0.10158179700374603,0.16473160684108734,-0.009693741798400879,0.08659324049949646
test,0.4,0.0877314880490303,0.16433890163898468,-0.009301036596298218,0.10026384890079498
test,0.6,0.03479938581585884,0.16307805478572845,-0.008040189743041992,0.24168513715267181
test,0.8,0.01705246977508068,0.16150178015232086,-0.006463915109634399,0.438914030790329
test,0.0,0.1741512417793274,0.15686573088169098,0.0003021657466888428,0.004430660046637058
test,0.01,0.10999228805303574,0.15686637163162231,0.0003015249967575073,0.007015082519501448
test,0.05,0.10266204178333282,0.1568574160337448,0.00031048059463500977,0.007515971548855305
test,0.1,0.09857253730297089,0.15683284401893616,0.00033505260944366455,0.007827788591384888
test,0.2,0.08950617909431458,0.15659639239311218,0.0005715042352676392,0.008620689623057842
test,0.4,0.07380401343107224,0.15599168837070465,0.001176208257675171,0.010454783216118813
test,0.6,0.027970680966973305,0.15364697575569153,0.0035209208726882935,0.02620689570903778
test,0.8,0.009027778171002865,0.1555919349193573,0.001575961709022522,0.08119658380746841
test,0.0,0.17608025670051575,0.15621903538703918,-0.004361450672149658,0.003505696775391698
test,0.01,0.10285494476556778,0.15622040629386902,-0.004362821578979492,0.00600150041282177
test,0.05,0.09606482088565826,0.15623660385608673,-0.004379019141197205,0.006425702944397926
test,0.1,0.09124229103326797,0.15624642372131348,-0.00438883900642395,0.006765327882021666
test,0.2,0.08263888955116272,0.1562662422657013,-0.004408657550811768,0.00746965454891324
test,0.4,0.06905864179134369,0.156296506524086,-0.004438921809196472,0.008379888720810413
test,0.6,0.013271605595946312,0.15331989526748657,-0.001462310552597046,0.04360464960336685
test,0.8,0.004166666883975267,0.1526816338300705,-0.0008240491151809692,0.12962962687015533
test,0.0,0.17804785072803497,0.14591851830482483,-0.0033863037824630737,0.012134344317018986
test,0.01,0.11728395521640778,0.1459180861711502,-0.003385871648788452,0.018421052023768425
test,0.05,0.11091821640729904,0.145897775888443,-0.003365561366081238,0.019478261470794678
test,0.1,0.10698302835226059,0.1458689272403717,-0.0033367127180099487,0.020194735378026962
test,0.2,0.10030864924192429,0.1458161473274231,-0.0032839328050613403,0.02153846062719822
test,0.4,0.0870756208896637,0.1454736590385437,-0.002941444516181946,0.024811696261167526
test,0.6,0.02885802648961544,0.14394955337047577,-0.0014173388481140137,0.07486630976200104
test,0.8,0.010455247014760971,0.14416898787021637,-0.0016367733478546143,0.169741690158844
test,0.0,0.18325617909431458,0.15296728909015656,-0.004537478089332581,0.018736843019723892
test,0.01,0.11709105223417282,0.1529684066772461,-0.004538595676422119,0.029324546456336975
test,0.05,0.11180555820465088,0.15297739207744598,-0.004547581076622009,0.03071083500981331
test,0.1,0.10918210446834564,0.1529737263917923,-0.004543915390968323,0.031448762863874435
test,0.2,0.10462963581085205,0.1529996395111084,-0.004569828510284424,0.032817110419273376
