sequence_id,frame_id,probe_bucket,target_mask_priority,disparity_mae,bad_3px,depth_mae,boundary_disp_mae_px,raw_temporal_disp_diff_px,samepixel_temporal_motion_mismatch_px,samepixel_temporal_error_variation_px,valid_pixel_pct
dataset_5_keyframe_3,000800,high_geometry_error,s2m2_error_mask,153.59328773404954,99.80543875799268,22.712470992242096,80.271728515625,172.85137939453125,166.9346923828125,169.86416625976562,0.30664825439453125
dataset_5_keyframe_3,000796,high_geometry_error,s2m2_error_mask,141.95025579629416,99.35798803478465,22.261468414301053,62.48462677001953,28.215097427368164,32.024906158447266,29.072904586791992,0.31039886474609374
dataset_5_keyframe_3,000795,high_geometry_error,s2m2_error_mask,116.92443360904046,99.57139023675704,20.41396292670678,61.8683967590332,13.711809158325195,16.72301483154297,14.139632225036621,0.3099037170410156
dataset_5_keyframe_2,000405,high_geometry_error,s2m2_error_mask,51.506711073428185,97.10802560184555,83.10562096730371,54.0377197265625,34.5941276550293,33.1656608581543,31.89214324951172,0.2305206298828125
dataset_5_keyframe_3,000794,high_geometry_error,s2m2_error_mask,113.58005054044355,99.56399273651536,20.29503310369004,74.29349517822266,71.44585418701172,70.87735748291016,69.84322357177734,0.3079704284667969
dataset_6_keyframe_4,001093,high_geometry_error,s2m2_error_mask,84.19180488042834,100.0,38.88272336052937,53.69258499145508,80.53477478027344,79.98178100585938,80.37701416015625,0.3439933776855469
dataset_5_keyframe_3,000791,high_boundary_error,boundary_artifact_mask,48.40357312501387,97.92574186555413,11.443312802490194,144.16915893554688,4.149039268493652,4.002641677856445,4.818186283111572,0.298443603515625
dataset_5_keyframe_3,000790,high_boundary_error,boundary_artifact_mask,43.517862076104365,91.59979233874613,10.57541170322197,125.41172790527344,6.6378865242004395,5.820211410522461,6.589654445648193,0.29538650512695314
dataset_5_keyframe_3,001043,high_boundary_error,boundary_artifact_mask,61.48166962688826,98.50299783951012,10.950374817492511,119.80085754394531,2.9314050674438477,4.9502363204956055,6.503017425537109,0.17903823852539064
dataset_5_keyframe_3,000792,high_boundary_error,boundary_artifact_mask,66.37910078783872,99.23747964297888,14.926292898499295,118.64151763916016,26.382600784301758,25.683860778808594,26.47675323486328,0.3021659851074219
