dataset,authorization,raw_wrong,incorrect_authorization,pc1,pc2
CREStereo,0.0,0.0,0.0,-3.9357207,-2.9023142
CREStereo,0.0,0.0,0.0,-2.7448502,-4.7581425
CREStereo,0.0,0.0,0.0,-3.6226,-0.22143067
CREStereo,0.0,0.0,0.0,-5.603069,0.49525937
CREStereo,0.0,0.0,0.0,-4.616608,-1.9674648
CREStereo,0.0,0.0,0.0,-7.496994,1.7020782
CREStereo,0.0,0.0,0.0,-6.769056,0.9446989
CREStereo,0.0,0.0,0.0,-5.8025036,-0.22612312
CREStereo,0.0,0.0,0.0,-5.6038294,-0.51604265
CREStereo,0.0,1.0,0.0,-7.864613,2.3809395
CREStereo,0.0,0.0,0.0,-3.3913794,-1.0004752
CREStereo,0.0,0.0,0.0,-3.5927737,-2.2440934
CREStereo,0.0,0.0,0.0,-5.1612496,-2.3814652
CREStereo,0.0,0.0,0.0,-5.238563,-0.7102463
CREStereo,0.0,1.0,0.0,-4.3155966,-2.5787706
CREStereo,0.0,0.0,0.0,-7.2083464,1.162339
CREStereo,0.0,0.0,0.0,-4.0968933,-0.073016375
CREStereo,0.0,0.0,0.0,-8.719551,2.4853635
CREStereo,0.0,0.0,0.0,-7.8739104,2.1441715
CREStereo,0.0,0.0,0.0,-7.845999,1.4903159
CREStereo,0.0,0.0,0.0,-7.28765,1.7075444
CREStereo,0.0,0.0,0.0,-4.3882723,0.0138349235
CREStereo,0.0,0.0,0.0,-9.555458,3.5852685
CREStereo,1.0,0.0,1.0,2.5878034,-5.020567
CREStereo,0.0,0.0,0.0,-4.4661117,-1.6840298
CREStereo,0.0,0.0,0.0,-6.333696,0.3859646
CREStereo,0.0,0.0,0.0,-3.0559127,-3.0134294
CREStereo,0.0,0.0,0.0,-8.153781,1.4496785
CREStereo,0.0,0.0,0.0,-6.955923,0.917323
CREStereo,0.0,0.0,0.0,-7.745352,2.1265757
CREStereo,0.0,0.0,0.0,-3.664143,0.64631784
CREStereo,0.0,0.0,0.0,-7.2851114,1.1245393
CREStereo,0.0,1.0,0.0,-5.4236107,-0.45099872
CREStereo,0.0,0.0,0.0,-6.829921,0.7234695
CREStereo,0.0,0.0,0.0,-6.6174684,1.1695285
CREStereo,0.0,0.0,0.0,-8.220281,2.4504616
CREStereo,0.0,0.0,0.0,-7.1195073,0.35695568
CREStereo,0.0,0.0,0.0,-1.2356195,-1.1777729
CREStereo,0.0,0.0,0.0,-5.195364,-2.2915192
CREStereo,0.0,0.0,0.0,-5.9696918,0.40065035
CREStereo,1.0,1.0,0.0,8.86068,-3.513112
CREStereo,1.0,1.0,0.0,6.637117,-4.309639
CREStereo,0.0,0.0,0.0,-6.9317164,1.4619421
CREStereo,0.0,0.0,0.0,-6.3188987,0.11799672
CREStereo,0.0,0.0,0.0,-6.8391466,1.3057657
CREStereo,0.0,0.0,0.0,-3.8851745,-0.27083206
CREStereo,0.0,0.0,0.0,-2.999312,-1.004767
CREStereo,0.0,0.0,0.0,-2.9776552,-0.6950617
CREStereo,0.0,0.0,0.0,-6.8427787,0.8668339
CREStereo,0.0,0.0,0.0,-8.129072,2.0939631
CREStereo,0.0,0.0,0.0,-7.76394,1.8984691
CREStereo,0.0,0.0,0.0,-5.6170034,0.40095356
CREStereo,0.0,0.0,0.0,-2.120002,-1.7427949
CREStereo,0.0,0.0,0.0,-5.849471,0.52160275
CREStereo,0.0,0.0,0.0,-3.667657,-2.8560035
CREStereo,0.0,0.0,0.0,-3.3049726,-0.37452364
CREStereo,0.0,0.0,0.0,-3.9388814,-2.089182
CREStereo,0.0,1.0,0.0,-4.8097763,-0.13213477
CREStereo,0.0,0.0,0.0,-7.555859,1.7142152
CREStereo,0.0,0.0,0.0,-5.083542,0.6332618
CREStereo,0.0,1.0,0.0,-3.367192,-0.58616686
CREStereo,0.0,0.0,0.0,-5.880063,0.56241894
CREStereo,0.0,0.0,0.0,-4.255733,-2.9925761
CREStereo,0.0,0.0,0.0,-5.7402544,0.014243543
CREStereo,0.0,0.0,0.0,-8.722105,2.5151641
CREStereo,0.0,0.0,0.0,-5.3071566,1.5089682
CREStereo,0.0,0.0,0.0,-5.678682,-1.1290491
CREStereo,0.0,0.0,0.0,-4.303469,-1.8130667
CREStereo,0.0,0.0,0.0,-7.131362,1.5503844
CREStereo,0.0,0.0,0.0,-7.9824624,1.932623
CREStereo,0.0,0.0,0.0,-7.783655,1.6925548
CREStereo,0.0,0.0,0.0,-7.5380354,1.290424
CREStereo,0.0,0.0,0.0,-8.199217,1.989175
CREStereo,0.0,0.0,0.0,-10.887767,4.2650914
CREStereo,0.0,0.0,0.0,-4.25441,-0.5131806
CREStereo,0.0,0.0,0.0,-3.9664378,-3.1466246
CREStereo,0.0,0.0,0.0,-5.2952185,0.6346674
CREStereo,1.0,1.0,0.0,1.4881234,-5.4129934
CREStereo,0.0,1.0,0.0,-4.053173,-0.50262725
CREStereo,0.0,1.0,0.0,0.27354383,-5.261139
CREStereo,0.0,0.0,0.0,-7.337092,1.003837
CREStereo,0.0,0.0,0.0,-10.173889,3.6676912
