dataset,backbone,sequence,method,coverage_threshold,frames,valid_count,raw_epe,epe,bad1,bad3,boundary_epe,refined_minus_raw_epe,intervention_coverage,intervention_precision,false_update_rate,clean_degradation,new_bad3,frames_worsened,worst_frame_degradation,p95_frame_degradation
D4D-final-specimen3,S2M2-S,specimen_3__2025_05_08-14_25_47,raw,0.5,1,229,8.872121810913086,8.872121810913086,0.9301310181617737,0.7554585337638855,8.984586715698242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D4D-final-specimen3,S2M2-S,specimen_3__2025_05_08-14_24_24,raw,0.5,1,255,3.394228219985962,3.394228219985962,0.9960784912109375,0.7254902124404907,3.404991865158081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D4D-final-specimen3,S2M2-S,specimen_3__2025_05_08-14_36_52,raw,0.5,1,223,2.060269832611084,2.060269832611084,1.0,0.0044843051582574844,2.0737226009368896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D4D-final-specimen3,S2M2-S,specimen_3__2025_05_08-14_38_08,raw,0.5,1,710,4.725510120391846,4.725510120391846,0.9985915422439575,0.4253520965576172,5.009943962097168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D4D-final-specimen3,S2M2-S,specimen_3__2025_05_08-14_33_16,raw,0.5,2,302,4.996379583876654,4.996379583876654,0.9834437322932363,0.6688742073166449,5.011045342249586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D4D-final-specimen3,S2M2-S,specimen_3__2025_05_08-14_49_00,raw,0.5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
D4D-final-specimen3,S2M2-S,specimen_3__2025_05_08-14_52_45,raw,0.5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
D4D-final-specimen3,S2M2-S,specimen_3__2025_05_08-14_27_51,raw,0.5,12,2219,10.256118071299515,10.256118071299515,0.9364578650039614,0.7399729547225553,10.36298666778262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D4D-final-specimen3,S2M2-S,specimen_3__2025_05_08-14_25_47,a2_unconditional,0.5,1,229,8.872121810913086,7.748737812042236,0.8384279608726501,0.4323144257068634,7.85398006439209,-1.12338387966156,0.9868995633187773,0.9601769911504425,1.0,0.6666666666666666,0.0,0.0,-1.12338387966156,-1.12338387966156
D4D-final-specimen3,S2M2-S,specimen_3__2025_05_08-14_24_24,a2_unconditional,0.5,1,255,3.394228219985962,2.589939594268799,0.9333333969116211,0.3921568989753723,2.601914405822754,-0.8042885661125183,1.0,0.9725490196078431,1.0,1.0,0.08571428805589676,0.0,-0.8042885661125183,-0.8042885661125183
