dataset,backbone,sequence,method,coverage_threshold,frames,valid_count,raw_epe,epe,refined_minus_raw_epe,bad1,bad3,boundary_epe,new_bad3,intervention_coverage,intervention_precision,false_update_rate,clean_degradation,mean_clean_update,frames_worsened,worst_frame_degradation,p95_frame_degradation,catastrophic_tail_p99,raw_mc_temporal_error,refined_mc_temporal_error
SCARED-C-test,StereoAnywhere,dataset_7_keyframe_3,oracle_authorization,0.5,160,1080260,1.8206295204489957,1.7157747750888905,-0.10485474418744711,0.1667339336746885,0.12591413130372223,4.225505341939682,0.0,0.19150297150685947,0.9820856274139206,0.10213420496058451,0.0,0.019476977367168812,0.0,-0.013914642855525017,-0.02362065184861422,-0.016756317792460333,0.539190410530603,0.4822044566280345
SCARED-C-test,StereoAnywhere,dataset_7_keyframe_3,raw,0.9,160,43664,1.5889989770396031,1.5889989770396031,0.0,0.3045987550878386,0.16787284750754328,2.8726753547920425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39006289441859265,0.39006289441859265
SCARED-C-test,StereoAnywhere,dataset_7_keyframe_3,a2_no_authorization,0.9,160,43664,1.5889989770396031,1.5041751280760058,-0.08482382888182641,0.2978884207633194,0.15823103774336572,2.6902415476795887,0.005174217056275666,0.39174148039574935,0.6272434960537855,0.2138281972813323,0.1085687851398477,0.06590243256509022,0.057971014492753624,0.2402237206697464,0.006081159249879478,0.19717731297016122,0.39006289441859265,0.3989001690099864
SCARED-C-test,StereoAnywhere,dataset_7_keyframe_3,m0_scared_only,0.9,160,43664,1.5889989770396031,1.5197430985494111,-0.06925586931033748,0.2977510074982143,0.1591242219118119,2.713544272441094,0.003908185213294035,0.1892176621473067,0.7092713628661341,0.03985481460394278,0.029997864920646218,0.026830104321398665,0.11594202898550725,0.2691797614097595,0.012638084823265762,0.18994954988360396,0.39006289441859265,0.3998637738917125
SCARED-C-test,StereoAnywhere,dataset_7_keyframe_3,multidomain,0.9,160,43664,1.5889989770396031,1.5580206777546903,-0.03097829811243654,0.3025604617512676,0.16512458813336625,2.8057205026531924,0.00011008972359213511,0.04495694393550751,0.7753438614365766,0.01188527506939008,0.010924489360187887,0.01283729159969893,0.07971014492753623,0.01039196364581585,0.002090516925090937,0.009548556441441178,0.39006289441859265,0.39918871469844847
SCARED-C-test,StereoAnywhere,dataset_7_keyframe_3,oracle_authorization,0.9,160,43664,1.5889989770396031,1.4516188792779239,-0.1373800972792958,0.2833226464015455,0.15392543085110733,2.5799794567108285,0.0,0.25075577134481497,0.9799068408073797,0.09881858942424027,0.0,0.023997673350730653,0.0,-0.003971099853515625,-0.05342845376580952,-0.03402920868247754,0.39006289441859265,0.38987684055781296
SCARED-C-test,S2M2-S,dataset_7_keyframe_4,raw,0.05,160,2617206,0.23079009170959117,0.23079009170959117,0.0,0.023489171358331753,0.0006090464413825377,0.5191755487367038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07827671516080974,0.07827671516080974
SCARED-C-test,S2M2-S,dataset_7_keyframe_4,a2_no_authorization,0.05,160,2617206,0.23079009170959117,0.21242579124305275,-0.01836429966889578,0.02137470258239381,0.0002621115796165051,0.47150238061911726,3.4408773111250033e-06,0.4887998881249699,0.5947525580595486,0.4664917790157838,0.17535627248882832,0.06249240841523577,0.025,0.005656058434396982,-0.0043253152281977555,0.0029947938793338817,0.07827671516080974,0.09862551727663935
SCARED-C-test,S2M2-S,dataset_7_keyframe_4,m0_scared_only,0.05,160,2617206,0.23079009170959117,0.22642260860217153,-0.004367481592974323,0.02197266854377622,0.00041914927430201194,0.49213818432142403,1.1469591110952501e-06,0.05297787029374073,0.5866978233588646,0.036180344577552113,0.015941518069710944,0.007991040855175326,0.0625,0.019432423636317253,0.0013710408005863234,0.01104650923982261,0.07827671516080974,0.0837276904101116
SCARED-C-test,S2M2-S,dataset_7_keyframe_4,multidomain,0.05,160,2617206,0.23079009170959117,0.2270299110524513,-0.003760179359025115,0.022472438192704513,0.000300320266240983,0.49222246198051345,1.529278801272083e-06,0.04330648791115411,0.555513401916324,0.0303087915146808,0.013932469893051115,0.006693530505537643,0.075,0.01616143062710762,0.001534049550536995,0.008118402333930116,0.07827671516080974,0.08198952239248308
SCARED-C-test,S2M2-S,dataset_7_keyframe_4,oracle_authorization,0.05,160,2617206,0.23079009170959117,0.18991020739034295,-0.040879884694677966,0.018938517012063272,0.00025867279797017653,0.43917135914994565,0.0,0.3002648626053891,0.9681951505048642,0.28083364629242585,0.0,0.03741400789290355,0.0,-0.02707475610077381,-0.03001274606212974,-0.027776310313493018,0.07827671516080974,0.08721921323119264
SCARED-C-test,S2M2-S,dataset_7_keyframe_4,raw,0.25,160,2430301,0.22009223437177425,0.22009223437177425,0.0,0.018958557049361537,0.0005608358786106648,0.5263856458137269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07745978599373995,0.07745978599373995
SCARED-C-test,S2M2-S,dataset_7_keyframe_4,a2_no_authorization,0.25,160,2430301,0.22009223437177425,0.20116732415342617,-0.01892490776561656,0.0166958743419284,0.00019956375655442773,0.4624605958621066,1.6468102297448283e-06,0.4817016493018766,0.6007132606690129,0.46130258321676165,0.17207526068639475,0.06176430860942041,0.0125,0.0009189735283143818,-0.00368499736068771,-0.0003861958751804242,0.07745978599373995,0.09724645601825052
SCARED-C-test,S2M2-S,dataset_7_keyframe_4,m0_scared_only,0.25,160,2430301,0.22009223437177425,0.2155328200544179,-0.004559413524242462,0.017478081982283688,0.000364975369923279,0.4894119665989902,0.0,0.04957204889435506,0.6036273085702428,0.034532153364481656,0.014803319865179269,0.007706689296134395,0.05,0.0124831423163414,3.160395954180359e-05,0.008913243301212771,0.07745978599373995,0.08272647369048171
SCARED-C-test,S2M2-S,dataset_7_keyframe_4,multidomain,0.25,160,2430301,0.22009223437177425,0.21598187634267832,-0.004110357421859603,0.01786527669056351,0.00023906503788931202,0.48811129164466005,0.0,0.04143067052188186,0.577143481413064,0.02980952441469811,0.01334046228659663,0.006603904573968516,0.05625,0.009872871451079845,0.00021677958211510932,0.006302342638373362,0.07745978599373995,0.08117321467899047
