backbone,sequence,coverage_threshold,method,frames,valid_count,clean_count,changed_count,epe,raw_epe,bad1,bad3,bad5,boundary_epe,non_boundary_epe,p95_pixel_error,intervention_coverage,intervention_precision,false_update_rate,clean_pixel_degradation,new_bad3
S2M2-S,dataset_7_keyframe_3,0.25,aligned_memory,583,3271753,2558373,1792610,1.4828772752904316,1.4759576176989289,0.1544905741184355,0.11538829491708533,0.08008856406974585,4.388764932062739,1.0235947627127733,8.546570040549254,0.5479050527347266,0.5090677838459007,0.48226783193850153,0.20343515195008702,0.00334976377431409
S2M2-S,dataset_7_keyframe_3,0.25,fixed_blend_50,583,3271753,2558373,1792610,1.4741553873519724,1.4759576176989289,0.1532206128886805,0.11554203502950963,0.08009895580066143,4.366801617721046,1.0167002785315506,8.474924811773645,0.5479050527347266,0.553065641717942,0.48226783193850153,0.17357554977323478,0.0015801246530350835
S2M2-S,dataset_7_keyframe_3,0.25,oracle_raw_memory,583,3271753,2558373,941141,1.4102641133415552,1.4759576176989289,0.14865944952692597,0.1132521308628922,0.07824398719472005,4.2009304563974945,0.9686444100820193,8.266622847777008,0.28765649485153677,0.9696315429887764,0.26792770248904285,0.0,0.0
S2M2-S,dataset_7_keyframe_3,0.25,learned_no_abstention,583,3271753,2558373,76483,1.462421817973705,1.4759576176989289,0.1520603783033459,0.11505330649410991,0.07958974874416198,4.313062219853862,1.0121379753947612,8.3843362905662,0.023376764688532416,0.6153655060601703,0.004641230969839034,0.002192018130272638,0.00010043875213689053
S2M2-S,dataset_7_keyframe_3,0.25,learned_calibrated,583,3271753,2558373,72797,1.4617369294468372,1.4759576176989289,0.15208666424320416,0.115062781545922,0.07960380850548128,4.311915809986475,1.011550413081317,8.374254336603997,0.022250151524274602,0.6308089619077709,0.004497389551875352,0.0021169704339437604,9.938129098312837e-05
S2M2-S,dataset_7_keyframe_3,0.25,unwarped_previous_control,583,3271753,2558373,1792610,1.4465341815301112,1.4759576176989289,0.15351953518847636,0.11426229310530457,0.07865783258532322,4.22805135746858,1.0118104371961407,8.285654290255334,0.5479050527347266,0.5023546672170746,0.48226783193850153,0.20357078502626474,0.005765784959826991
S2M2-S,dataset_7_keyframe_3,0.25,identity_no_flow_control,583,3271753,2558373,1792610,1.4465341815301112,1.4759576176989289,0.15351953518847636,0.11426229310530457,0.07865783258532322,4.22805135746858,1.0118104371961407,8.285654290255334,0.5479050527347266,0.5023546672170746,0.48226783193850153,0.20357078502626474,0.005765784959826991
S2M2-S,dataset_7_keyframe_3,0.25,shuffled_memory_control,583,3271753,2558373,1792610,1.5966516809546323,1.4759576176989289,0.1687819949473658,0.12064877764223979,0.08349438359811615,4.489101564526826,1.1558958731072428,8.641273704927666,0.5479050527347266,0.4538538778652356,0.48226783193850153,0.21017693667029788,0.014638453118146027
S2M2-S,dataset_7_keyframe_3,0.5,raw,583,2672683,2150042,0,1.2705080661800867,1.2705080661800867,0.1491033542138702,0.11301826663483776,0.07426694440338623,3.7001371724247916,0.9043761179184383,7.135387513512577,0.0,0.0,0.0,0.0,0.0
S2M2-S,dataset_7_keyframe_3,0.5,aligned_memory,583,2672683,2150042,1383534,1.2754921862723307,1.2705080661800867,0.15006418634967902,0.11279040592420499,0.07434813631880638,3.7259009137896353,0.9069834150986587,7.2027289949438815,0.5176573503105306,0.5175557666092774,0.45584458350115953,0.18591729835975299,0.003405357873353177
S2M2-S,dataset_7_keyframe_3,0.5,fixed_blend_50,583,2672683,2150042,1383534,1.2680715304527808,1.2705080661800867,0.14903563206174522,0.11281996413440697,0.0742501075870704,3.703985309075591,0.9012339270993557,7.156568244113137,0.5176573503105306,0.5638654344598687,0.45584458350115953,0.15702623483634273,0.0015814033362021261
S2M2-S,dataset_7_keyframe_3,0.5,oracle_raw_memory,583,2672683,2150042,739978,1.2148074945134344,1.2705080661800867,0.14577149597896502,0.11074452163940043,0.07256079379562619,3.574450876876792,0.8604311531826591,7.003175633173631,0.2768671032067776,0.9676720118706231,0.2590298236034459,0.0,0.0
S2M2-S,dataset_7_keyframe_3,0.5,learned_no_abstention,583,2672683,2150042,44957,1.2616700300598658,1.2705080661800867,0.148304531393631,0.11255917733618268,0.07386659759917016,3.6713663948060016,0.900219474112328,7.091664471620503,0.016820924890830674,0.6614542785328202,0.004292009179355566,0.0020297277913640757,7.12722443572146e-05
S2M2-S,dataset_7_keyframe_3,0.5,learned_calibrated,583,2672683,2150042,42566,1.261245948377488,1.2705080661800867,0.14833221894309861,0.11256516379224021,0.07387894472792539,3.6706018234986333,0.8998743081128044,7.088017068559084,0.015926318235271446,0.6751397829253395,0.004140384234354492,0.0019515897828972643,7.037812317438364e-05
S2M2-S,dataset_7_keyframe_3,0.5,unwarped_previous_control,583,2672683,2150042,1383534,1.257008998566958,1.2705080661800867,0.1488605270793332,0.11239080733443253,0.07353023150640375,3.6922374729563723,0.9018938171942605,7.1239667974397,0.5176573503105306,0.5139671305511827,0.45584458350115953,0.18348664816780325,0.005935804354113313
S2M2-S,dataset_7_keyframe_3,0.5,identity_no_flow_control,583,2672683,2150042,1383534,1.257008998566958,1.2705080661800867,0.1488605270793332,0.11239080733443253,0.07353023150640375,3.6922374729563723,0.9018938171942605,7.1239667974397,0.5176573503105306,0.5139671305511827,0.45584458350115953,0.18348664816780325,0.005935804354113313
S2M2-S,dataset_7_keyframe_3,0.5,shuffled_memory_control,583,2672683,2150042,1383534,1.338293295253438,1.2705080661800867,0.16097008136506005,0.11676019943718327,0.07675096512172817,3.8245278055475453,0.9820059380333288,7.331020844840162,0.5176573503105306,0.4619409425427926,0.45584458350115953,0.18739494391272357,0.012820423499608102
S2M2-S,dataset_7_keyframe_3,0.9,raw,561,388089,245738,0,1.5181921866390533,1.5181921866390533,0.34078265481104864,0.2313386883044663,0.0966221667121364,2.880068170819071,1.1928968801209896,5.466626514727496,0.0,0.0,0.0,0.0,0.0
S2M2-S,dataset_7_keyframe_3,0.9,aligned_memory,561,388089,245738,212281,1.5213061032077069,1.5181921866390533,0.34156082791834236,0.23134126452210935,0.0976992392597849,2.88138848873775,1.1950414364146544,5.502425960925825,0.5469905099088096,0.48049990342988774,0.45870398554558106,0.20350942874117964,0.012103795964537903
S2M2-S,dataset_7_keyframe_3,0.9,fixed_blend_50,561,388089,245738,212281,1.5152447532948172,1.5181921866390533,0.34070792987617976,0.2308851841314758,0.09708855460113662,2.877064621451773,1.1897003945506304,5.482021695093015,0.5469905099088096,0.5170505132348161,0.45870398554558106,0.1731681709788474,0.005226515155597059
S2M2-S,dataset_7_keyframe_3,0.9,oracle_raw_memory,561,388089,245738,104777,1.4672892402301305,1.5181921866390533,0.3362476132826185,0.2261852310415758,0.09346309746468048,2.7960314807482622,1.152235188552369,5.407944195454638,0.2699818855984065,0.9735056357788446,0.2445694194630053,0.0,0.0
S2M2-S,dataset_7_keyframe_3,0.9,learned_no_abstention,561,388089,245738,4811,1.5129468464139422,1.5181921866390533,0.3400457107264745,0.23066873855476774,0.09614804871826464,2.8689528368759785,1.189520637857886,5.459012002213071,0.012396640976683183,0.8530451049677822,0.0037601022226924612,0.0018841204860461141,4.70343477312965e-05
S2M2-S,dataset_7_keyframe_3,0.9,learned_calibrated,561,388089,245738,4530,1.5130817004734416,1.5181921866390533,0.34007147797614357,0.23067646873462927,0.09618927633491363,2.8692486421490484,1.189633064675346,5.459692082692442,0.01167258025865201,0.8527593818984548,0.0036583678551953707,0.001843426739047278,4.294189651512113e-05
S2M2-S,dataset_7_keyframe_3,0.9,unwarped_previous_control,561,388089,245738,212281,1.4935582418426188,1.5181921866390533,0.3348407193669457,0.22751740005765145,0.09353266923355237,2.7997185661809785,1.167048226608531,5.443350517036753,0.5469905099088096,0.4940008761971161,0.45870398554558106,0.19672171174177375,0.01763313790043666
S2M2-S,dataset_7_keyframe_3,0.9,identity_no_flow_control,561,388089,245738,212281,1.4935582418426188,1.5181921866390533,0.3348407193669457,0.22751740005765145,0.09353266923355237,2.7997185661809785,1.167048226608531,5.443350517036753,0.5469905099088096,0.4940008761971161,0.45870398554558106,0.19672171174177375,0.01763313790043666
S2M2-S,dataset_7_keyframe_3,0.9,shuffled_memory_control,561,388089,245738,212281,1.5514989417316896,1.5181921866390533,0.3447508178444665,0.23531715750655668,0.10124997135024516,2.8538713455390643,1.2261500953607842,5.510054526852851,0.5469905099088096,0.4665043032584169,0.45870398554558106,0.18371599020094573,0.032011770881840144
RAFT-Stereo,dataset_7_keyframe_3,0.05,raw,583,3399454,2585466,0,1.4880645601588147,1.4880645601588147,0.1692945401334885,0.12271147081385354,0.08219643512878184,4.197238056174616,0.9854214926923283,8.580962911286404,0.0,0.0,0.0,0.0,0.0
RAFT-Stereo,dataset_7_keyframe_3,0.05,aligned_memory,583,3399454,2585466,1977117,1.4909366978079732,1.4880645601588147,0.1696242988119232,0.12261998547539645,0.08218525698979116,4.2213121633373,0.9846310154359663,8.675087851319603,0.5815983978603623,0.508518211112443,0.5082909618614208,0.22374921967645292,0.012452534498218887
RAFT-Stereo,dataset_7_keyframe_3,0.05,fixed_blend_50,583,3399454,2585466,1977117,1.467610300146729,1.4880645601588147,0.16973372817614496,0.12349424373631572,0.08316335525257408,4.132628620819388,0.9747685377439861,8.472637795322477,0.5815983978603623,0.5613689022956153,0.5082909618614208,0.18752905665748457,0.007136638631674957
RAFT-Stereo,dataset_7_keyframe_3,0.05,oracle_raw_memory,583,3399454,2585466,1037555,1.3110536279367313,1.4880645601588147,0.15689607815920184,0.11341380135394664,0.07478730421765517,3.74297627093055,0.8669942564508237,7.896614776906448,0.3052122487905411,0.9690088718188433,0.27223989795263215,0.0,0.0
RAFT-Stereo,dataset_7_keyframe_3,0.05,learned_no_abstention,583,3399454,2585466,119978,1.38239717898588,1.4880645601588147,0.1651818207359634,0.11797629886587145,0.07773630740544031,3.914156122134792,0.920632985514543,8.055336741851166,0.0352933147499569,0.6537698578072647,0.009992009177455824,0.006324198423030896,0.0008041696655282523
RAFT-Stereo,dataset_7_keyframe_3,0.05,learned_calibrated,583,3399454,2585466,117142,1.38185953617939,1.4880645601588147,0.16519388155067413,0.11797659300060892,0.07773954324216277,3.912953255997224,0.9202413138729475,8.05177760408847,0.034459063131902945,0.6620426490925543,0.009785083230643915,0.006189986640706163,0.0007976250669375649
RAFT-Stereo,dataset_7_keyframe_3,0.05,unwarped_previous_control,583,3399454,2585466,1977117,1.458824685946752,1.4880645601588147,0.16732481174901073,0.1211135673118666,0.08069178183539145,4.101930790809715,0.972103921777916,8.439200015149934,0.5815983978603623,0.4996006811938798,0.5082909618614208,0.2235241151885192,0.013786625194402368
RAFT-Stereo,dataset_7_keyframe_3,0.05,identity_no_flow_control,583,3399454,2585466,1977117,1.458824685946752,1.4880645601588147,0.16732481174901073,0.1211135673118666,0.08069178183539145,4.101930790809715,0.972103921777916,8.439200015149934,0.5815983978603623,0.4996006811938798,0.5082909618614208,0.2235241151885192,0.013786625194402368
RAFT-Stereo,dataset_7_keyframe_3,0.05,shuffled_memory_control,583,3399454,2585466,1977117,1.5422013010811135,1.4880645601588147,0.18285760012784125,0.12705746289307032,0.08444562007525186,4.240524490301935,1.047658045476713,8.674086744814035,0.5815983978603623,0.460785578192894,0.5082909618614208,0.22136048201755507,0.0230797595495134
RAFT-Stereo,dataset_7_keyframe_3,0.25,raw,583,3271753,2533630,0,1.3300866042176391,1.3300866042176391,0.15539528771679867,0.11193540585338382,0.07365317621513016,3.8597051268420057,0.9432200193627228,7.735893257074702,0.0,0.0,0.0,0.0,0.0
RAFT-Stereo,dataset_7_keyframe_3,0.25,aligned_memory,583,3271753,2533630,1880268,1.3299244024077659,1.3300866042176391,0.1555371078320684,0.11168905460476516,0.07361466445430932,3.872746222577655,0.9415197996674184,7.783278988616222,0.5746974175617781,0.5137666545407357,0.5060087700256154,0.22156550088213353,0.011517659373012681
RAFT-Stereo,dataset_7_keyframe_3,0.25,fixed_blend_50,583,3271753,2533630,1880268,1.3081050625467951,1.3300866042176391,0.15558692801197446,0.11252652615743136,0.07434852163291739,3.780196494367416,0.9322077121909843,7.6047454635397145,0.5746974175617781,0.5678461793744296,0.5060087700256154,0.1855227479939849,0.00660741884918705
RAFT-Stereo,dataset_7_keyframe_3,0.25,oracle_raw_memory,583,3271753,2533630,997564,1.1664516303568517,1.3300866042176391,0.1434940231794592,0.10311505784189434,0.06668565734765435,3.406983420715905,0.8314716217582142,7.063300839546311,0.3049019898507008,0.9683779687318307,0.2721008987105457,0.0,0.0
RAFT-Stereo,dataset_7_keyframe_3,0.25,learned_no_abstention,583,3271753,2533630,102600,1.2356832661557455,1.3300866042176391,0.15151846702290653,0.10749466723909543,0.06950646939423005,3.588553314644717,0.8844551598274207,7.24948137032716,0.031359335499959805,0.6663450292397661,0.009473758994012543,0.005946014216756196,0.0007467512042943356
RAFT-Stereo,dataset_7_keyframe_3,0.25,learned_calibrated,583,3271753,2533630,100297,1.2352678033499471,1.3300866042176391,0.1515306928930528,0.1074952784879428,0.06951044279065026,3.5877513883554193,0.8841107705685219,7.248121983148524,0.030655431507207297,0.6733401796663908,0.009306410170387941,0.005846552180073649,0.0007403823614067209
RAFT-Stereo,dataset_7_keyframe_3,0.25,unwarped_previous_control,583,3271753,2533630,1880268,1.3054093071482504,1.3300866042176391,0.15395660979347134,0.11065413529685716,0.07231047071556242,3.7751614187376856,0.9315469920547039,7.608574837251754,0.5746974175617781,0.5011727051675612,0.5060087700256154,0.2212051483444702,0.012727484030144664
RAFT-Stereo,dataset_7_keyframe_3,0.25,identity_no_flow_control,583,3271753,2533630,1880268,1.3054093071482504,1.3300866042176391,0.15395660979347134,0.11065413529685716,0.07231047071556242,3.7751614187376856,0.9315469920547039,7.608574837251754,0.5746974175617781,0.5011727051675612,0.5060087700256154,0.2212051483444702,0.012727484030144664
RAFT-Stereo,dataset_7_keyframe_3,0.25,shuffled_memory_control,583,3271753,2533630,1880268,1.3807129498787907,1.3300866042176391,0.16938014555590017,0.11621873637806272,0.0756362107277653,3.893691949519632,1.0035209379404606,7.766823257046691,0.5746974175617781,0.46205381360529457,0.5060087700256154,0.21901382601248012,0.02143152899726543
RAFT-Stereo,dataset_7_keyframe_3,0.5,raw,583,2672683,2081635,0,1.1820343110772131,1.1820343110772131,0.15242436155279807,0.10934181086187617,0.06811058388801038,3.320086823672917,0.8738686695909373,6.571161386980495,0.0,0.0,0.0,0.0,0.0
RAFT-Stereo,dataset_7_keyframe_3,0.5,aligned_memory,583,2672683,2081635,1483096,1.1803202683274938,1.1820343110772131,0.15274501272628552,0.10904884721134203,0.06815398600502284,3.3261840149790793,0.8717378343242762,6.606749009359349,0.5549090558064687,0.5184553124005459,0.48738419559625007,0.21018238067672768,0.010472367793262122
RAFT-Stereo,dataset_7_keyframe_3,0.5,fixed_blend_50,583,2672683,2081635,1483096,1.1592157763651838,1.1820343110772131,0.1520449676041258,0.10916782848116639,0.06802752142286225,3.2447602914757114,0.8631438329797059,6.490329194825643,0.5549090558064687,0.5719360041426853,0.48738419559625007,0.17599435059460472,0.005801345012231184
RAFT-Stereo,dataset_7_keyframe_3,0.5,oracle_raw_memory,583,2672683,2081635,794250,1.0519460061981387,1.1820343110772131,0.1420183386633795,0.10173110668441795,0.0622045337870177,2.9873547017349,0.7845711120781286,6.11477689707419,0.2971732899112989,0.9681070192005036,0.26518481866417504,0.0,0.0
RAFT-Stereo,dataset_7_keyframe_3,0.5,learned_no_abstention,583,2672683,2081635,69806,1.1179928004933384,1.1820343110772131,0.14969040473986045,0.10596542872847194,0.06501743738327767,3.1613367803172108,0.8350808945817124,6.296140695608404,0.026118323796724116,0.6607311692404665,0.009471881477780686,0.0060519735688533294,0.0006484417011052204
RAFT-Stereo,dataset_7_keyframe_3,0.5,learned_calibrated,583,2672683,2081635,68231,1.117756773468185,1.1820343110772131,0.1497031259840603,0.10596617706086199,0.0650223013359156,3.160947809655191,0.8348800410044319,6.295814773962169,0.025529028320979332,0.6649909865017367,0.009293175796909641,0.005948689371575709,0.0006418630871216974
RAFT-Stereo,dataset_7_keyframe_3,0.5,unwarped_previous_control,583,2672683,2081635,1483096,1.1703671407295526,1.1820343110772131,0.15152750999034678,0.10876523690380789,0.06752315930056252,3.327176969245887,0.8673110215764337,6.58043712647226,0.5549090558064687,0.5103580617842675,0.48738419559625007,0.20803503015658364,0.011821051202960162
RAFT-Stereo,dataset_7_keyframe_3,0.5,identity_no_flow_control,583,2672683,2081635,1483096,1.1703671407295526,1.1820343110772131,0.15152750999034678,0.10876523690380789,0.06752315930056252,3.327176969245887,0.8673110215764337,6.58043712647226,0.5549090558064687,0.5103580617842675,0.48738419559625007,0.20803503015658364,0.011821051202960162
RAFT-Stereo,dataset_7_keyframe_3,0.5,shuffled_memory_control,583,2672683,2081635,1483096,1.2115430972096952,1.1820343110772131,0.1630096047267816,0.1121588304475446,0.06948747752782203,3.3562568127703427,0.910548896487926,6.64559565535201,0.5549090558064687,0.4705865297998241,0.48738419559625007,0.20160690995299368,0.0183279131294009
RAFT-Stereo,dataset_7_keyframe_3,0.9,raw,561,388089,240929,0,1.5016122996907544,1.5016122996907544,0.33626049685719234,0.2245000506994741,0.09106674033634468,2.7445579460431153,1.203496913538197,5.273666897450234,0.0,0.0,0.0,0.0,0.0
RAFT-Stereo,dataset_7_keyframe_3,0.9,aligned_memory,561,388089,240929,229334,1.4968449573760352,1.5016122996907544,0.3358817179083624,0.22420887982631013,0.09193252073563422,2.7389176131045527,1.1991415510940069,5.296654299445364,0.5909314615977262,0.5031787698291574,0.4888369602663025,0.21861212224348253,0.021948594120903508
RAFT-Stereo,dataset_7_keyframe_3,0.9,fixed_blend_50,561,388089,240929,229334,1.479789790062425,1.5016122996907544,0.33407285417024707,0.22199289332532027,0.08996390026259588,2.705481385235412,1.1924550432692116,5.257827528942983,0.5909314615977262,0.5427149921075811,0.4888369602663025,0.18615442723789996,0.011227150878074929
RAFT-Stereo,dataset_7_keyframe_3,0.9,oracle_raw_memory,561,388089,240929,117601,1.4139763224156363,1.5016122996907544,0.32368090806149,0.21456676208946018,0.08507584608981959,2.5919404130598203,1.140091418276141,5.1773940125500655,0.30302585231738083,0.9812501594374198,0.2615957398237655,0.0,0.0
RAFT-Stereo,dataset_7_keyframe_3,0.9,learned_no_abstention,561,388089,240929,8095,1.4930929724214972,1.5016122996907544,0.3351318899530258,0.22339721035843255,0.09032721921498793,2.728510732554465,1.1966245120283618,5.253672612407952,0.020858617482072413,0.6569487337862878,0.009015104034798634,0.006715671421871174,0.001249628495566704
RAFT-Stereo,dataset_7_keyframe_3,0.9,learned_calibrated,561,388089,240929,7739,1.4931874813042953,1.5016122996907544,0.3351396201132476,0.22339463361933964,0.09035813992315811,2.7287179975552918,1.1967085496711407,5.253734013325009,0.01994130212399733,0.6511177154671146,0.008591742795595382,0.006503990802269548,0.0012247214432212685
RAFT-Stereo,dataset_7_keyframe_3,0.9,unwarped_previous_control,561,388089,240929,229334,1.4761415969354996,1.5016122996907544,0.3299088617345232,0.22128429345249429,0.08822203202472186,2.679107057823645,1.1753338333432748,5.258533807027645,0.5909314615977262,0.5096758439655699,0.4888369602663025,0.2162711836267116,0.024157260932158125
RAFT-Stereo,dataset_7_keyframe_3,0.9,identity_no_flow_control,561,388089,240929,229334,1.4761415969354996,1.5016122996907544,0.3299088617345232,0.22128429345249429,0.08822203202472186,2.679107057823645,1.1753338333432748,5.258533807027645,0.5909314615977262,0.5096758439655699,0.4888369602663025,0.2162711836267116,0.024157260932158125
RAFT-Stereo,dataset_7_keyframe_3,0.9,shuffled_memory_control,561,388089,240929,229334,1.5257031180600595,1.5016122996907544,0.3387470409991766,0.2285094403875806,0.09555540105096973,2.7200542829735883,1.228526323967635,5.314800967893289,0.5909314615977262,0.48368318696747975,0.4888369602663025,0.19520273607577335,0.03866425023624179
StereoAnywhere,dataset_7_keyframe_3,0.05,raw,583,3399454,2557462,0,1.4928792051407442,1.4928792051407442,0.1757517532674826,0.1270886445139501,0.08655890068760073,3.9673329515473306,1.0330829230707237,8.161801895134586,0.0,0.0,0.0,0.0,0.0
StereoAnywhere,dataset_7_keyframe_3,0.05,aligned_memory,583,3399454,2557462,1875591,1.4998250205548247,1.4928792051407442,0.176256834054004,0.12686007848771816,0.08662802916265293,3.9916947801621334,1.036633744676162,8.230235842898859,0.5517330135957127,0.5166408881253962,0.4729172906576911,0.2073442342447317,0.014021423528587248
StereoAnywhere,dataset_7_keyframe_3,0.05,fixed_blend_50,583,3399454,2557462,1875591,1.4837610375836452,1.4928792051407442,0.17966296963663297,0.1276163762083729,0.08651448183072155,3.942073490436087,1.0269250645465062,8.136062037954634,0.5517330135957127,0.560780575296,0.4729172906576911,0.17769452683949946,0.007838125966221026
StereoAnywhere,dataset_7_keyframe_3,0.05,oracle_raw_memory,583,3399454,2557462,995662,1.3238167767912628,1.4928792051407442,0.1594394276613993,0.11631485545990322,0.07865204231853216,3.6355412167911663,0.8955322073873299,7.690108188950412,0.2928887992012835,0.9732288668242838,0.25539577909662003,0.0,0.0
StereoAnywhere,dataset_7_keyframe_3,0.05,learned_no_abstention,583,3399454,2557462,120910,1.3820164714503282,1.4928792051407442,0.16615844830280693,0.11977658778382147,0.08099006507219587,3.7794824594837193,0.9387940033996744,7.822619110248477,0.03556747642415517,0.8130675709205194,0.004994013596291948,0.0028985767921478403,0.0006807151762245492
StereoAnywhere,dataset_7_keyframe_3,0.05,learned_calibrated,583,3399454,2557462,117742,1.381645646372381,1.4928792051407442,0.16617727473676464,0.11978364783702435,0.08099889010491278,3.7789262261103316,0.9384742968208529,7.818679211025223,0.034635562063790246,0.8260179035518337,0.004662434867067428,0.002717146921440084,0.0006794062983862543
StereoAnywhere,dataset_7_keyframe_3,0.05,unwarped_previous_control,583,3399454,2557462,1875591,1.4744263631296226,1.4928792051407442,0.17623153618022117,0.1262190934114291,0.08573376800190344,3.92159202874109,1.0248225147907655,8.084123241818478,0.5517330135957127,0.5030633011141555,0.4729172906576911,0.20819077663715044,0.016258952617166846
StereoAnywhere,dataset_7_keyframe_3,0.05,identity_no_flow_control,583,3399454,2557462,1875591,1.4744263631296226,1.4928792051407442,0.17623153618022117,0.1262190934114291,0.08573376800190344,3.92159202874109,1.0248225147907655,8.084123241818478,0.5517330135957127,0.5030633011141555,0.4729172906576911,0.20819077663715044,0.016258952617166846
StereoAnywhere,dataset_7_keyframe_3,0.05,shuffled_memory_control,583,3399454,2557462,1875591,1.5815854272512768,1.4928792051407442,0.19364080296139372,0.13289604732670038,0.09025949462943522,4.089093766533969,1.1235725997430108,8.338023229659102,0.5517330135957127,0.46027412159687264,0.4729172906576911,0.2103057640739139,0.025368397448796178
StereoAnywhere,dataset_7_keyframe_3,0.25,raw,583,3271753,2507536,0,1.3453216015733818,1.3453216015733818,0.1616714341260321,0.1157254226447995,0.0776363617589469,3.6445905558781133,0.9928439212021655,7.512845559858586,0.0,0.0,0.0,0.0,0.0
StereoAnywhere,dataset_7_keyframe_3,0.25,aligned_memory,583,3271753,2507536,1782469,1.3499302660118748,1.3453216015733818,0.1620971993917369,0.11554264611268243,0.07774670024277061,3.659281745131558,0.9958803407718053,7.566803554108913,0.5448054911235659,0.521444692726774,0.47129054179082575,0.2053900721664614,0.013266789990012176
StereoAnywhere,dataset_7_keyframe_3,0.25,fixed_blend_50,583,3271753,2507536,1782469,1.335425874382719,1.3453216015733818,0.16558615474347868,0.11639998493009913,0.07771858082377449,3.6111866854720076,0.9864889954014436,7.469665353890895,0.5448054911235659,0.5667352419593272,0.47129054179082575,0.17579568149769334,0.007499897523420469
StereoAnywhere,dataset_7_keyframe_3,0.25,oracle_raw_memory,583,3271753,2507536,955697,1.1865497071422157,1.3453216015733818,0.14568856495491056,0.10540526726627793,0.07007772284615396,3.320665091846728,0.8600937712461147,7.078062322725751,0.2921054859581393,0.9725456917830652,0.25569244070673364,0.0,0.0
StereoAnywhere,dataset_7_keyframe_3,0.25,learned_no_abstention,583,3271753,2507536,106197,1.2420069807346457,1.3453216015733818,0.1520105583590344,0.10844675594150383,0.07209590715738624,3.4698119933825655,0.9025934527410254,7.197099040786795,0.0324587461217274,0.8267559347250863,0.004746492173990723,0.0026910879843798853,0.0005529051208440493
StereoAnywhere,dataset_7_keyframe_3,0.25,learned_calibrated,583,3271753,2507536,103489,1.2417427076929697,1.3453216015733818,0.15202889724165283,0.10845348018315704,0.07210446520783756,3.469640586804755,0.9023191536552462,7.1931064841030485,0.03163105527831716,0.8387268212080511,0.004430644265924796,0.00252518807307253,0.0005515614784559683
