probability_threshold,error_threshold_px,uncertainty_threshold_px,SCARED-C_raw_epe,SCARED-C_a2_epe,SCARED-C_refined_epe,SCARED-C_epe_gain,SCARED-C_retained_a2_gain,SCARED-C_intervention_coverage,SCARED-C_intervention_precision,SCARED-C_false_update_rate,SCARED-C_clean_degradation,SERV-CT_raw_epe,SERV-CT_a2_epe,SERV-CT_refined_epe,SERV-CT_epe_gain,SERV-CT_retained_a2_gain,SERV-CT_intervention_coverage,SERV-CT_intervention_precision,SERV-CT_false_update_rate,SERV-CT_clean_degradation
0.65,0.25,2.0,0.19187043607234955,0.18235889077186584,0.19151639938354492,0.00035403668880462646,0.037221784433558044,0.0002773189047698852,0.9856115107913669,2.7812040666765865e-06,2.7812040666765865e-06,1.0237590074539185,1.41615891456604,1.0239626169204712,-0.00020360946655273438,-20360.946655273438,0.0004185267857142857,0.3333333333333333,0.0007814942169427947,0.00046889653016567677
0.65,0.5,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.5,0.5,0.19187043607234955,0.18235889077186584,0.1918068528175354,6.358325481414795e-05,0.006684850127446112,4.655233413403348e-05,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.5,1.0,0.19187043607234955,0.18235889077186584,0.19163045287132263,0.0002399832010269165,0.02523072681099593,0.00019019953660476537,0.9895104895104895,6.953010166691466e-07,6.953010166691466e-07,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.5,2.0,0.19187043607234955,0.18235889077186584,0.19151639938354492,0.00035403668880462646,0.037221784433558044,0.0002773189047698852,0.9856115107913669,2.7812040666765865e-06,2.7812040666765865e-06,1.0237590074539185,1.41615891456604,1.0239626169204712,-0.00020360946655273438,-20360.946655273438,0.0004185267857142857,0.3333333333333333,0.0007814942169427947,0.00046889653016567677
0.65,1.0,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,1.0,0.5,0.19187043607234955,0.18235889077186584,0.1918068528175354,6.358325481414795e-05,0.006684850127446112,4.655233413403348e-05,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,1.0,1.0,0.19187043607234955,0.18235889077186584,0.19163045287132263,0.0002399832010269165,0.02523072681099593,0.00019019953660476537,0.9895104895104895,6.953010166691466e-07,6.953010166691466e-07,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,1.0,2.0,0.19187043607234955,0.18235889077186584,0.19151639938354492,0.00035403668880462646,0.037221784433558044,0.0002773189047698852,0.9856115107913669,2.7812040666765865e-06,2.7812040666765865e-06,1.0237590074539185,1.41615891456604,1.0239626169204712,-0.00020360946655273438,-20360.946655273438,0.0004185267857142857,0.3333333333333333,0.0007814942169427947,0.00046889653016567677
0.8,0.25,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.25,0.5,0.19187043607234955,0.18235889077186584,0.1918533891439438,1.704692840576172e-05,0.0017922354220291426,9.975500171578603e-06,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.25,1.0,0.19187043607234955,0.18235889077186584,0.19180698692798615,6.344914436340332e-05,0.006670750373251827,4.256213406540204e-05,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.25,2.0,0.19187043607234955,0.18235889077186584,0.19180409610271454,6.633996963500977e-05,0.006974678408106419,4.5222267444489665e-05,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.5,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.5,0.5,0.19187043607234955,0.18235889077186584,0.1918533891439438,1.704692840576172e-05,0.0017922354220291426,9.975500171578603e-06,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.5,1.0,0.19187043607234955,0.18235889077186584,0.19180698692798615,6.344914436340332e-05,0.006670750373251827,4.256213406540204e-05,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.5,2.0,0.19187043607234955,0.18235889077186584,0.19180409610271454,6.633996963500977e-05,0.006974678408106419,4.5222267444489665e-05,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,1.0,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,1.0,0.5,0.19187043607234955,0.18235889077186584,0.1918533891439438,1.704692840576172e-05,0.0017922354220291426,9.975500171578603e-06,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,1.0,1.0,0.19187043607234955,0.18235889077186584,0.19180698692798615,6.344914436340332e-05,0.006670750373251827,4.256213406540204e-05,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,1.0,2.0,0.19187043607234955,0.18235889077186584,0.19180409610271454,6.633996963500977e-05,0.006974678408106419,4.5222267444489665e-05,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.25,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.25,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.25,1.0,0.19187043607234955,0.18235889077186584,0.19185565412044525,1.4781951904296875e-05,0.0015541062400812147,8.645433482034789e-06,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.25,2.0,0.19187043607234955,0.18235889077186584,0.19185513257980347,1.5303492546081543e-05,0.0016089386175034347,9.310466826806695e-06,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.5,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.5,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.5,1.0,0.19187043607234955,0.18235889077186584,0.19185565412044525,1.4781951904296875e-05,0.0015541062400812147,8.645433482034789e-06,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.5,2.0,0.19187043607234955,0.18235889077186584,0.19185513257980347,1.5303492546081543e-05,0.0016089386175034347,9.310466826806695e-06,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1.0,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1.0,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1.0,1.0,0.19187043607234955,0.18235889077186584,0.19185565412044525,1.4781951904296875e-05,0.0015541062400812147,8.645433482034789e-06,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1.0,2.0,0.19187043607234955,0.18235889077186584,0.19185513257980347,1.5303492546081543e-05,0.0016089386175034347,9.310466826806695e-06,1.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.25,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
