phase,sequence,backbone,frame_id,valid_count,raw_warped_disparity_difference,fused_warped_disparity_difference,raw_tepe,fused_tepe
test,dataset_7_keyframe_4,S2M2-S,['002166'],4025,0.18780595064163208,0.10250262171030045,0.19705654680728912,0.11260852962732315
test,dataset_7_keyframe_4,S2M2-S,['002166'],4104,0.07113950699567795,0.07429967820644379,0.11358141154050827,0.12093356251716614
test,dataset_7_keyframe_4,S2M2-S,['002170'],4271,0.02520604431629181,0.018183432519435883,0.025010809302330017,0.018678201362490654
test,dataset_7_keyframe_4,S2M2-S,['002170'],4240,0.15077488124370575,0.09189638495445251,0.14023718237876892,0.08325011283159256
test,dataset_7_keyframe_4,S2M2-S,['002170'],4226,0.04997212439775467,0.07671184092760086,0.047176241874694824,0.0722787082195282
test,dataset_7_keyframe_4,S2M2-S,['002170'],4221,0.03806234896183014,0.032493360340595245,0.0397670716047287,0.034033723175525665
test,dataset_7_keyframe_4,S2M2-S,['002174'],4243,0.030157366767525673,0.022292565554380417,0.032265983521938324,0.025254065170884132
test,dataset_7_keyframe_4,S2M2-S,['002174'],4323,0.04240647703409195,0.02594694308936596,0.0406697653234005,0.025780878961086273
test,dataset_7_keyframe_4,S2M2-S,['002174'],4289,0.08377722650766373,0.05400335416197777,0.07629608362913132,0.048444416373968124
test,dataset_7_keyframe_4,S2M2-S,['002174'],4342,0.03126496076583862,0.032663993537425995,0.033082474023103714,0.03011157177388668
test,dataset_7_keyframe_4,S2M2-S,['002178'],4357,0.04217085242271423,0.028787827119231224,0.03917446359992027,0.027529671788215637
test,dataset_7_keyframe_4,S2M2-S,['002178'],4403,0.04380166530609131,0.029472459107637405,0.046687882393598557,0.032891251146793365
test,dataset_7_keyframe_4,S2M2-S,['002178'],4376,0.0585126169025898,0.03727865219116211,0.05088082328438759,0.03371529281139374
test,dataset_7_keyframe_4,S2M2-S,['002178'],4326,0.07298857718706131,0.052104249596595764,0.0629764273762703,0.043675754219293594
test,dataset_7_keyframe_4,S2M2-S,['002182'],4368,0.029547184705734253,0.021619031205773354,0.0368293933570385,0.029811639338731766
test,dataset_7_keyframe_4,S2M2-S,['002182'],4382,0.040699344128370285,0.034266091883182526,0.04957723990082741,0.04467817768454552
test,dataset_7_keyframe_4,S2M2-S,['002182'],4422,0.03227652609348297,0.025121480226516724,0.034048713743686676,0.029365798458456993
test,dataset_7_keyframe_4,S2M2-S,['002182'],4477,0.03308918699622154,0.021146608516573906,0.036579713225364685,0.02617553621530533
test,dataset_7_keyframe_4,S2M2-S,['002186'],4495,0.041520413011312485,0.029078736901283264,0.03638892248272896,0.02722482942044735
test,dataset_7_keyframe_4,S2M2-S,['002186'],4497,0.032471057027578354,0.024660876020789146,0.030209379270672798,0.023493431508541107
test,dataset_7_keyframe_4,S2M2-S,['002186'],4548,0.039948854595422745,0.025713978335261345,0.0500621497631073,0.034002091735601425
test,dataset_7_keyframe_4,S2M2-S,['002186'],4620,0.0280655138194561,0.018164033070206642,0.03025588020682335,0.023118533194065094
test,dataset_7_keyframe_4,S2M2-S,['002190'],4654,0.03095998987555504,0.02205304428935051,0.0286491010338068,0.023538406938314438
test,dataset_7_keyframe_4,S2M2-S,['002190'],4675,0.0359792485833168,0.02947903610765934,0.03833090141415596,0.03232838213443756
test,dataset_7_keyframe_4,S2M2-S,['002190'],4662,0.04494297504425049,0.04134080186486244,0.11257334053516388,0.10715001076459885
test,dataset_7_keyframe_4,S2M2-S,['002190'],5116,0.06205568462610245,0.049561336636543274,0.07527457922697067,0.0631401464343071
test,dataset_7_keyframe_4,S2M2-S,['002194'],5183,0.03391776978969574,0.026556817814707756,0.04072677344083786,0.03421887382864952
test,dataset_7_keyframe_4,S2M2-S,['002194'],5268,0.18468396365642548,0.08898642659187317,0.1943667083978653,0.10140686482191086
test,dataset_7_keyframe_4,S2M2-S,['002194'],5425,0.035083431750535965,0.02683330327272415,0.03946888819336891,0.03226332366466522
test,dataset_7_keyframe_4,S2M2-S,['002194'],5444,0.03026505745947361,0.016045229509472847,0.03204149380326271,0.02059585601091385
test,dataset_7_keyframe_4,RAFT-Stereo,['000002'],11302,0.07341726124286652,0.048921238631010056,0.06286036223173141,0.05547172203660011
test,dataset_7_keyframe_4,RAFT-Stereo,['000002'],11470,0.05345170944929123,0.03796624764800072,0.04791773110628128,0.03621181100606918
test,dataset_7_keyframe_4,RAFT-Stereo,['000002'],11199,0.0762539654970169,0.042757779359817505,0.05369020625948906,0.04089895635843277
test,dataset_7_keyframe_4,RAFT-Stereo,['000002'],10955,0.072186678647995,0.0438464991748333,0.055121615529060364,0.043428387492895126
test,dataset_7_keyframe_4,RAFT-Stereo,['000006'],10875,0.08601808547973633,0.04824190214276314,0.05903954803943634,0.05199383199214935
test,dataset_7_keyframe_4,RAFT-Stereo,['000006'],10762,0.09036946296691895,0.07131049782037735,0.08092924952507019,0.06585466116666794
test,dataset_7_keyframe_4,RAFT-Stereo,['000006'],10614,0.10407496988773346,0.05582704395055771,0.07637733966112137,0.06119673326611519
test,dataset_7_keyframe_4,RAFT-Stereo,['000006'],10291,0.16567575931549072,0.07021413743495941,0.1271055042743683,0.08302515000104904
test,dataset_7_keyframe_4,RAFT-Stereo,['000010'],9684,0.13685591518878937,0.04350564256310463,0.11264312267303467,0.08375410735607147
test,dataset_7_keyframe_4,RAFT-Stereo,['000010'],9180,0.12413144111633301,0.07583533972501755,0.07512357085943222,0.07836591452360153
test,dataset_7_keyframe_4,RAFT-Stereo,['000010'],8604,0.1433108150959015,0.07878588885068893,0.08335024863481522,0.08176128566265106
test,dataset_7_keyframe_4,RAFT-Stereo,['000010'],7859,0.1269283890724182,0.07281144708395004,0.07635127007961273,0.08538635075092316
test,dataset_7_keyframe_4,RAFT-Stereo,['000014'],6933,0.11711468547582626,0.07229553163051605,0.0718320906162262,0.07276100665330887
test,dataset_7_keyframe_4,RAFT-Stereo,['000014'],6140,0.12624892592430115,0.09081842005252838,0.07671619206666946,0.08176479488611221
test,dataset_7_keyframe_4,RAFT-Stereo,['000014'],5387,0.12549959123134613,0.0952848494052887,0.07121434062719345,0.07563187927007675
test,dataset_7_keyframe_4,RAFT-Stereo,['000014'],4612,0.1231476292014122,0.08774497359991074,0.08008847385644913,0.08372563868761063
test,dataset_7_keyframe_4,RAFT-Stereo,['000018'],3883,0.12642031908035278,0.0964738205075264,0.08710435032844543,0.09142928570508957
test,dataset_7_keyframe_4,RAFT-Stereo,['000018'],3367,0.10784106701612473,0.08785971254110336,0.07221335917711258,0.06823404878377914
test,dataset_7_keyframe_4,RAFT-Stereo,['000018'],2826,0.1368602216243744,0.11063601076602936,0.10427510738372803,0.09643802046775818
test,dataset_7_keyframe_4,RAFT-Stereo,['000018'],2307,0.16020116209983826,0.09523800760507584,0.10876044631004333,0.09182223677635193
test,dataset_7_keyframe_4,RAFT-Stereo,['000022'],1878,0.17116022109985352,0.09477552771568298,0.13366809487342834,0.09860581904649734
test,dataset_7_keyframe_4,RAFT-Stereo,['000022'],1577,0.0970022901892662,0.07307259738445282,0.10590977966785431,0.0889890268445015
test,dataset_7_keyframe_4,RAFT-Stereo,['000022'],1342,0.16756920516490936,0.07332130521535873,0.1747116595506668,0.0960027277469635
test,dataset_7_keyframe_4,RAFT-Stereo,['000022'],1294,0.12766626477241516,0.07472186535596848,0.14075636863708496,0.09399682283401489
test,dataset_7_keyframe_4,RAFT-Stereo,['000026'],1300,0.13123910129070282,0.09530963748693466,0.1417958289384842,0.11673464626073837
test,dataset_7_keyframe_4,RAFT-Stereo,['000026'],1285,0.11837495118379593,0.05721092224121094,0.13983002305030823,0.08336608856916428
test,dataset_7_keyframe_4,RAFT-Stereo,['000026'],1322,0.12341158092021942,0.07591471076011658,0.13687080144882202,0.09722835570573807
test,dataset_7_keyframe_4,RAFT-Stereo,['000026'],1289,0.10184898227453232,0.06719063222408295,0.11705173552036285,0.0933724045753479
test,dataset_7_keyframe_4,RAFT-Stereo,['000030'],1340,0.09796646237373352,0.09596565365791321,0.12245742976665497,0.12051592022180557
test,dataset_7_keyframe_4,RAFT-Stereo,['000030'],1408,0.1873278170824051,0.10142947733402252,0.20332707464694977,0.12922605872154236
