run_id,model,mode,size,seed,split,train_anchors,trainable_params,best_epoch,wall_time_s,refined_mae,delta_mae,refined_bad3,new_bad3_pct,harmful_rate,pct_anchors_improved,modified_pixel_ratio,delta_lt1,delta_gt6_pooled,selectivity,combined_score
v3_2c__calibration_only__1session_seed2__seed2,v3.2c,calibration_only,1session,2,1session_seed2,2,65,7,4.4,3.503,-0.0019,50.4763,0.1128,0.0833,0.0,0.0015,-0.0014881789684295654,-0.005160149652510881,-0.006648328620940447,3.5469
v3_2c__calibration_only__2session_seed0__seed0,v3.2c,calibration_only,2session,0,2session_seed0,0,65,,,,,,,,,,,,,
v3_2c__calibration_only__2session_seed1__seed1,v3.2c,calibration_only,2session,1,2session_seed1,1,65,7,4.3,3.5028,-0.0017,50.47,0.103,0.0833,0.0,0.0015,-0.0014881789684295654,-0.005160149652510881,-0.006648328620940447,3.5465
v3_2c__calibration_only__2session_seed2__seed2,v3.2c,calibration_only,2session,2,2session_seed2,2,65,7,4.1,3.503,-0.0019,50.4763,0.1128,0.0833,0.0,0.0015,-0.0014881789684295654,-0.005160149652510881,-0.006648328620940447,3.5469
v3_2c__calibration_only__4session_seed0__seed0,v3.2c,calibration_only,4session,0,4session_seed0,2,65,7,4.2,3.5019,-0.0008,50.4826,0.1226,0.075,0.0,0.0021,-0.002975266892462969,-0.005160149652510881,-0.00813541654497385,3.5419
v3_2c__calibration_only__4session_seed1__seed1,v3.2c,calibration_only,4session,1,4session_seed1,11,65,3,4.1,3.5008,0.0003,50.4574,0.0,0.0,0.0,0.0001,0.0,0.005163511261343956,0.005163511261343956,3.5008
v3_2c__calibration_only__4session_seed2__seed2,v3.2c,calibration_only,4session,2,4session_seed2,4,65,7,4.2,3.5028,-0.0017,50.47,0.103,0.0833,0.0,0.0015,-0.0014881789684295654,-0.005160149652510881,-0.006648328620940447,3.5465
v3_2c__calibration_only__8session_seed0__seed0,v3.2c,calibration_only,8session,0,8session_seed0,21,65,1,4.3,3.5011,0.0,50.4574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5011
v3_2c__calibration_only__8session_seed1__seed1,v3.2c,calibration_only,8session,1,8session_seed1,30,65,1,4.9,3.5011,0.0,50.4574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5011
v3_2c__calibration_only__8session_seed2__seed2,v3.2c,calibration_only,8session,2,8session_seed2,23,65,1,4.4,3.5011,0.0,50.4574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5011
v3_2c__full__1session_seed0__seed0,v3.2c,full,1session,0,1session_seed0,0,194818,,,,,,,,,,,,,
v3_2c__full__1session_seed2__seed2,v3.2c,full,1session,2,1session_seed2,2,194818,32,8.0,3.4982,0.0029,50.3998,0.0,0.0306,0.0,0.0016,0.0,0.036114323884248734,0.036114323884248734,3.5135
v3_2c__full__2session_seed0__seed0,v3.2c,full,2session,0,2session_seed0,0,194818,,,,,,,,,,,,,
v3_2c__full__2session_seed1__seed1,v3.2c,full,2session,1,2session_seed1,1,194818,14,5.6,3.4986,0.0025,50.4061,0.0,0.025,0.0,0.0013,0.0,0.02579234354197979,0.02579234354197979,3.5111
v3_2c__full__2session_seed2__seed2,v3.2c,full,2session,2,2session_seed2,2,194818,32,8.0,3.4982,0.0029,50.3998,0.0,0.0306,0.0,0.0016,0.0,0.036114323884248734,0.036114323884248734,3.5135
v3_2c__full__4session_seed0__seed0,v3.2c,full,4session,0,4session_seed0,2,194818,20,6.2,3.5003,0.0008,50.4187,0.0196,0.05,0.0,0.002,-0.0014814208261668682,0.025832682847976685,0.02435126155614853,3.5257
v3_2c__full__4session_seed1__seed1,v3.2c,full,4session,1,4session_seed1,11,194818,25,8.8,3.5236,-0.0225,51.1089,1.272,0.367,0.0,0.0264,-0.15236163139343262,0.14553974568843842,-0.006821885704994202,3.7325
v3_2c__full__4session_seed2__seed2,v3.2c,full,4session,2,4session_seed2,4,194818,21,6.6,3.4984,0.0027,50.4061,0.0,0.0312,0.0,0.0015,0.0,0.03612440824508667,0.03612440824508667,3.514
v3_2c__full__8session_seed0__seed0,v3.2c,full,8session,0,8session_seed0,21,194818,9,6.6,3.5001,0.001,50.4259,0.0367,0.0958,0.0,0.0025,-0.004422745667397976,0.03100459836423397,0.02658185362815857,3.5487
v3_2c__full__8session_seed1__seed1,v3.2c,full,8session,1,8session_seed1,30,194818,22,11.9,3.5235,-0.0224,50.9281,0.9886,0.381,0.0,0.0268,-0.13753700256347656,0.10982377827167511,-0.027713224291801453,3.7337
v3_2c__full__8session_seed2__seed2,v3.2c,full,8session,2,8session_seed2,23,194818,9,6.8,3.4984,0.0027,50.4061,0.0098,0.035,0.0,0.0016,0.0,0.0360218770802021,0.0360218770802021,3.5161
v3_2c__head_only__1session_seed0__seed0,v3.2c,head_only,1session,0,1session_seed0,0,130,,,,,,,,,,,,,
v3_2c__head_only__1session_seed2__seed2,v3.2c,head_only,1session,2,1session_seed2,2,130,24,6.7,3.502,-0.001,50.5295,0.2301,0.1242,0.0,0.0044,-0.008082248270511627,0.03609079122543335,0.028008542954921722,3.5687
v3_2c__head_only__2session_seed0__seed0,v3.2c,head_only,2session,0,2session_seed0,0,130,,,,,,,,,,,,,
v3_2c__head_only__2session_seed1__seed1,v3.2c,head_only,2session,1,2session_seed1,1,130,24,6.9,3.5015,-0.0004,50.4952,0.1691,0.1108,0.0,0.0034,-0.0029724484775215387,0.015480448491871357,0.012508000247180462,3.5603
v3_2c__head_only__2session_seed2__seed2,v3.2c,head_only,2session,2,2session_seed2,2,130,24,6.7,3.502,-0.001,50.5295,0.2301,0.1242,0.0,0.0044,-0.008082248270511627,0.03609079122543335,0.028008542954921722,3.5687
v3_2c__head_only__4session_seed0__seed0,v3.2c,head_only,4session,0,4session_seed0,2,130,25,6.9,3.5014,-0.0003,50.469,0.1324,0.0633,0.0,0.003,-0.0029729939997196198,8.404152254115616e-07,-0.0029721534810960293,3.5357
v3_2c__head_only__4session_seed1__seed1,v3.2c,head_only,4session,1,4session_seed1,11,130,10,5.6,3.5008,0.0002,50.4889,0.1691,0.1037,0.0,0.0038,-0.005948321428149939,0.030955854803323746,0.02500753290951252,3.5561
v3_2c__head_only__4session_seed2__seed2,v3.2c,head_only,4session,2,4session_seed2,4,130,24,7.1,3.5015,-0.0004,50.4952,0.1691,0.1108,0.0,0.0034,-0.0029726000502705574,0.015480448491871357,0.0125078484416008,3.5603
v3_2c__head_only__8session_seed0__seed0,v3.2c,head_only,8session,0,8session_seed0,21,130,4,5.2,3.5024,-0.0013,50.47,0.103,0.0708,0.0,0.0021,-0.001487390953116119,0.005163511261343956,0.0036761201918125153,3.5399
v3_2c__head_only__8session_seed1__seed1,v3.2c,head_only,8session,1,8session_seed1,30,130,3,5.5,3.5025,-0.0014,50.47,0.0196,0.1,0.0,0.0007,-0.0014874516054987907,3.361660901646246e-06,-0.0014840899966657162,3.5529
v3_2c__head_only__8session_seed2__seed2,v3.2c,head_only,8session,2,8session_seed2,23,130,4,5.2,3.5025,-0.0014,50.47,0.103,0.0833,0.0,0.0016,-0.001487239496782422,4.202076070214389e-06,-0.001483037369325757,3.5462
v3_2c__scratch__4session_seed0__seed0,v3.2c,scratch,4session,0,4session_seed0,2,194818,0,3.0,3.5011,0.0,50.4574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5011
v3_2c__scratch__4session_seed1__seed1,v3.2c,scratch,4session,1,4session_seed1,11,194818,4,4.4,3.5011,0.0,50.4574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5011
v3_2c__scratch__4session_seed2__seed2,v3.2c,scratch,4session,2,4session_seed2,4,194818,0,3.1,3.5011,0.0,50.4574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5011
v3_2c__scratch__8session_seed0__seed0,v3.2c,scratch,8session,0,8session_seed0,21,194818,5,5.6,3.4989,0.0022,50.4346,0.0288,0.097,0.0,0.0031,-0.004018561914563179,0.02060025744140148,0.016581695526838303,3.548
v3_2c__scratch__8session_seed1__seed1,v3.2c,scratch,8session,1,8session_seed1,30,194818,0,4.6,3.5011,0.0,50.4574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5011
v3_2c__scratch__8session_seed2__seed2,v3.2c,scratch,8session,2,8session_seed2,23,194818,13,7.9,3.4529,0.0482,49.9975,0.0,0.0006,10.0,0.0251,-0.000228442411753349,0.22455726563930511,0.22432881593704224,3.4532
v3_2c__zero_shot__none__seed0,v3.2c,zero_shot,0session,0,none,0,0,,0.5,4.6002,-1.0991,60.9171,15.4953,0.7073,5.0,0.51,-0.8673649430274963,1.3144413232803345,0.44707638025283813,5.2638
