dataset,metric_scope,backbone,backbone_status,specimen,session,anchor_count,support_count,method,disparity_MAE,disparity_Median,disparity_RMSE,disparity_P90,disparity_P95,disparity_P99,disparity_Max,disparity_InvalidRate,disparity_Bad1,disparity_Bad3,disparity_Bad5,disparity_EPE,disparity_MedianEPE,disparity_MaxError,depth_MAE,depth_Median,depth_RMSE,depth_P90,depth_P95,depth_P99,depth_Max,depth_InvalidRate,depth_BadMM2,depth_BadMM5,depth_BadMM10,depth_AbsRel,depth_SqRel,depth_Delta1,depth_Delta2,depth_Delta3,depth_MAE_Z,depth_RMSE_Z,disparity_HPlus,disparity_BPlus,disparity_HUR,disparity_BUR,disparity_Neutral,disparity_MAEDelta,disparity_NewBad_1.0,disparity_RecoveredBad_1.0,disparity_BadDelta_1.0,disparity_IdentityPreservation_1.0,disparity_NewBad_3.0,disparity_RecoveredBad_3.0,disparity_BadDelta_3.0,disparity_IdentityPreservation_3.0,disparity_NewBad_5.0,disparity_RecoveredBad_5.0,disparity_BadDelta_5.0,disparity_IdentityPreservation_5.0,depth_HPlus,depth_BPlus,depth_HUR,depth_BUR,depth_Neutral,depth_MAEDelta,depth_NewBad_2.0,depth_RecoveredBad_2.0,depth_BadDelta_2.0,depth_IdentityPreservation_2.0,depth_NewBad_5.0,depth_RecoveredBad_5.0,depth_BadDelta_5.0,depth_IdentityPreservation_5.0,depth_NewBad_10.0,depth_RecoveredBad_10.0,depth_BadDelta_10.0,depth_IdentityPreservation_10.0
D4D,sparse_zivid_anchor_gt,StereoAnywhere,seen,specimen_2,2025_04_10-16_19_14,10,1121610,raw,3.708868008569874,0.8061065673828125,10.208563671531222,6.882720565795896,23.929778861999516,51.65005100250242,71.16843032836914,0.0,0.39966744233735435,0.16479435811021656,0.1200809550556789,3.708868008569874,0.8061065673828125,71.16843032836914,4.2241038348508155,1.0255696623391017,10.292154439250552,11.508011646498401,22.346489205840978,47.56122015764346,99.44436502623145,0.0,0.3321100917431193,0.1523372651813019,0.11111972967430747,0.054869092495836005,1.2742239802600273,0.9240573817993777,0.9556253956366295,0.9712279669403804,4.2241038348508155,10.292154439250552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4D,sparse_zivid_anchor_gt,StereoAnywhere,seen,specimen_2,2025_04_10-16_19_14,10,1121610,refined,3.7973406958640257,0.8846206665039062,10.239105309741054,6.900531768798828,24.72696075439454,51.494660415649385,71.1682014465332,0.0,0.4452973850090495,0.18234056401066323,0.1246663278679755,3.7973406958640257,0.8846206665039062,71.1682014465332,29.299832229238472,1.251852709901918,812.1787501422411,10.865461988185782,20.664554825401645,49.87704537143726,110974.33648926302,0.0,0.3673326735674611,0.15655709203733917,0.10777453838678329,0.3757182296443446,8665.124835016713,0.929600306701973,0.9566123697185296,0.9671998288175034,29.299832229238472,812.1787501422411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4D,sparse_zivid_anchor_gt,StereoAnywhere,seen,specimen_2,2025_04_10-16_19_14,10,1121610,safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46947222338185224,0.38099953608770043,0.49732616506628863,0.40686958925116573,0.09580424568254563,0.08847268729415178,0.08520876240404418,0.03957881973234904,0.04562994267169512,0.8580640657974661,0.03740515865586077,0.01985895275541409,0.01754620590044667,0.9552144324944624,0.01953887714981143,0.014953504337514823,0.004585372812296609,0.9777946877476122,25.497056393046282,0.4213279986586298,0.49775768760977523,0.4064380667076791,0.09580424568254563,25.07572839438766,0.06117010369023101,0.025947521865889212,0.03522258182434179,0.9084128942000662,0.017303697363611238,0.013083870507573933,0.004219826856037279,0.9795865777120517,0.009136865755476502,0.012482057043000686,-0.0033451912875241824,0.9897209263603874
D4D,sparse_zivid_anchor_gt,StereoAnywhere,seen,specimen_2,2025_04_10-16_28_15,1,119423,raw,6.502683191657277,1.059295654296875,12.38516812718054,20.10497970581055,31.838090896606445,46.5782681274414,60.38774108886719,0.0,0.5084531455414786,0.3763512891151621,0.31704110598460933,6.502683191657277,1.059295654296875,60.38774108886719,9.342418596823137,2.3876473057495105,15.997330463886575,30.507951909902914,42.92408326320091,49.67341586689293,52.539448008308405,0.0,0.5535449620257404,0.3895564505999682,0.29626621337598286,0.11040664952454685,2.9268011100486158,0.7879889133583983,0.9068269931252774,0.9610292824665265,9.342418596823137,15.997330463886575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4D,sparse_zivid_anchor_gt,StereoAnywhere,seen,specimen_2,2025_04_10-16_28_15,1,119423,refined,2.645311036869053,0.8737297058105469,5.228738720931152,7.098474884033204,12.35052986145018,19.734425354003896,39.021066348068416,0.0,0.46131817154149535,0.221942171943428,0.13737722214313824,2.645311036869053,0.8737297058105469,39.021066348068416,2086.5513565386614,2.091784350462632,136815.45387030637,11.518187325011574,16.340215895937565,20.16244460072298,16083672.40057999,0.0,0.5180827813737722,0.2697219128643561,0.12828349647890272,24.475444271690705,219969932.24357903,0.9433274997278581,0.9935355835977994,0.9940966145549852,2086.5513565386614,136815.45387030637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4D,sparse_zivid_anchor_gt,StereoAnywhere,seen,specimen_2,2025_04_10-16_28_15,1,119423,safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16158310022426997,4.018955255012494,0.4455339423729097,0.46316036274419503,0.09130569488289525,-3.857372154788224,0.0374634701858101,0.08459844418579336,-0.04713497399998323,0.9237845388572792,0.024291803086507625,0.17870092025824172,-0.15440911717173408,0.961048900346411,0.008716913827319695,0.18838079766879076,-0.17966388384147108,0.9872365468790231,2082.4851302815114,5.27619233967322,0.45105214238463276,0.457642162732472,0.09130569488289525,2077.208937941838,0.04865896854039842,0.08412114919236663,-0.03546218065196827,0.8910103719264024,0.027867328739020123,0.14770186647463218,-0.11983453773561209,0.9543490487098942,0.014720782428845365,0.1827034993259255,-0.16798271689708014,0.9790818876276147
D4D,sparse_zivid_anchor_gt,StereoAnywhere,seen,specimen_2,2025_04_10-16_32_24,1,120374,raw,3.408003378233709,0.8216609954833984,5.905361150294098,12.01209144592285,14.608855247497551,17.672942924499516,21.40052032470703,0.0,0.4703922774020968,0.31992789140512073,0.24492830677721103,3.408003378233709,0.8216609954833984,21.40052032470703,5.8305560538136625,1.816820871187609,9.440832714927188,18.959822309920852,21.83255139810003,26.053666524846932,30.618454300972928,0.0,0.48070181268380213,0.34877132935683786,0.2386146510043697,0.07092312701080403,1.0822487733250108,0.8602854437004669,1.0,1.0,5.8305560538136625,9.440832714927188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4D,sparse_zivid_anchor_gt,StereoAnywhere,seen,specimen_2,2025_04_10-16_32_24,1,120374,refined,3.5497699965687843,1.2108631134033203,5.9064564051004655,11.886167526245117,14.4538854598999,17.693300399780277,22.737804412841797,0.0,0.5344924983800489,0.34011497499460014,0.24447139747786067,3.5497699965687843,1.2108631134033203,22.737804412841797,6.166908649354114,2.6029990355638617,9.49945273903414,18.84237464397692,21.327309627637515,26.01916826247028,34.13806214205711,0.0,0.5495040457241597,0.3807300579859438,0.2400684533204845,0.07450546467514801,1.0908102241254558,0.8615647897386479,0.999933540465549,1.0,6.166908649354114,9.49945273903414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4D,sparse_zivid_anchor_gt,StereoAnywhere,seen,specimen_2,2025_04_10-16_32_24,1,120374,safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205136366491194,0.06336974815611908,0.3697060827088906,0.2566584146078057,0.3736355026833037,0.14176661833507492,0.07539834183461545,0.011298120856663398,0.06410022097795204,0.8576336057473608,0.022579626829714056,0.002392543240234602,0.020187083589479404,0.9667981872152255,0.002101782777011647,0.0025586920763620053,-0.0004569092993503554,0.9972164460727685,0.4606440481671079,0.12429145262665636,0.36944855201289317,0.25691594530380313,0.3736355026833037,0.3363525955404516,0.08457806503065446,0.015775831990296908,0.06880223304035754,0.8371300591905295,0.03419343047501952,0.002234701845913569,0.031958728629105926,0.9474939725223559,0.003140213002807915,0.0016864106866931398,0.0014538023161147773,0.9958756587489498
D4D,sparse_zivid_anchor_gt,StereoAnywhere,seen,specimen_2,2025_04_10-16_33_49,6,629962,raw,14.175446817007852,3.755443572998047,33.2668182058024,24.942581176757812,99.85214614868164,152.17966361999513,171.6076202392578,0.0,0.6505249522987101,0.5243332137494008,0.4676917020391706,14.175446817007852,3.755443572998047,171.6076202392578,14.007053948820145,6.513697290908553,22.479033650223343,33.079956550513536,64.45211690229704,73.85094913776975,76.02389848791043,0.0,0.6507979846403434,0.5277207196624558,0.4423727145446868,0.16498672182394325,5.7510603855221865,0.6543791530282779,0.8758941015489823,0.9403265593797722,14.007053948820145,22.479033650223343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
