dataset,scope,backbone,backbone_status,method,metric,value,session_count
D4D,macro_session,CREStereo,unseen,refined,disparity_InvalidRate,1.7311027551002455e-06,20
D4D,macro_session,CREStereo,unseen,refined,depth_MAE,13837.592049163879,20
D4D,macro_session,CREStereo,unseen,refined,depth_P99,52.95140689605794,20
D4D,macro_session,CREStereo,unseen,refined,depth_BadMM10,0.12398607648313434,20
D4D,macro_session,CREStereo,unseen,refined,depth_InvalidRate,1.7311027551002455e-06,20
D4D,macro_session,Fast-FoundationStereo,unseen,raw,disparity_EPE,4.465100118108022,20
D4D,macro_session,Fast-FoundationStereo,unseen,raw,disparity_P99,37.326465877532925,20
D4D,macro_session,Fast-FoundationStereo,unseen,raw,disparity_Bad3,0.18934501480385973,20
D4D,macro_session,Fast-FoundationStereo,unseen,raw,disparity_InvalidRate,0.0,20
D4D,macro_session,Fast-FoundationStereo,unseen,raw,depth_MAE,8.315629108196179,20
D4D,macro_session,Fast-FoundationStereo,unseen,raw,depth_P99,53.07808698664868,20
D4D,macro_session,Fast-FoundationStereo,unseen,raw,depth_BadMM10,0.16779004458670194,20
D4D,macro_session,Fast-FoundationStereo,unseen,raw,depth_InvalidRate,0.0,20
D4D,macro_session,Fast-FoundationStereo,unseen,refined,disparity_EPE,3.8957567691294424,20
D4D,macro_session,Fast-FoundationStereo,unseen,refined,disparity_P99,35.59456457901002,20
D4D,macro_session,Fast-FoundationStereo,unseen,refined,disparity_Bad3,0.17040877009899447,20
D4D,macro_session,Fast-FoundationStereo,unseen,refined,disparity_InvalidRate,0.0,20
D4D,macro_session,Fast-FoundationStereo,unseen,refined,depth_MAE,1086.3527875645714,20
D4D,macro_session,Fast-FoundationStereo,unseen,refined,depth_P99,52.46995011243678,20
D4D,macro_session,Fast-FoundationStereo,unseen,refined,depth_BadMM10,0.1503072580917248,20
D4D,macro_session,Fast-FoundationStereo,unseen,refined,depth_InvalidRate,0.0,20
D4D,no_reference_transition,RAFT-Stereo,seen,raw,motion_compensated_inconsistency,0.5094060177013041,20
D4D,no_reference_transition,RAFT-Stereo,seen,refined,motion_compensated_inconsistency,0.24504928225799213,20
D4D,no_reference_transition,StereoAnywhere,seen,raw,motion_compensated_inconsistency,6.927071224720705,20
D4D,no_reference_transition,StereoAnywhere,seen,refined,motion_compensated_inconsistency,3.1516158512272847,20
D4D,no_reference_transition,CREStereo,unseen,raw,motion_compensated_inconsistency,0.42786655397642226,20
D4D,no_reference_transition,CREStereo,unseen,refined,motion_compensated_inconsistency,0.2108223085542993,20
D4D,no_reference_transition,Fast-FoundationStereo,unseen,raw,motion_compensated_inconsistency,0.5694472516724278,20
D4D,no_reference_transition,Fast-FoundationStereo,unseen,refined,motion_compensated_inconsistency,0.2172577491340538,20
