sequence,dataset,protocol,frames,authorization_ratio,catastrophic_update_gt3,intervention_coverage_all,max_update_abs,mean_update_abs,p95_update_abs,raw_mc_temporal_error,raw_temporal_variance,refined_mc_temporal_error,refined_temporal_variance,runtime_ms,support_ratio,temporal_delta,temporal_worsened_ratio,transition
specimen_3__2025_05_08-14_25_47,D4D temporal windows,156 validated four-frame windows; three causal transitions each,3,0.3314523280932186,0.0,0.2910986673752589,2.946575164794922,0.283904105424881,2.0450048049290976,2.3629989624023438,15.15231720606486,2.0201088190078735,12.829193909962973,28.838659326235454,0.9828189300411522,-0.34289013346036273,0.09614056889739331,2.0
specimen_3__2025_05_08-14_27_51,D4D temporal windows,156 validated four-frame windows; three causal transitions each,36,0.40693616542896743,0.0,0.3229178615405266,2.9720687866210938,0.23835516845186552,1.5733632594347,1.6348020037015278,13.115619268682268,1.4564260029130511,11.920544942220053,26.94745065592643,0.9801836848422495,-0.17837604026620588,0.20226686373593908,2.0
specimen_3__2025_05_08-14_33_16,D4D temporal windows,156 validated four-frame windows; three causal transitions each,6,0.4288254370023749,0.0,0.32069345342513506,2.993194580078125,0.2080903189877669,1.207916021347046,1.2385985056559246,8.120364705721537,1.1232452094554901,8.002824902534485,27.48050051741302,0.9840727880658435,-0.115353314516445,0.17407338233234912,2.0
specimen_3__2025_05_08-14_34_16,D4D temporal windows,156 validated four-frame windows; three causal transitions each,30,0.48226746505396606,0.0,0.3833434156118362,2.9619827270507812,0.2322431226571401,1.16591623822848,3.2782143652439117,38.043920103708906,3.1324784119923907,36.95785080194473,27.476957968125742,0.982136059670782,-0.14573595263063907,0.25748999107246073,2.0
specimen_3__2025_05_08-14_36_52,D4D temporal windows,156 validated four-frame windows; three causal transitions each,3,0.4596240417694633,0.0,0.3455365503730982,2.9752235412597656,0.17470823725064596,1.182023247083028,0.6818952163060507,3.26899790763855,0.6029514074325562,2.878553628921509,26.49926332135995,0.9863554526748972,-0.07894379521409671,0.2925694547188334,2.0
specimen_3__2025_05_08-14_38_08,D4D temporal windows,156 validated four-frame windows; three causal transitions each,3,0.43464559752485926,0.0,0.32595722353926565,2.9641075134277344,0.12798443188269934,0.7436875303586324,0.3325420320034027,1.0820495386918385,0.32961781819661456,1.0805280605951946,25.9374319575727,0.9811213991769546,-0.0029242036398500204,0.24145408029294446,2.0
specimen_3__2025_05_08-14_39_50,D4D temporal windows,156 validated four-frame windows; three causal transitions each,30,0.6573310813470022,0.0,0.4532033530713815,2.9369239807128906,0.192795230448246,1.1546096165974935,0.3847876081864039,0.34241386006275815,0.31707776536544163,0.2814445152878761,26.13714289230605,0.970059156378601,-0.06770984533553322,0.2712786379724355,2.0
specimen_3__2025_05_08-14_49_00,D4D temporal windows,156 validated four-frame windows; three causal transitions each,6,0.5394402742484511,0.0,0.3580002038891726,2.981151580810547,0.18061131238937378,1.0987956027189891,1.1314027160406113,7.977278931687276,1.0370554452141125,8.139071241642037,27.12133650978406,0.971412037037037,-0.09434722363948822,0.22666263022147626,2.0
specimen_3__2025_05_08-14_50_11,D4D temporal windows,156 validated four-frame windows; three causal transitions each,21,0.7471537480383882,0.0,0.5536941592918139,2.9426307678222656,0.190175990263621,1.019018931048257,0.5048106795265561,0.4339516120297568,0.43465336447670344,0.349677268770479,27.155216007182997,0.9633708112874783,-0.07015732037169593,0.3159634519802685,2.0
specimen_3__2025_05_08-14_52_45,D4D temporal windows,156 validated four-frame windows; three causal transitions each,3,0.5935250197171483,0.0,0.4075052618705495,2.9914093017578125,0.14941867192586264,0.9430316686630249,0.9719991683959961,5.607755343119304,0.9265543023745219,5.469977219899495,28.405592776834965,0.9650077160493827,-0.04544489644467831,0.32411751968692654,2.0
specimen_3__2025_05_08-14_59_26,D4D temporal windows,156 validated four-frame windows; three causal transitions each,9,0.6971024828269463,0.0,0.49485847852617326,2.9861717224121094,0.24796931280030143,1.3734154899915059,3.310225009918213,11.377566576004028,3.1651781797409058,10.46713466114468,24.35002869202031,0.9840406378600824,-0.14504706197314793,0.3175631395109375,2.0
