probability_threshold,utility_threshold_px,harm_threshold_px,coverage,precision,harmful_acceptance,harm_cost_fraction,net_utility,mean_selected_utility,clean_selection
0.5,0.01,0.1,0.002741049391860529,0.8163554973250355,0.1265421989300142,0.04087685307642388,0.0033026179298758507,1.2048735618591309,0.057102303744950324
0.5,0.01,0.25,0.002741049391860529,0.8163554973250355,0.1265421989300142,0.04087685307642388,0.0033026179298758507,1.2048735618591309,0.057102303744950324
0.5,0.01,0.5,0.002741049391860529,0.8163554973250355,0.1265421989300142,0.04087685307642388,0.0033026179298758507,1.2048735618591309,0.057102303744950324
0.5,0.02,0.025,0.0025549010435979183,0.8220686423802273,0.12369684901019093,0.03821216308759362,0.0032578299287706614,1.2751299142837524,0.05423450860958182
0.5,0.02,0.05,0.002680895343627756,0.8189327974994418,0.12603259656173252,0.040488412886749786,0.0032955666538327932,1.2292782068252563,0.05503460593882563
0.5,0.02,0.1,0.0026832895346021947,0.8186482266339504,0.12614320767343296,0.04052306697417274,0.003296963172033429,1.2287017107009888,0.05520856569261655
0.5,0.02,0.25,0.0026832895346021947,0.8186482266339504,0.12614320767343296,0.04052306697417274,0.003296963172033429,1.2287017107009888,0.05520856569261655
0.5,0.02,0.5,0.0026832895346021947,0.8186482266339504,0.12614320767343296,0.04052306697417274,0.003296963172033429,1.2287017107009888,0.05520856569261655
0.5,0.05,0.025,0.0020907272684286115,0.837961637560836,0.11580303464071,0.03425218396030688,0.003197005484253168,1.5291364192962646,0.04623532779845405
0.5,0.05,0.05,0.002193378206457672,0.8334015554645927,0.11897939691635967,0.03639875724267621,0.003228801302611828,1.472067952156067,0.047619047619047616
0.5,0.05,0.1,0.0021954731235603055,0.8330152671755725,0.11913849509269357,0.036437392949576035,0.0032300890889018774,1.4712498188018799,0.047846237731733916
0.5,0.05,0.25,0.0021954731235603055,0.8330152671755725,0.11913849509269357,0.036437392949576035,0.0032300890889018774,1.4712498188018799,0.047846237731733916
0.5,0.05,0.5,0.0021954731235603055,0.8330152671755725,0.11913849509269357,0.036437392949576035,0.0032300890889018774,1.4712498188018799,0.047846237731733916
0.5,0.1,0.025,0.001239293103143842,0.8712871287128713,0.09659502535619416,0.024831612487034645,0.0030216770246624947,2.438227415084839,0.03211784593093456
0.5,0.1,0.05,0.001275205967760423,0.8662285848392396,0.101149964796996,0.02614466797245658,0.003037000773474574,2.381577253341675,0.032621450363764376
0.5,0.1,0.1,0.001277001610991252,0.8657136161237403,0.10124209046168268,0.026153751544313278,0.0030384045094251633,2.3793275356292725,0.033044293414576986
0.5,0.1,0.25,0.001277001610991252,0.8657136161237403,0.10124209046168268,0.026153751544313278,0.0030384045094251633,2.3793275356292725,0.033044293414576986
0.5,0.1,0.5,0.001277001610991252,0.8657136161237403,0.10124209046168268,0.026153751544313278,0.0030384045094251633,2.3793275356292725,0.033044293414576986
0.6,0.0,0.025,0.0017654165697767506,0.8365824716053568,0.11256145109340567,0.029201172427361147,0.0030689144041389227,1.7383503913879395,0.0508560773012375
0.6,0.0,0.05,0.0017851686453158701,0.8357082984073764,0.11366303436714166,0.029601281986851812,0.0030812551267445087,1.7260291576385498,0.050628667225481976
0.6,0.0,0.1,0.001785467919187675,0.8357358364063023,0.11364398256788467,0.029593475352271442,0.003082092385739088,1.7262088060379028,0.05062018102581294
0.6,0.0,0.25,0.001785467919187675,0.8357358364063023,0.11364398256788467,0.029593475352271442,0.003082092385739088,1.7262088060379028,0.05062018102581294
