backbone,sequence,valid_count,utility_mean,utility_std,mean_positive_utility,mean_harm_magnitude,raw_wrong_a2_harmful_fraction,raw_clean_a2_helpful_fraction,helpful_fraction_eps_0.05,harmful_fraction_eps_0.05,indifferent_fraction_eps_0.05,helpful_fraction_eps_0.1,harmful_fraction_eps_0.1,indifferent_fraction_eps_0.1,helpful_fraction_eps_0.25,harmful_fraction_eps_0.25,indifferent_fraction_eps_0.25,helpful_fraction_eps_0.5,harmful_fraction_eps_0.5,indifferent_fraction_eps_0.5,pearson_utility_vs_raw_error,pearson_utility_vs_abs_update,pearson_utility_vs_abs_disagreement,pearson_utility_vs_flow_magnitude,pearson_utility_vs_photometric_residual,pearson_utility_vs_fb_error,pearson_utility_vs_fb_confidence
S2M2-S,dataset_3_keyframe_4,275620,-0.008843354645630729,0.061110657876391195,0.37494922693074373,0.1459703184636716,0.19427148194271482,0.01038873141035671,0.04330237283216022,0.1718126405921196,0.7848849865757201,0.01106233219650243,0.0354110732167477,0.9535265945867498,0.0016217981278571947,0.010086350772803135,0.9882918510993397,0.0,0.0005478557434148465,0.9994521442565851,0.05994670143044439,-0.4813249164675965,-0.03985249016403813,0.04083443499754287,0.11605670987733335,-0.11041307664290646,0.11570587263425569
RAFT-Stereo,dataset_3_keyframe_4,275620,-0.004221224056498837,0.06590467347134574,0.5133700713471152,0.13009572535516253,0.08457997698504027,0.011406372087249253,0.03675350119730063,0.17747986358029172,0.7857666352224076,0.013957622814019303,0.03428270807633699,0.9517596691096437,0.0040417966765837025,0.009632827806400117,0.9863253755170162,5.442275596836224e-05,0.0013678252666715041,0.9985777519773601,0.1752201354748292,-0.3901525087733482,-0.022463310980119135,-0.023831276731668398,0.07487039083364536,-0.1715795036811726,0.17463505706150545
StereoAnywhere,dataset_3_keyframe_4,275620,-0.0015274473513758292,0.06259846282156636,0.5380509518002964,0.12729510286282078,0.25,0.013866802830257496,0.03670996299252594,0.16716493723242146,0.7961250997750526,0.01601843117335462,0.03311806109861403,0.9508635077280313,0.004361076844931427,0.007347072055728902,0.9882918510993397,0.00034104927073507,0.0005805093969958639,0.9990784413322691,0.16161524458736348,-0.24454291404283612,0.09466649867196499,-0.002182199728383689,0.07568784868710987,-0.182562294475441,0.1858778943537267
S2M2-S,dataset_6_keyframe_1,858,0.1679446308207123,0.34041865059827686,0.3994865670872195,0.11265050544940605,0.013468013468013467,0.16042780748663102,0.4825174825174825,0.2202797202797203,0.2972027972027972,0.40675990675990675,0.037296037296037296,0.5559440559440559,0.24242424242424243,0.008158508158508158,0.7494172494172494,0.13286713286713286,0.002331002331002331,0.8648018648018648,0.7553752607041115,0.8881638202308773,0.5968844405565926,0.12279596402795333,-0.141207479266584,0.4217623979454143,-0.4777349439898298
RAFT-Stereo,dataset_6_keyframe_1,858,0.08224645416775506,0.4192361846903346,0.39060603157948637,0.24181099108287266,0.14245014245014245,0.1932938856015779,0.4125874125874126,0.32634032634032634,0.26107226107226106,0.337995337995338,0.14219114219114218,0.5198135198135199,0.1864801864801865,0.07109557109557109,0.7424242424242424,0.09673659673659674,0.039627039627039624,0.8636363636363636,0.5441392710766352,0.23201459823261333,0.12861804943024718,0.05623616594736789,-0.026335446246345463,0.07020445342671994,-0.10264689932450131
StereoAnywhere,dataset_6_keyframe_1,858,0.1672347875741812,0.3750326593022395,0.41740125402770845,0.11470473939506569,0.027522935779816515,0.15196078431372548,0.46503496503496505,0.23426573426573427,0.3006993006993007,0.3717948717948718,0.04195804195804196,0.5862470862470862,0.21445221445221446,0.005827505827505828,0.7797202797202797,0.1351981351981352,0.0034965034965034965,0.8613053613053613,0.5934805508233275,0.8406582716619886,0.5146801527341643,0.12499552621784207,-0.060784086777669374,0.2977306131579028,-0.29903048827070366
S2M2-S,dataset_6_keyframe_2,238291,0.00235557219972452,0.15859202995154864,0.2009157633621342,0.11232416549807618,0.008880994671403197,0.04345750383014552,0.17124440285197512,0.28533599674347754,0.5434196004045474,0.060661124423499,0.04644741093872618,0.8928914646377748,0.015057219953754024,0.0020479162032976486,0.9828948638429483,0.010575304984241956,0.0,0.989424695015758,0.8207503918400556,0.8631930847495215,0.5503185980517252,0.06232519341230872,-0.05472610135381238,0.05804016980834703,-0.05400707840589067
RAFT-Stereo,dataset_6_keyframe_2,238291,0.003266057085227197,0.06836856575804742,0.13281792592758604,0.1276770483969734,0.0,0.08160371055274648,0.21101510338199933,0.19393094997293225,0.5950539466450684,0.0913756709233668,0.01848999752403574,0.8901343315525975,0.006147945159489868,0.0006001065923597618,0.9932519482481503,8.393099193842822e-06,0.0,0.9999916069008061,0.5257171920672284,0.47469607374337797,0.21412035341770294,0.18211489464492173,-0.12605050090280775,0.21537261996749765,-0.21596652751665843
StereoAnywhere,dataset_6_keyframe_2,238291,0.012195199498764414,0.10672686092480313,0.15659048124343172,0.11675551599429942,0.00018453589223103894,0.07286780126004054,0.2364881594353123,0.21272309906794634,0.5507887414967414,0.09557222052028821,0.022875391852818613,0.8815523876268931,0.019014566223650914,9.232409113227105e-05,0.9808931096852168,0.008577747376107364,0.0,0.9914222526238926,0.6246521196928275,0.7957877787734289,0.47805196497586777,0.14285923700385425,-0.10943390496877724,0.20481089789944262,-0.21651017832513667
S2M2-S,dataset_6_keyframe_3,180834,0.1446000095232086,0.178761447813405,0.24508620830104988,0.274192523483179,0.0,0.17407546718186326,0.5987259033146421,0.007802736211110743,0.3934713604742471,0.42791731643385644,0.0029640443721866464,0.5691186391939569,0.21296880011502262,0.0,0.7870311998849774,0.052335290929803026,0.0,0.947664709070197,0.892772432808869,0.9907850246957907,0.5172670605743915,0.43174504404322395,0.15430885337846664,0.45053815364177485,-0.46807372795763974
RAFT-Stereo,dataset_6_keyframe_3,180834,0.16294965228825373,0.20949534794473582,0.2767797812198503,0.1456504264473915,0.0005442415730337078,0.24582236788995268,0.6073581295552828,0.03539157459327339,0.35725029585144386,0.46714666489708795,0.007476470132829004,0.5253768649700831,0.251694924627006,1.6589800590596902e-05,0.7482884855724035,0.08516097636506409,0.0,0.9148390236349359,0.8969474784146132,0.9800686421232753,0.4285686990101213,0.46910170100746534,0.1581769166295892,0.43523283758863546,-0.4537726043355773
