dataset,specimen,method,coverage_threshold,frames,valid_count,raw_epe,epe,refined_minus_raw_epe,bad1,bad3,boundary_epe,new_bad3,intervention_coverage,intervention_precision,false_update_rate,clean_degradation,mean_clean_update,frames_worsened,worst_frame_degradation,p95_frame_degradation,catastrophic_tail_p99,raw_mc_temporal_error,refined_mc_temporal_error
CREStereo,dataset_7_keyframe_3,a2_no_authorization,0.5,160,1080260,2.1928873838982517,2.106621684197997,-0.08626567638942688,0.17796271345964237,0.15263547673229136,5.631090174634226,0.0004839160980441525,0.382058948771592,0.6616059681675118,0.2778034647728286,0.10657237096246991,0.04858125578566814,0.025,0.010324256494641304,-0.0040297924540937035,0.006016343468800178,0.3092206442718914,0.27142073278676476
CREStereo,dataset_7_keyframe_3,m0_scared_only,0.5,160,1080260,2.1928873838982517,2.119183818137756,-0.07370355184038258,0.17839594171236098,0.15279099453392983,5.656421682821405,0.00022824160780686824,0.09671097698702165,0.8311046873354838,0.018977208569815468,0.014118206400618073,0.007692596987626952,0.025,0.007746288087219,-0.007303451746702199,0.003562310379929836,0.3092206442718914,0.28349277944300655
CREStereo,dataset_7_keyframe_3,multidomain,0.5,160,1080260,2.1928873838982517,2.1413518123929967,-0.05153557015859037,0.17887730614750955,0.15383518736452292,5.726414937670591,0.0001733758360005772,0.0395858404458186,0.9160956901994715,0.003273408017115859,0.002834814132469616,0.0022927439620891023,0.0125,0.0009672977030277252,-0.002443582995329058,3.3207428787134755e-05,0.3092206442718914,0.2914157249430513
CREStereo,dataset_7_keyframe_3,oracle_authorization,0.5,160,1080260,2.1928873838982517,2.0847567806384437,-0.10813059938205512,0.17530039069123823,0.15222724148668468,5.5740878834394065,0.0,0.25740284746264785,0.9820112061338838,0.16497191929397081,0.0,0.024278185252416047,0.0,-0.014241599477827549,-0.027123078890144835,-0.017678976859897378,0.3092206442718914,0.2709552197735907
CREStereo,dataset_7_keyframe_3,raw,0.9,160,43664,1.9642942800937706,1.9642942800937706,0.0,0.30230853734684704,0.19622572310649053,3.4401430190735742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2720934429068423,0.2720934429068423
CREStereo,dataset_7_keyframe_3,a2_no_authorization,0.9,160,43664,1.9642942800937706,1.8583637363410128,-0.10593054408368188,0.2921399766416826,0.1841791865043291,3.20237518067547,0.0012252108575733496,0.4311561011359472,0.6494210134919792,0.24752475247524752,0.14723270888239903,0.06599056396216915,0.007246376811594203,1.3549003601074219,-0.016316031105816337,-0.004982724366709598,0.2720934429068423,0.3029654607705406
CREStereo,dataset_7_keyframe_3,m0_scared_only,0.9,160,43664,1.9642942800937706,1.8687463961009274,-0.09554787039997881,0.29243770595803753,0.18525558836482903,3.224704129796419,0.0006838386097682713,0.20133290582631,0.8140143328404049,0.04690505021725194,0.03383431868366693,0.025835916449406762,0.021739130434782608,1.3400487899780273,-0.01339514218270776,0.003813875052146605,0.2720934429068423,0.3005674357408949
CREStereo,dataset_7_keyframe_3,multidomain,0.9,160,43664,1.9642942800937706,1.9002339817780132,-0.06406029584160401,0.2968349214738795,0.1898818250029553,3.316165362816922,0.0005698655077886184,0.08366159765481862,0.8078291814946619,0.017985611510791366,0.015884322245174158,0.016975506837651005,0.09420289855072464,1.3400487899780273,0.003568557091057301,0.02026948386803266,0.2720934429068423,0.2910749242714746
CREStereo,dataset_7_keyframe_3,oracle_authorization,0.9,160,43664,1.9642942800937706,1.826051110201766,-0.1382431576859285,0.28302491743226094,0.18319439363713486,3.1407957835124605,0.0,0.2843074386222059,0.9848558079587563,0.09448678680817722,0.0,0.023651063850658193,0.0,0.0,-0.05574300307780504,-0.025198949612677275,0.2720934429068423,0.29472248403719953
CREStereo,dataset_7_keyframe_4,raw,0.05,160,2617206,0.24993707149443908,0.24993707149443908,0.0,0.029293834797519094,0.0011237174284187044,0.5615278345875695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08617578550039387,0.08617578550039387
CREStereo,dataset_7_keyframe_4,a2_no_authorization,0.05,160,2617206,0.24993707149443908,0.22932793416997316,-0.020609137983063484,0.02697074681066428,0.0006143956564422232,0.5143253404286998,1.1092984101116413e-05,0.4936791372173226,0.6057195486277727,0.46551357851662273,0.17306749049966524,0.06241636085714314,0.00625,9.896873962134123e-05,-0.0038379314704798306,-0.0016524580441182534,0.08617578550039387,0.10200060675368715
CREStereo,dataset_7_keyframe_4,m0_scared_only,0.05,160,2617206,0.24993707149443908,0.24311161300269615,-0.006825456591276287,0.027531268280809196,0.0007683766543336268,0.5298565883274539,5.355233694694739e-06,0.057227058168138084,0.6581939576030713,0.034168186879523985,0.012423096924485209,0.0075958782811989195,0.05,0.008237713947892189,-0.0004178503149887797,0.0037396344868466254,0.08617578550039387,0.0896487418513346
CREStereo,dataset_7_keyframe_4,multidomain,0.05,160,2617206,0.24993707149443908,0.24736864473534972,-0.0025684256339675404,0.028251119750894095,0.0007500364873536295,0.5389854375404137,3.8251668199566435e-07,0.005021003314221349,0.8258884407579332,0.0013089977630170986,0.0007767965483818694,0.000742441196119804,0.0125,0.0057699973694980145,-0.00015793985730852016,0.00016857311769854138,0.08617578550039387,0.0872594558420115
CREStereo,dataset_7_keyframe_4,oracle_authorization,0.05,160,2617206,0.24993707149443908,0.20686632740328895,-0.04307074476154215,0.02395646360408147,0.0006033151376565141,0.4810922353403304,0.0,0.30808121332443833,0.970624274474397,0.28240551473415354,0.0,0.037703108683155025,0.0,-0.023132089525461197,-0.028965433593839424,-0.024390285667032004,0.08617578550039387,0.09231032211352806
CREStereo,dataset_7_keyframe_4,raw,0.25,160,2430301,0.23858540641750028,0.23858540641750028,0.0,0.02426407270039036,0.001069414862058543,0.5777405345355423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08477647933596251,0.08477647933596251
CREStereo,dataset_7_keyframe_4,a2_no_authorization,0.25,160,2430301,0.23858540641750028,0.21678811254048574,-0.02179729500818118,0.02166027995482022,0.0005324443331824594,0.5138333585255752,6.178682581491589e-06,0.48726474621867827,0.6169059280526938,0.4606514505839563,0.1678547728108287,0.06165753298217899,0.0,-0.0011163294548168778,-0.004647415387444211,-0.002007551625138153,0.08477647933596251,0.10031528607804927
CREStereo,dataset_7_keyframe_4,m0_scared_only,0.25,160,2430301,0.23858540641750028,0.23149690403683149,-0.007088500961310128,0.02247005632198622,0.0006953871089872744,0.5359345492040521,2.471473023529344e-06,0.053705281773739136,0.681918479926448,0.03246339145534717,0.011306855098836712,0.007252780942587524,0.03125,0.0034684722777456045,-0.0009647090046200907,0.002015898331301286,0.08477647933596251,0.08821737648973459
CREStereo,dataset_7_keyframe_4,multidomain,0.25,160,2430301,0.23858540641750028,0.23599004622493533,-0.002595360790589698,0.023274071942561536,0.0006768708898193325,0.5479706097338087,4.1191216784691723e-07,0.004815452900690079,0.8438007348543108,0.0011838670369334143,0.0006677750005202541,0.0006813650826291767,0.0125,0.0025544017553329468,-0.0001223317198309817,8.386592380702426e-05,0.08477647933596251,0.08591721932282465
CREStereo,dataset_7_keyframe_4,oracle_authorization,0.25,160,2430301,0.23858540641750028,0.19551408099471823,-0.043071325278612,0.019335465076056123,0.000526272259070167,0.48518927082503527,0.0,0.30983898702259516,0.9701700659493601,0.2826630534058144,0.0,0.037678343112132605,0.0,-0.022691838443279266,-0.028026003763079656,-0.02478839522227645,0.08477647933596251,0.091005953416644
CREStereo,dataset_7_keyframe_4,raw,0.5,160,1319822,0.20605718764958206,0.20605718764958206,0.0,0.01658481222330021,0.0012933562341497637,0.5983242474106726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07841239625779263,0.07841239625779263
