dataset,backbone,method,coverage_threshold,frames,valid_count,raw_epe,epe,refined_minus_raw_epe,bad1,bad3,boundary_epe,new_bad3,intervention_coverage,intervention_precision,false_update_rate,clean_degradation,mean_clean_update,frames_worsened,worst_frame_degradation,p95_frame_degradation,catastrophic_tail_p99,raw_mc_temporal_error,refined_mc_temporal_error
SCARED-C-test,RAFT-Stereo,raw,0.25,320,4038927,0.89757286851176,0.89757286851176,0.0,0.07706155589234642,0.04927026409987654,2.525904807928006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30467964938108366,0.30467964938108366
SCARED-C-test,RAFT-Stereo,a2_no_authorization,0.25,320,4038927,0.89757286851176,0.8562548901280658,-0.041317985336327676,0.07524523226720659,0.04774782988957598,2.3705753649001724,0.0007044402921587698,0.42809290685372625,0.6220338963445526,0.37949645972017215,0.14192694463725739,0.057849700313956864,0.025,0.014508955180644989,-0.0030418785638175894,0.009090096484869725,0.30467964938108366,0.295158317735169
SCARED-C-test,RAFT-Stereo,m0_scared_only,0.25,320,4038927,0.89757286851176,0.8728324374061603,-0.02474044575737801,0.07565177542333137,0.04794986387505842,2.4077956783983305,0.0005299578520025137,0.06469465776430225,0.7067666295441586,0.025841877255472538,0.012241736323189097,0.008807782504102307,0.0625,0.018347492441534996,0.0009669696097262209,0.009448379157111053,0.30467964938108366,0.29632516749454507
SCARED-C-test,RAFT-Stereo,multidomain,0.25,320,4038927,0.89757286851176,0.8821050524238518,-0.01546782487138926,0.07628882602866736,0.04817591398480514,2.4448726430817818,0.00039974707709820043,0.01792010600835321,0.7828069302826826,0.0030378281445515745,0.002591269455736845,0.0028658342588212355,0.090625,0.02717721089720726,0.0024921910022385452,0.009273837758228183,0.30467964938108366,0.29862170410471117
SCARED-C-test,RAFT-Stereo,oracle_authorization,0.25,320,4038927,0.89757286851176,0.830018297896013,-0.06755458052048365,0.07097776203178041,0.047078097592377584,2.3152380741696086,0.0,0.2735387393731058,0.9734939170150697,0.2292622358836536,0.0,0.031472167402322074,0.0,-0.02306395210325718,-0.028940638620406387,-0.02533048441633582,0.30467964938108366,0.2892762409177032
SCARED-C-test,RAFT-Stereo,raw,0.5,320,2400082,0.925868842566091,0.925868842566091,0.0,0.08154971375574586,0.057786775268091624,2.451718141401801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3045128996769808,0.3045128996769808
SCARED-C-test,RAFT-Stereo,a2_no_authorization,0.5,320,2400082,0.925868842566091,0.8788474608446528,-0.04702138512898424,0.07850148437932761,0.05578351076502751,2.274845701014144,0.0006699422382659238,0.4071460891752865,0.6396963110325179,0.3563159455085368,0.12887726784507939,0.05527341683175513,0.034375,0.014615065418183804,-0.0021319730964023545,0.004942352399230005,0.3045128996769808,0.2936381870938427
SCARED-C-test,RAFT-Stereo,m0_scared_only,0.5,320,2400082,0.925868842566091,0.8973242611803847,-0.028544591154536936,0.07931187333438827,0.056121415650801906,2.322962072774531,0.0004983662704020773,0.058604247688203985,0.7603497920443638,0.019672720733680992,0.00967451897140802,0.007643714985062161,0.059375,0.040098004043102264,0.0010401935956906574,0.0087158108688891,0.3045128996769808,0.2947043392868378
SCARED-C-test,RAFT-Stereo,multidomain,0.5,320,2400082,0.925868842566091,0.9062721665968798,-0.019596681515424784,0.08036933712884801,0.05628724362841186,2.3466519678018396,0.0003360766342846625,0.02066096075050769,0.8103775106880697,0.0030118051876728376,0.002538431256287757,0.002758784198196198,0.075,0.04449927806854248,0.0006757351831765878,0.006458927812054754,0.3045128996769808,0.2972383982037925
SCARED-C-test,RAFT-Stereo,oracle_authorization,0.5,320,2400082,0.925868842566091,0.855212911671854,-0.07065594363435904,0.07555325187583803,0.055152282101660816,2.2209204982988484,0.0,0.26824041845236957,0.970956773775666,0.21865841745359818,0.0,0.030711976341294547,0.0,-0.01517859660089016,-0.027241018321365117,-0.020531304925680158,0.3045128996769808,0.2890106629842927
SCARED-C-test,RAFT-Stereo,raw,0.9,320,46474,1.5831168074703168,1.5831168074703168,0.0,0.2659981923912331,0.1626500841141178,2.908687649688566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5790628373722932,0.5790628373722932
SCARED-C-test,RAFT-Stereo,a2_no_authorization,0.9,320,46474,1.5831168074703168,1.4917771481589948,-0.09133967028159368,0.25489521011188815,0.1528166288725752,2.697592825322877,0.00660413727462823,0.45122003700994107,0.6142584644730568,0.28872989783750685,0.13977247091430597,0.07608558786293552,0.08527131782945736,1.2979710102081299,0.018618517927825415,0.29440429687500114,0.5790628373722932,0.5618570542505895
SCARED-C-test,RAFT-Stereo,m0_scared_only,0.9,320,46474,1.5831168074703168,1.513515714246727,-0.06960109523140247,0.25543314566353287,0.15404312127629036,2.7350599237402884,0.004753950965767514,0.17756164737272453,0.6971643238002908,0.03954365271197911,0.02668471429952625,0.025725941090404287,0.09302325581395349,1.277597188949585,0.06694271713495249,0.23592616468668004,0.5790628373722932,0.5753135191538868
SCARED-C-test,RAFT-Stereo,multidomain,0.9,320,46474,1.5831168074703168,1.5231778050675093,-0.05993900164426801,0.2582949603028304,0.15606575741247802,2.7757675594668374,0.004214313245958432,0.09360072298489477,0.6868965517241379,0.018015404943762286,0.016500692900190145,0.02052003086471848,0.06201550387596899,1.3146603107452393,0.005810175836086196,0.20167074814438885,0.5790628373722932,0.566449897700448
SCARED-C-test,RAFT-Stereo,oracle_authorization,0.9,320,46474,1.5831168074703168,1.4277278906111246,-0.1553889093480117,0.24314670462472157,0.14728665496678175,2.5710005853224382,0.0,0.28217928303997936,0.9822327283818819,0.14238293209578137,0.0,0.028929042473341517,0.0,0.0,-0.0359638510271908,0.0,0.5790628373722932,0.5608557484113842
SCARED-C-test,StereoAnywhere,raw,0.05,320,4300609,1.0027518274038763,1.0027518274038763,0.0,0.0950525846760293,0.05841033220408225,2.5774444360616338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3083076081976741,0.3083076081976741
