sequence,frames,raw_mc_inconsistency,temporal_module_mc_inconsistency,update_magnitude,support_coverage
specimen_3__2025_05_08-14_34_16__Clip_3__end,6,0.9805050988992056,0.6125416047871113,0.33028775205214816,0.984233578046163
specimen_3__2025_05_08-14_34_16__Clip_3__start,6,6.113467484712601,1.5120826318937663,4.35872586707895,0.9802598357200623
specimen_3__2025_05_08-14_34_16__Clip_4__end,6,1.4566842168569565,0.27509575585524243,0.7206313908100128,0.9841307004292806
specimen_3__2025_05_08-14_34_16__Clip_4__start,6,0.9805050988992056,0.6125416047871113,0.33028775205214816,0.984233578046163
specimen_3__2025_05_08-14_34_16__Clip_5__end,6,0.7245887766281763,0.2431341384847959,0.5577208350102106,0.9794624845186869
specimen_3__2025_05_08-14_34_16__Clip_5__start,6,1.4566842168569565,0.27509575585524243,0.7206313908100128,0.9841307004292806
specimen_3__2025_05_08-14_36_52__Clip_1__start,6,2.6044820845127106,1.4213533513247967,1.2329474687576294,0.9863426287968954
specimen_3__2025_05_08-14_38_08__Clip_1__start,6,0.1740202655394872,0.08353772573173046,0.11233779198179643,0.9811214407285055
specimen_3__2025_05_08-14_39_50__Clip_1__end,6,0.14867841452360153,0.06357521998385589,0.09181137010455132,0.980799933274587
specimen_3__2025_05_08-14_39_50__Clip_1__start,6,0.40280447403589886,0.11479559540748596,0.3537078897158305,0.9760288596153259
specimen_3__2025_05_08-14_39_50__Clip_2__end,6,0.19824829325079918,0.10432990516225497,0.1087179450939099,0.9615226785341898
specimen_3__2025_05_08-14_39_50__Clip_2__start,6,0.14867841452360153,0.06357521998385589,0.09181137010455132,0.980799933274587
specimen_3__2025_05_08-14_39_50__Clip_3__end,6,0.16750762363274893,0.06062787212431431,0.16163840144872665,0.9693544507026672
specimen_3__2025_05_08-14_39_50__Clip_3__start,6,0.19824829325079918,0.10432990516225497,0.1087179450939099,0.9615226785341898
specimen_3__2025_05_08-14_39_50__Clip_4__end,6,0.20618414878845215,0.07550446068247159,0.13394434191286564,0.9612526098887125
specimen_3__2025_05_08-14_39_50__Clip_4__start,6,0.16750762363274893,0.06062787212431431,0.16163840144872665,0.9693544507026672
