dataset,item_id,candidate,comparison,shared_valid_count,shared_valid_ratio,median_disparity_px,mean_local_rgb_l1,mean_ternary_census
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__end,zivid_scale_1,zivid_scales_common,1030,0.03973765432098766,24.817218780517578,0.09930247068405151,0.4122845530509949
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__end,zivid_scale_0.25,raw_S2M2-S_paired,821,0.03167438271604938,6.190064430236816,0.08447449654340744,0.24839045107364655
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__end,zivid_scale_1,raw_S2M2-S_paired,821,0.03167438271604938,24.760257720947266,0.09993596374988556,0.42714208364486694
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__end,raw_S2M2-S,raw_S2M2-S_paired,821,0.03167438271604938,24.480024337768555,0.08650372922420502,0.39592087268829346
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__end,zivid_scale_0.25,raw_RAFT-Stereo_paired,1030,0.03973765432098766,6.2043046951293945,0.08641358464956284,0.2708638906478882
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__end,zivid_scale_1,raw_RAFT-Stereo_paired,1030,0.03973765432098766,24.817218780517578,0.09930247068405151,0.4122845530509949
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__end,raw_RAFT-Stereo,raw_RAFT-Stereo_paired,1030,0.03973765432098766,6.685546875,0.010042501613497734,0.06455320119857788
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__end,zivid_scale_0.25,raw_StereoAnywhere_paired,1030,0.03973765432098766,6.2043046951293945,0.08641358464956284,0.2708638906478882
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__end,zivid_scale_1,raw_StereoAnywhere_paired,1030,0.03973765432098766,24.817218780517578,0.09930247068405151,0.4122845530509949
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__end,raw_StereoAnywhere,raw_StereoAnywhere_paired,1030,0.03973765432098766,6.916015625,0.009134582243859768,0.058510005474090576
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__start,zivid_scale_0.125,zivid_scales_common,1030,0.03973765432098766,3.0539498329162598,0.08603605628013611,0.3956112861633301
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__start,zivid_scale_0.2,zivid_scales_common,1030,0.03973765432098766,4.886320114135742,0.08010935038328171,0.302011102437973
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__start,zivid_scale_0.25,zivid_scales_common,1030,0.03973765432098766,6.1078996658325195,0.07550834864377975,0.2511987090110779
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__start,zivid_scale_0.333333,zivid_scales_common,1030,0.03973765432098766,8.143867492675781,0.08335869759321213,0.3619675040245056
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__start,zivid_scale_0.5,zivid_scales_common,1030,0.03973765432098766,12.215799331665039,0.089764803647995,0.47180500626564026
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__start,zivid_scale_0.75,zivid_scales_common,1030,0.03973765432098766,18.323699951171875,0.08549895137548447,0.41654446721076965
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__start,zivid_scale_1,zivid_scales_common,1030,0.03973765432098766,24.431598663330078,0.08799439668655396,0.4302753806114197
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__start,zivid_scale_0.25,raw_S2M2-S_paired,949,0.036612654320987655,6.1172027587890625,0.07601373642683029,0.23428528010845184
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__start,zivid_scale_1,raw_S2M2-S_paired,949,0.036612654320987655,24.46881103515625,0.0887647196650505,0.43371108174324036
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__start,raw_S2M2-S,raw_S2M2-S_paired,949,0.036612654320987655,23.96902847290039,0.07747049629688263,0.41020622849464417
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__start,zivid_scale_0.25,raw_RAFT-Stereo_paired,1030,0.03973765432098766,6.1078996658325195,0.07550834864377975,0.2511987090110779
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__start,zivid_scale_1,raw_RAFT-Stereo_paired,1030,0.03973765432098766,24.431598663330078,0.08799439668655396,0.4302753806114197
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__start,raw_RAFT-Stereo,raw_RAFT-Stereo_paired,1030,0.03973765432098766,6.03125,0.009466776624321938,0.05714285746216774
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__start,zivid_scale_0.25,raw_StereoAnywhere_paired,1030,0.03973765432098766,6.1078996658325195,0.07550834864377975,0.2511987090110779
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__start,zivid_scale_1,raw_StereoAnywhere_paired,1030,0.03973765432098766,24.431598663330078,0.08799439668655396,0.4302753806114197
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__start,raw_StereoAnywhere,raw_StereoAnywhere_paired,1030,0.03973765432098766,6.04296875,0.00947741512209177,0.057331085205078125
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__end,zivid_scale_0.125,zivid_scales_common,1180,0.04552469135802469,3.2119715213775635,0.09927451610565186,0.38648390769958496
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__end,zivid_scale_0.2,zivid_scales_common,1180,0.04552469135802469,5.139154434204102,0.09343400597572327,0.32774126529693604
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__end,zivid_scale_0.25,zivid_scales_common,1180,0.04552469135802469,6.423943042755127,0.08773107826709747,0.28745242953300476
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__end,zivid_scale_0.333333,zivid_scales_common,1180,0.04552469135802469,8.565258026123047,0.0849495679140091,0.2945607304573059
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__end,zivid_scale_0.5,zivid_scales_common,1180,0.04552469135802469,12.847886085510254,0.09208070486783981,0.37495675683021545
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__end,zivid_scale_0.75,zivid_scales_common,1180,0.04552469135802469,19.271827697753906,0.09465957432985306,0.3764268457889557
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__end,zivid_scale_1,zivid_scales_common,1180,0.04552469135802469,25.695772171020508,0.09286316484212875,0.37513837218284607
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__end,zivid_scale_0.25,raw_S2M2-S_paired,906,0.0349537037037037,6.312516212463379,0.08656857907772064,0.28100642561912537
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__end,zivid_scale_1,raw_S2M2-S_paired,906,0.0349537037037037,25.250064849853516,0.09422428905963898,0.39325132966041565
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__end,raw_S2M2-S,raw_S2M2-S_paired,906,0.0349537037037037,26.45763397216797,0.07999585568904877,0.3624251186847687
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__end,zivid_scale_0.25,raw_RAFT-Stereo_paired,1180,0.04552469135802469,6.423943042755127,0.08773107826709747,0.28745242953300476
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__end,zivid_scale_1,raw_RAFT-Stereo_paired,1180,0.04552469135802469,25.695772171020508,0.09286316484212875,0.37513837218284607
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__end,raw_RAFT-Stereo,raw_RAFT-Stereo_paired,1180,0.04552469135802469,12.03125,0.008696392178535461,0.0440591499209404
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__end,zivid_scale_0.25,raw_StereoAnywhere_paired,1180,0.04552469135802469,6.423943042755127,0.08773107826709747,0.28745242953300476
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__end,zivid_scale_1,raw_StereoAnywhere_paired,1180,0.04552469135802469,25.695772171020508,0.09286316484212875,0.37513837218284607
D4D,specimen_1__2025_03_06-16_53_09__Clip_1__end,raw_StereoAnywhere,raw_StereoAnywhere_paired,1180,0.04552469135802469,12.109375,0.00828771386295557,0.042026977986097336
D4D,specimen_1__2025_03_06-16_49_40__Clip_1__start,zivid_scale_0.125,zivid_scales_common,1097,0.04232253086419753,3.047715187072754,0.08748552948236465,0.38848063349723816
D4D,specimen_1__2025_03_06-16_49_40__Clip_1__start,zivid_scale_0.2,zivid_scales_common,1097,0.04232253086419753,4.876344203948975,0.07948450744152069,0.2869793176651001
D4D,specimen_1__2025_03_06-16_49_40__Clip_1__start,zivid_scale_0.25,zivid_scales_common,1097,0.04232253086419753,6.095430374145508,0.07484657317399979,0.23671236634254456
D4D,specimen_1__2025_03_06-16_49_40__Clip_1__start,zivid_scale_0.333333,zivid_scales_common,1097,0.04232253086419753,8.127241134643555,0.08349153399467468,0.3371160924434662
D4D,specimen_1__2025_03_06-16_49_40__Clip_1__start,zivid_scale_0.5,zivid_scales_common,1097,0.04232253086419753,12.190860748291016,0.09097207337617874,0.4404498338699341
D4D,specimen_1__2025_03_06-16_49_40__Clip_1__start,zivid_scale_0.75,zivid_scales_common,1097,0.04232253086419753,18.286291122436523,0.08605656772851944,0.3638215661048889
D4D,specimen_1__2025_03_06-16_49_40__Clip_1__start,zivid_scale_1,zivid_scales_common,1097,0.04232253086419753,24.38172149658203,0.08786819130182266,0.41009801626205444
D4D,specimen_1__2025_03_06-16_49_40__Clip_1__start,zivid_scale_0.25,raw_S2M2-S_paired,990,0.03819444444444445,6.118424415588379,0.0740252435207367,0.23249845206737518
D4D,specimen_1__2025_03_06-16_49_40__Clip_1__start,zivid_scale_1,raw_S2M2-S_paired,990,0.03819444444444445,24.473697662353516,0.08825487643480301,0.41728508472442627
D4D,specimen_1__2025_03_06-16_49_40__Clip_1__start,raw_S2M2-S,raw_S2M2-S_paired,990,0.03819444444444445,23.735334396362305,0.07766421884298325,0.40398886799812317
D4D,specimen_1__2025_03_06-16_49_40__Clip_1__start,zivid_scale_0.25,raw_RAFT-Stereo_paired,1097,0.04232253086419753,6.095430374145508,0.07484657317399979,0.23671236634254456
D4D,specimen_1__2025_03_06-16_49_40__Clip_1__start,zivid_scale_1,raw_RAFT-Stereo_paired,1097,0.04232253086419753,24.38172149658203,0.08786819130182266,0.41009801626205444
D4D,specimen_1__2025_03_06-16_49_40__Clip_1__start,raw_RAFT-Stereo,raw_RAFT-Stereo_paired,1097,0.04232253086419753,6.078125,0.008756020106375217,0.05155991390347481
D4D,specimen_1__2025_03_06-16_49_40__Clip_1__start,zivid_scale_0.25,raw_StereoAnywhere_paired,1097,0.04232253086419753,6.095430374145508,0.07484657317399979,0.23671236634254456
D4D,specimen_1__2025_03_06-16_49_40__Clip_1__start,zivid_scale_1,raw_StereoAnywhere_paired,1097,0.04232253086419753,24.38172149658203,0.08786819130182266,0.41009801626205444
D4D,specimen_1__2025_03_06-16_49_40__Clip_1__start,raw_StereoAnywhere,raw_StereoAnywhere_paired,1097,0.04232253086419753,6.078125,0.008510485291481018,0.05023905634880066
D4D,specimen_1__2025_03_06-17_35_04__Clip_1__start,zivid_scale_0.125,zivid_scales_common,19,0.0007330246913580247,3.8001174926757812,0.03809614107012749,0.22180451452732086
D4D,specimen_1__2025_03_06-17_35_04__Clip_1__start,zivid_scale_0.2,zivid_scales_common,19,0.0007330246913580247,6.080188274383545,0.03760778158903122,0.184747576713562
D4D,specimen_1__2025_03_06-17_35_04__Clip_1__start,zivid_scale_0.25,zivid_scales_common,19,0.0007330246913580247,7.6002349853515625,0.037581849843263626,0.19387754797935486
D4D,specimen_1__2025_03_06-17_35_04__Clip_1__start,zivid_scale_0.333333,zivid_scales_common,19,0.0007330246913580247,10.133646965026855,0.03761209920048714,0.19548873603343964
D4D,specimen_1__2025_03_06-17_35_04__Clip_1__start,zivid_scale_0.5,zivid_scales_common,19,0.0007330246913580247,15.200469970703125,0.037656933069229126,0.21804511547088623
D4D,specimen_1__2025_03_06-17_35_04__Clip_1__start,zivid_scale_0.75,zivid_scales_common,19,0.0007330246913580247,22.800704956054688,0.03851369023323059,0.3109559416770935
D4D,specimen_1__2025_03_06-17_35_04__Clip_1__start,zivid_scale_1,zivid_scales_common,19,0.0007330246913580247,30.40093994140625,0.03781953081488609,0.21374864876270294
D4D,specimen_1__2025_03_06-17_35_04__Clip_1__start,zivid_scale_0.25,raw_S2M2-S_paired,19,0.0007330246913580247,7.6002349853515625,0.037581849843263626,0.19387754797935486
D4D,specimen_1__2025_03_06-17_35_04__Clip_1__start,zivid_scale_1,raw_S2M2-S_paired,19,0.0007330246913580247,30.40093994140625,0.03781953081488609,0.21374864876270294
D4D,specimen_1__2025_03_06-17_35_04__Clip_1__start,raw_S2M2-S,raw_S2M2-S_paired,19,0.0007330246913580247,29.963762283325195,0.03335615247488022,0.11117079108953476
D4D,specimen_1__2025_03_06-17_35_04__Clip_1__start,zivid_scale_0.25,raw_RAFT-Stereo_paired,19,0.0007330246913580247,7.6002349853515625,0.037581849843263626,0.19387754797935486
D4D,specimen_1__2025_03_06-17_35_04__Clip_1__start,zivid_scale_1,raw_RAFT-Stereo_paired,19,0.0007330246913580247,30.40093994140625,0.03781953081488609,0.21374864876270294
D4D,specimen_1__2025_03_06-17_35_04__Clip_1__start,raw_RAFT-Stereo,raw_RAFT-Stereo_paired,19,0.0007330246913580247,7.296875,0.003588225459679961,0.02900107204914093
D4D,specimen_1__2025_03_06-17_35_04__Clip_1__start,zivid_scale_0.25,raw_StereoAnywhere_paired,19,0.0007330246913580247,7.6002349853515625,0.037581849843263626,0.19387754797935486
D4D,specimen_1__2025_03_06-17_35_04__Clip_1__start,zivid_scale_1,raw_StereoAnywhere_paired,19,0.0007330246913580247,30.40093994140625,0.03781953081488609,0.21374864876270294
D4D,specimen_1__2025_03_06-17_35_04__Clip_1__start,raw_StereoAnywhere,raw_StereoAnywhere_paired,19,0.0007330246913580247,23.03125,0.04319881275296211,0.21213747560977936
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__start,zivid_scale_0.125,zivid_scales_common,864,0.03333333333333333,3.0764026641845703,0.0799645483493805,0.39596325159072876
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__start,zivid_scale_0.2,zivid_scales_common,864,0.03333333333333333,4.922244071960449,0.07357816398143768,0.28905659914016724
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__start,zivid_scale_0.25,zivid_scales_common,864,0.03333333333333333,6.152805328369141,0.06971355527639389,0.2397250533103943
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__start,zivid_scale_0.333333,zivid_scales_common,864,0.03333333333333333,8.203741073608398,0.0780666172504425,0.36863425374031067
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__start,zivid_scale_0.5,zivid_scales_common,864,0.03333333333333333,12.305610656738281,0.0818258598446846,0.4552035927772522
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__start,zivid_scale_0.75,zivid_scales_common,864,0.03333333333333333,18.458415985107422,0.07818733900785446,0.34617114067077637
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__start,zivid_scale_1,zivid_scales_common,864,0.03333333333333333,24.611221313476562,0.08016673475503922,0.41852089762687683
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__start,zivid_scale_0.25,raw_S2M2-S_paired,861,0.03321759259259259,6.15164852142334,0.0696832686662674,0.23911446332931519
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__start,zivid_scale_1,raw_S2M2-S_paired,861,0.03321759259259259,24.60659408569336,0.08015560358762741,0.41839101910591125
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__start,raw_S2M2-S,raw_S2M2-S_paired,861,0.03321759259259259,24.01337432861328,0.06797993183135986,0.37962502241134644
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__start,zivid_scale_0.25,raw_RAFT-Stereo_paired,864,0.03333333333333333,6.152805328369141,0.06971355527639389,0.2397250533103943
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__start,zivid_scale_1,raw_RAFT-Stereo_paired,864,0.03333333333333333,24.611221313476562,0.08016673475503922,0.41852089762687683
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__start,raw_RAFT-Stereo,raw_RAFT-Stereo_paired,864,0.03333333333333333,6.01953125,0.008159073069691658,0.039977796375751495
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__start,zivid_scale_0.25,raw_StereoAnywhere_paired,864,0.03333333333333333,6.152805328369141,0.06971355527639389,0.2397250533103943
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__start,zivid_scale_1,raw_StereoAnywhere_paired,864,0.03333333333333333,24.611221313476562,0.08016673475503922,0.41852089762687683
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__start,raw_StereoAnywhere,raw_StereoAnywhere_paired,864,0.03333333333333333,6.05859375,0.008058848790824413,0.041182443499565125
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__end,zivid_scale_0.125,zivid_scales_common,895,0.03452932098765432,3.0612587928771973,0.07839161157608032,0.38459697365760803
D4D,specimen_1__2025_03_06-16_56_00__Clip_1__end,zivid_scale_0.2,zivid_scales_common,895,0.03452932098765432,4.898014068603516,0.07190809398889542,0.2848820090293884
