backbone,age_frames,method,frames,epe,gt_tce,nr_tce,stereo_photo,temporal_photo
Fast-FoundationStereo,2,raw,3938,0.30366759130913207,0.030923973685285648,0.0073149115937256644,0.01675407253692431,0.014387145006916893
Fast-FoundationStereo,4,h4,3938,0.292588770133618,0.04035494359708368,0.013515199612694323,0.016837214019924236,0.018624536672670413
Fast-FoundationStereo,4,immutable,3938,0.30899981336086296,0.05090929944839481,0.0139289124219624,0.016988847331821624,0.018624536672670413
Fast-FoundationStereo,4,raw,3938,0.30366759130913207,0.03591990254635914,0.013753542634408165,0.01675407253692431,0.018624536672670413
Fast-FoundationStereo,8,h4,3938,0.292588770133618,0.053894909168383055,0.026033544363143313,0.016837214019924236,0.027756824031453308
Fast-FoundationStereo,8,immutable,3938,0.30899981336086296,0.06961663923863762,0.02606170927038782,0.016988847331821624,0.027756824031453308
Fast-FoundationStereo,8,raw,3938,0.30366759130913207,0.04545127706527737,0.026339440750822743,0.01675407253692431,0.027756824031453308
RAFT-Stereo,0,h4,3962,0.2913902151733952,,,,
RAFT-Stereo,0,immutable,3962,0.308771895832634,,,,
RAFT-Stereo,0,raw,3962,0.3022126991902959,,,,
RAFT-Stereo,1,h4,3938,0.290943348933762,0.03521870219421067,0.003778546015902561,0.01682733081202367,0.012234798299245822
RAFT-Stereo,1,immutable,3938,0.30882572106433787,0.04095663089700481,0.0045011141724519855,0.01700266954555972,0.012234798299245822
RAFT-Stereo,1,raw,3938,0.30217342531560654,0.03210400746045722,0.004269774606420218,0.016741529252262393,0.012234798299245822
RAFT-Stereo,2,h4,3938,0.290943348933762,0.0439113515313663,0.0071055083415569814,0.01682733081202367,0.014387145006916893
RAFT-Stereo,2,immutable,3938,0.30882572106433787,0.046684728504211924,0.007652961480385873,0.01700266954555972,0.014387145006916893
RAFT-Stereo,2,raw,3938,0.30217342531560654,0.03536698181288823,0.007412383156303308,0.016741529252262393,0.014387145006916893
RAFT-Stereo,4,h4,3938,0.290943348933762,0.04366484724107889,0.01357850825391178,0.01682733081202367,0.018624536672670413
RAFT-Stereo,4,immutable,3938,0.30882572106433787,0.05603507086502151,0.013975200273521506,0.01700266954555972,0.018624536672670413
RAFT-Stereo,4,raw,3938,0.30217342531560654,0.03971591074601427,0.013804454865031238,0.016741529252262393,0.018624536672670413
RAFT-Stereo,8,h4,3938,0.290943348933762,0.05611457220325673,0.026076626424453346,0.01682733081202367,0.027756824031453308
RAFT-Stereo,8,immutable,3938,0.30882572106433787,0.07428894799484179,0.026120738254933305,0.01700266954555972,0.027756824031453308
RAFT-Stereo,8,raw,3938,0.30217342531560654,0.048248009569776984,0.02634664549666666,0.016741529252262393,0.027756824031453308
S2M2-S,0,h4,3962,0.2850214024706666,,,,
S2M2-S,0,immutable,3962,0.3002359464882426,,,,
S2M2-S,0,raw,3962,0.2948822533796308,,,,
S2M2-S,1,h4,3938,0.2837827876268458,0.0336594536364345,0.0037943348438987806,0.01687830662765663,0.012234798299245822
S2M2-S,1,immutable,3938,0.29951739428188245,0.03849805811862108,0.004515936103579043,0.017040324510753588,0.012234798299245822
S2M2-S,1,raw,3938,0.29406719959719785,0.03012297936127406,0.004304545070530576,0.016788551628860778,0.012234798299245822
S2M2-S,2,h4,3938,0.2837827876268458,0.042390842463800434,0.007131554040234045,0.01687830662765663,0.014387145006916893
S2M2-S,2,immutable,3938,0.29951739428188245,0.04452650501152879,0.007678348930744653,0.017040324510753588,0.014387145006916893
S2M2-S,2,raw,3938,0.29406719959719785,0.03383946779051184,0.00746623673274486,0.016788551628860778,0.014387145006916893
S2M2-S,4,h4,3938,0.2837827876268458,0.042041233093773826,0.01365101842671783,0.01687830662765663,0.018624536672670413
S2M2-S,4,immutable,3938,0.29951739428188245,0.05409192496755953,0.014015848112218792,0.017040324510753588,0.018624536672670413
S2M2-S,4,raw,3938,0.29406719959719785,0.038947606748420203,0.013896998082821516,0.016788551628860778,0.018624536672670413
S2M2-S,8,h4,3938,0.2837827876268458,0.05531130873282345,0.026245211834855772,0.01687830662765663,0.027756824031453308
S2M2-S,8,immutable,3938,0.29951739428188245,0.07211010742947355,0.026230500534288853,0.017040324510753588,0.027756824031453308
S2M2-S,8,raw,3938,0.29406719959719785,0.04849728045674788,0.02653726549926193,0.016788551628860778,0.027756824031453308
StereoAnywhere,0,h4,3962,0.2963603137113366,,,,
StereoAnywhere,0,immutable,3962,0.3127356496997672,,,,
StereoAnywhere,0,raw,3962,0.31888929016624323,,,,
StereoAnywhere,1,h4,3938,0.29583242065115906,0.03516781949207025,0.0038212894969567304,0.01688856863804409,0.012234798299245822
StereoAnywhere,1,immutable,3938,0.312717690622636,0.043318682737969766,0.0047845304809396106,0.017079226793012037,0.012234798299245822
StereoAnywhere,1,raw,3938,0.31896575127594523,0.04587163258213467,0.005092889796127961,0.01687244640721931,0.012234798299245822
StereoAnywhere,2,h4,3938,0.29583242065115906,0.04428360004157569,0.007208793582037356,0.01688856863804409,0.014387145006916893
StereoAnywhere,2,immutable,3938,0.312717690622636,0.049242299895224766,0.007871739478684203,0.017079226793012037,0.014387145006916893
StereoAnywhere,2,raw,3938,0.31896575127594523,0.050013382101195915,0.008287637236797185,0.01687244640721931,0.014387145006916893
StereoAnywhere,4,h4,3938,0.29583242065115906,0.04422762978982403,0.013784089132699528,0.01688856863804409,0.018624536672670413
StereoAnywhere,4,immutable,3938,0.312717690622636,0.05808409802113322,0.014047524544834229,0.017079226793012037,0.018624536672670413
StereoAnywhere,4,raw,3938,0.31896575127594523,0.05505949053288753,0.014749069139969736,0.01687244640721931,0.018624536672670413
StereoAnywhere,8,h4,3938,0.29583242065115906,0.05808410297423767,0.026444549637870164,0.01688856863804409,0.027756824031453308
StereoAnywhere,8,immutable,3938,0.312717690622636,0.07687550089504887,0.026412603726314297,0.017079226793012037,0.027756824031453308
StereoAnywhere,8,raw,3938,0.31896575127594523,0.06610535058334617,0.0274774248251935,0.01687244640721931,0.027756824031453308
