policy,name,maximum_update_px,patch_mean_maximum_update_px,patch_kernel,harmful_probability_threshold,predicted_utility_ceiling_px,uncertainty_floor_px,require_harmful_class,p4_logic,intervention_coverage,intervention_precision,false_update_rate,clean_degradation,epe_gain,gain_retained,veto_rate_conditional,harmful_veto_recall,harmful_veto_precision,useful_proposal_retention,conditional_harmful_acceptance,conditional_helpful_rejection,oracle_veto_recovery,conditional_count
C1_patch_max_2.0,C1_patch_max_2.0,,2.0,5,,,,False,any,0.01673666324165611,0.6157514106333942,0.007858341338100514,0.005287316695465293,0.0030597462318837643,1.004215462759082,0.0008337634493984993,0.001984865401314973,0.7619047619047619,0.9996511546780158,0.9980151345986851,0.0003488453219842322,0.006588485455707857,25187
C1_pixel_max_3.0,C1_pixel_max_3.0,3.0,,5,,,,False,any,0.016750629304124312,0.6154365347202922,0.007865986991268665,0.005294962348633444,0.0030469021294265985,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25187
C1_patch_max_3.0,C1_patch_max_3.0,,3.0,5,,,,False,any,0.016750629304124312,0.6154365347202922,0.007865986991268665,0.005294962348633444,0.0030469021294265985,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25187
C2_harmful_class,C2_harmful_class,,,5,,,,True,any,0.006625234014677667,0.7335876330054206,0.00220333823118509,0.0014895122490314347,0.002159916330128908,0.7088893040799398,0.604478500813912,0.7672745316958194,0.40623973727422,0.46703411707249004,0.23272546830418062,0.5329658829275099,-0.4549864856327066,25187
C2_harm_p_0.1,C2_harm_p_0.1,,,5,0.1,,,False,any,0.003411044495209973,0.8153636186391109,0.0007284222291110329,0.0004580441307100866,0.0015794362407177687,0.518374458261646,0.7963632032397665,0.9398337675226399,0.37770465649616114,0.26435498499965115,0.06016623247736013,0.7356450150003488,-0.7527484070412057,25187
C2_harm_p_0.25,C2_harm_p_0.25,,,5,0.25,,,False,any,0.004806985691436476,0.7631433314886552,0.0013477201357311955,0.0009223437958304777,0.0018554098205640912,0.6089495959337767,0.7130265613213166,0.8631683413968491,0.3874380533437274,0.35114770110932814,0.13683165860315097,0.6488522988906719,-0.6111855440041916,25187
C2_harm_p_0.5,C2_harm_p_0.5,,,5,0.5,,,False,any,0.006980371031726239,0.733326981707317,0.0023659821258530116,0.0015743094932600093,0.0021941231098026037,0.7201160446251417,0.5832770873863501,0.7541247984121077,0.41379075624532025,0.4913137514825926,0.24587520158789233,0.5086862485174074,-0.437439843419415,25187
C2_harm_p_0.75,C2_harm_p_0.75,,,5,0.75,,,False,any,0.010070861140761283,0.730964802218847,0.003690070242700834,0.002333314335043643,0.0030284130480140448,0.9939318426955731,0.3987771469408822,0.6228755737501551,0.4999004380724811,0.7155515244540571,0.37712442624984494,0.28444847554594294,-0.009484122723425376,25187
C2_harm_p_0.9,C2_harm_p_0.9,,,5,0.9,,,False,any,0.012498960858447306,0.7176758539959561,0.005014158359548656,0.003093014236206199,0.0034278377424925566,1.1250239085092133,0.2538214158097431,0.4946036471901749,0.6236508681370249,0.8746947603432638,0.5053963528098251,0.1253052396567362,0.19540398051294045,25187
C2_utility_-0.25,C2_utility_-0.25,,,5,,-0.25,,False,any,0.01654313351888245,0.6229145728643216,0.007723499818589502,0.005156645532227818,0.00313559640198946,1.0291096559046853,0.012387342676777702,0.037092172187073565,0.9583333333333334,0.9997209237424126,0.9629078278129264,0.00027907625758738573,0.04549643906483994,25187
C2_utility_-0.1,C2_utility_-0.1,,,5,,-0.1,,False,any,0.015115934944750923,0.6730168507193454,0.006840774407357621,0.0044080665811280255,0.0034779421985149384,1.1414683015005336,0.09759002660102434,0.24984493239052227,0.8193653376729048,0.9905114072420289,0.7501550676094777,0.009488592757971115,0.221105463420798,25187
C2_utility_0.0,C2_utility_0.0,,,5,,0.0,,False,any,0.013398109261162043,0.7140871637049538,0.0056028736534962185,0.0035107449229387667,0.003592627588659525,1.179108299529013,0.20014293087703974,0.40776578588264484,0.652053164054751,0.946835972929603,0.5922342141173552,0.05316402707039699,0.27993425488128965,25187
C2_utility_0.05,C2_utility_0.05,,,5,,0.05,,False,any,0.011919701791313774,0.737209172571556,0.004662458313813749,0.0028963124319710634,0.0035720202140510082,1.1723449137249553,0.2884027474490809,0.4984493239052227,0.5531387665198237,0.8836252005860601,0.5015506760947773,0.11637479941393986,0.2693635366593411,25187
C2_sigma_0.05,C2_sigma_0.05,,,5,,,0.05,False,any,0.0014631113061926186,0.4318181818181818,0.0003767221833761258,0.00018419073541452646,6.065606157790171e-06,0.001990745321029287,0.9126533529201573,0.9016251085473266,0.3161787097054857,0.0440242796344101,0.09837489145267336,0.9559757203655899,-1.5598215035698777,25187
C2_sigma_0.1,C2_sigma_0.1,,,5,,,0.1,False,any,0.0036032441167961854,0.5699520118124769,0.0013692669764778006,0.0006950593789227413,0.00022952567087486386,0.07533083148885346,0.7848890300551872,0.8075921101600297,0.32930345490414287,0.17393427754133817,0.19240788983997023,0.8260657224586618,-1.4451958696472362,25187
C2_sigma_0.25,C2_sigma_0.25,,,5,,,0.25,False,any,0.010232468435036196,0.5978811906928376,0.004998867053212356,0.0030436650203026845,0.0010247767204418778,0.33633398019080196,0.38912931274069956,0.39362361989827566,0.3237424752576268,0.5746180143724272,0.6063763801017243,0.42538198562757273,-1.0372654602486748,25187
C2_sigma_0.5,C2_sigma_0.5,,,5,,,0.5,False,any,0.014426942529652943,0.6026367952795832,0.00709933649631688,0.004610328860394543,0.0019091161666437984,0.6265761371872742,0.1387223567713503,0.12268949261878179,0.28305666857469947,0.8338798576711086,0.8773105073812182,0.16612014232889136,-0.5836364426788628,25187
C2_sigma_1.0,C2_sigma_1.0,,,5,,,1.0,False,any,0.016157404174522577,0.6072031282156822,0.00777632433138763,0.005207384866889178,0.0026058556977659464,0.8552475882303271,0.035415095088736255,0.01637513956084853,0.14798206278026907,0.9480220470243494,0.9836248604391514,0.051977952975650596,-0.2262383074238789,25187
C2_joint_p0.25_u-0.1,C2_joint_p0.25_u-0.1,,,5,0.25,-0.1,,False,all,0.015170469093436284,0.6705975187409583,0.006840774407357621,0.0044080665811280255,0.003473421325907111,1.13998454113811,0.0943343788462302,0.2487284456022826,0.8438552188552189,0.9905114072420289,0.7512715543977174,0.009488592757971115,0.21878644552732426,25187
C2_joint_p0.25_u0.0,C2_joint_p0.25_u0.0,,,5,0.25,0.0,,False,all,0.013686741218838222,0.7071428571428572,0.005677940066419874,0.003553838604431977,0.0035882911179214716,1.1776850602670188,0.18291181958947075,0.40578092048132985,0.7100065118298242,0.9479522779599525,0.5942190795186701,0.05204772204004744,0.27770982740712014,25187
C2_joint_p0.25_u0.05,C2_joint_p0.25_u0.05,,,5,0.25,0.05,,False,all,0.012427800444918848,0.7253705784770161,0.0048619403555645755,0.0030172527639036203,0.003569885389879346,1.1716442597226346,0.25806963909953545,0.4958441880659968,0.6149230769230769,0.8871136538059025,0.5041558119340033,0.11288634619409754,0.26826846146413785,25187
C2_joint_p0.5_u-0.1,C2_joint_p0.5_u-0.1,,,5,0.5,-0.1,,False,all,0.015179114751154694,0.6702155625657203,0.006841469466736544,0.0044087616405069485,0.0034725742880254984,1.1397065414368948,0.09381823956803113,0.24810817516437167,0.8463817181548878,0.9905114072420289,0.7518918248356283,0.009488592757971115,0.21835195064673213,25187
C2_joint_p0.5_u0.0,C2_joint_p0.5_u0.0,,,5,0.5,0.0,,False,all,0.013731299608617726,0.7062042911803168,0.005697401729029711,0.003564264495115818,0.0035876294132322073,1.1774678873283564,0.18025171715567553,0.404540379605508,0.7182819383259912,0.948649968603921,0.595459620394492,0.05135003139607898,0.27737040067522273,25187
C2_joint_p0.5_u0.05,C2_joint_p0.5_u0.05,,,5,0.5,0.05,,False,all,0.012625985521848574,0.7241506452462471,0.0049425672435196135,0.0030679920985649803,0.0035788652021437883,1.174591453916277,0.24623813872235678,0.4905098622999628,0.6375362786198001,0.8960440940486988,0.5094901377000373,0.10395590595130119,0.27287472824662207,25187
C2_joint_p0.75_u-0.1,C2_joint_p0.75_u-0.1,,,5,0.75,-0.1,,False,all,0.015190420611248001,0.669804299286371,0.006844249704252234,0.0044094566998858714,0.003471870208159089,1.1394754608716184,0.09314328820423234,0.2468676342885498,0.8482523444160273,0.9906509453708225,0.7531323657114501,0.009349054629177423,0.21799078722757034,25187
C2_joint_p0.75_u0.0,C2_joint_p0.75_u0.0,,,5,0.75,0.0,,False,all,0.013866969929737405,0.7026041916454846,0.005799575457731354,0.0036344654923870148,0.0035836375318467617,1.1761577430520134,0.1721523007900901,0.39275524128520034,0.7301660516605166,0.9526268052745412,0.6072447587147997,0.04737319472545873,0.27532273307551075,25187
C2_joint_p0.75_u0.05,C2_joint_p0.75_u0.05,,,5,0.75,0.05,,False,all,0.012941884553867435,0.7173175745118191,0.005178887432353346,0.0032209051619279836,0.0035782605409622192,1.1743930027826714,0.22737920355739072,0.4675598560972584,0.6581107036843025,0.9074862206097816,0.5324401439027416,0.09251377939021838,0.2725645624398882,25187
