mode,sequence,backbone,frame_id,step_since_reset,valid_count,historical_only_count,recurrent_only_count,raw_epe,historical_memory_epe,recurrent_memory_epe,fused_epe,historical_selection_oracle_epe,recurrent_selection_oracle_epe,convex_fusion_oracle_epe,historical_selection_gain,recurrent_selection_gain,convex_fusion_gain,fused_gain,endpoint_selection_gain,beyond_endpoint_gain_signed,interpolation_advantage,recurrent_candidate_improvement,gt_between_endpoint_fraction,fused_better_than_both_fraction,fused_worse_than_both_fraction,harmful_update_rate,clean_pixel_degradation,reset_mean,fusion_mean,temporal_weight_mean,temporal_weight_p95,recurrent_raw_difference_mean,delta_fusion_mean,delta_fusion_p95,w_star_mean,temporal_valid_count,raw_tepe,fused_tepe,raw_teper,fused_teper
clip_reset,dataset_7_keyframe_3,RAFT-Stereo,['000202'],2,6649,0,0,0.8419804573059082,0.7639805674552917,0.7521856427192688,0.8088707327842712,0.7275925278663635,0.7167063355445862,0.7057845592498779,0.11438794434070587,0.12527413666248322,0.1361958235502243,0.03310975059866905,0.12527413666248322,-0.09216438978910446,0.001782797509804368,0.011794963851571083,0.03173409402370453,0.016393441706895828,0.0027071740478277206,0.010377500206232071,0.04208416864275932,0.605683445930481,0.4308502972126007,0.3648315668106079,0.9960387945175171,0.1825968474149704,0.0562887080013752,0.18241260945796967,0.8054731488227844,5988,0.16073919832706451,0.12584373354911804,4.473405838012695,3.357985258102417
clip_reset,dataset_7_keyframe_3,RAFT-Stereo,['000202'],3,6692,0,0,0.7842242121696472,0.8307256698608398,0.797320544719696,0.7987424731254578,0.7287937998771667,0.7071602940559387,0.6900803446769714,0.055430419743061066,0.07706396281719208,0.09414390474557877,-0.014518220908939838,0.07706396281719208,-0.09158219397068024,0.00046179856872186065,0.03340506553649902,0.06022115796804428,0.01628810539841652,0.0020920501556247473,0.06709504127502441,0.09369951486587524,0.6603599786758423,0.4714736342430115,0.4062528610229492,0.9995641112327576,0.20138414204120636,0.09679101407527924,0.5678935050964355,0.7159075140953064,5955,0.18839211761951447,0.09499093890190125,5.7668609619140625,2.4185221195220947
clip_reset,dataset_7_keyframe_3,RAFT-Stereo,['000202'],4,6711,0,0,0.76045161485672,0.7708277106285095,0.8045597672462463,0.7867968082427979,0.7203994989395142,0.7005594372749329,0.6979454755783081,0.04005207121372223,0.05989215523004532,0.0625060573220253,-0.02634524740278721,0.05989215523004532,-0.08623740077018738,0.0003298447700217366,-0.033732131123542786,0.04216957092285156,0.019669199362397194,0.0011920727556571364,0.06303084641695023,0.03419972583651543,0.6231562495231628,0.43385279178619385,0.3608650267124176,0.9983542561531067,0.16912032663822174,0.08577772229909897,0.5040874481201172,0.5868881344795227,6019,0.10777556896209717,0.08649256825447083,3.0405285358428955,2.306018829345703
clip_reset,dataset_7_keyframe_3,RAFT-Stereo,['000206'],1,6749,0,0,0.766550600528717,0.7458667159080505,0.7458667159080505,0.7504520416259766,0.7143566012382507,0.7143566012382507,0.7119150161743164,0.052193984389305115,0.052193984389305115,0.05463552474975586,0.016098568215966225,0.052193984389305115,-0.03609542176127434,6.455940456362441e-05,0.0,0.02770780771970749,0.01037190668284893,0.003407912328839302,0.0,0.0,0.5798072814941406,0.374837189912796,0.3103640675544739,0.9879171252250671,0.08858725428581238,0.0177859365940094,0.0844879224896431,0.7463619112968445,6052,0.07729336619377136,0.07034852355718613,2.4386696815490723,1.9701051712036133
clip_reset,dataset_7_keyframe_3,RAFT-Stereo,['000206'],2,6790,0,0,0.7568602561950684,0.7491879463195801,0.7333157658576965,0.7411568760871887,0.7112348675727844,0.6993791460990906,0.6973921060562134,0.04562543332576752,0.05748118460178375,0.05946817994117737,0.015703396871685982,0.05748118460178375,-0.04177778959274292,0.0002620682353153825,0.015872156247496605,0.027393225580453873,0.015169366262853146,0.005891016218811274,0.017967598512768745,0.01696832664310932,0.6746781468391418,0.4554748237133026,0.40179958939552307,0.9841673970222473,0.09539181739091873,0.048800475895404816,0.126069113612175,0.6655884385108948,6084,0.08398237824440002,0.05196025222539902,2.400071859359741,1.4734227657318115
clip_reset,dataset_7_keyframe_3,RAFT-Stereo,['000206'],3,6809,0,0,0.7217464447021484,0.7408245801925659,0.7257500290870667,0.7108692526817322,0.688459038734436,0.6864360570907593,0.68263840675354,0.03328746557235718,0.03531042858958244,0.0391080267727375,0.010877227410674095,0.03531042858958244,-0.024433201178908348,0.00022478443861473352,0.015074620954692364,0.059480100870132446,0.027463650330901146,0.0014686444774270058,0.003965340089052916,0.006322444882243872,0.6285637617111206,0.40406641364097595,0.3394470810890198,0.9736467003822327,0.08221957087516785,0.019741076976060867,0.08060970902442932,0.5940284729003906,6152,0.10069248080253601,0.07506861537694931,3.6008079051971436,2.312753915786743
clip_reset,dataset_7_keyframe_3,RAFT-Stereo,['000206'],4,6847,0,0,0.7340408563613892,0.7041625380516052,0.6937646269798279,0.7110092639923096,0.6783244013786316,0.6714962720870972,0.666563868522644,0.05571645125746727,0.0625445768237114,0.06747698783874512,0.02303154580295086,0.0625445768237114,-0.039513032883405685,0.000599954801145941,0.010397858917713165,0.08237183839082718,0.0366583913564682,0.0016065429663285613,0.002920987317338586,0.01031894888728857,0.6819369792938232,0.4427623450756073,0.3994373381137848,0.9921056032180786,0.09467783570289612,0.03138526901602745,0.13521525263786316,0.6049169898033142,6217,0.09709405899047852,0.07553377002477646,3.6224591732025146,2.654221296310425
clip_reset,dataset_7_keyframe_3,RAFT-Stereo,['000210'],1,6872,0,0,0.7530223727226257,0.716835618019104,0.716835618019104,0.7436031699180603,0.6975909471511841,0.6975909471511841,0.6931655406951904,0.05543145909905434,0.05543145909905434,0.05985677242279053,0.009419200010597706,0.05543145909905434,-0.04601225629448891,0.0004564725677482784,0.0,0.07450523972511292,0.030122235417366028,0.004365541506558657,0.0021827707532793283,0.004733727779239416,0.590484619140625,0.3993011713027954,0.33017420768737793,0.9634364247322083,0.08352680504322052,0.018914304673671722,0.0709967166185379,0.6812739968299866,6236,0.07834785431623459,0.06765995174646378,2.600637435913086,2.0437631607055664
clip_reset,dataset_7_keyframe_3,RAFT-Stereo,['000210'],2,6857,0,0,0.6628329157829285,0.7231972813606262,0.713641345500946,0.6745027303695679,0.636402428150177,0.6330457925796509,0.6231467127799988,0.02643049694597721,0.029787154868245125,0.03968622162938118,-0.011669854633510113,0.029787154868245125,-0.041457004845142365,0.0007350405212491751,0.009555919095873833,0.0936269536614418,0.04477176442742348,0.0008750182460062206,0.015750328078866005,0.0033195021096616983,0.6927976608276367,0.3015248477458954,0.2726030945777893,0.8065266013145447,0.1301809400320053,0.0600004680454731,0.0595746785402298,0.3989349603652954,6153,0.15791234374046326,0.11241678893566132,2.1792056560516357,1.604538917541504
clip_reset,dataset_7_keyframe_3,RAFT-Stereo,['000210'],3,6877,0,0,0.6214509606361389,0.6407128572463989,0.6641468405723572,0.643808126449585,0.589561939239502,0.5766406059265137,0.5595735907554626,0.031888965517282486,0.044810302555561066,0.06187734007835388,-0.02235722728073597,0.044810302555561066,-0.06716752797365189,0.00046714633936062455,-0.023434000089764595,0.10295186936855316,0.04493238404393196,0.0008724734652787447,0.02515631727874279,0.015678254887461662,0.6441771388053894,0.3650457262992859,0.3130488395690918,0.9571990370750427,0.1664506494998932,0.10600410401821136,0.1096666231751442,0.4548984467983246,6247,0.10592833906412125,0.09167134016752243,1.8105783462524414,1.5494434833526611
