method,causal,checkpoint,temporal_diff,teacher_delta_mae,refined_to_backbone_mae,refined_to_sav_mae,runtime_ms_per_frame,peak_vram_mb,depth_mae_mm,bad_2mm
convgru_v1_conservative:epoch_0040,True,results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0040.pt,1.2244983475208282,0.6795759887695313,0.12253657072072938,1.389178851294139,67.21019478596097,974.474609375,nan,nan
convgru_v1_conservative:epoch_0050,True,results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0050.pt,1.2309153027534485,0.6841232578754425,0.07582865723423542,1.4139595216228849,66.74128593803043,974.474609375,nan,nan
convgru_v1_conservative:epoch_0060,True,results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0060.pt,1.231637235403061,0.685273833990097,0.08814468524522251,1.4114674055387104,66.58543859578906,974.474609375,nan,nan
convgru_v1_conservative:epoch_0070,True,results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0070.pt,1.2326868920326233,0.6855472586154938,0.08595265693489522,1.4061716927422419,66.90778047592926,974.474609375,nan,nan
convgru_v1_conservative:epoch_0080,True,results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0080.pt,1.2331479923725128,0.6861373589038849,0.08349991879529423,1.4176336749205514,67.08317261100525,974.474609375,nan,nan
convgru_v1_conservative:epoch_0090,True,results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0090.pt,1.2278665435314178,0.6812146351337433,0.10295973800950581,1.3979722455380454,67.30220694508817,974.474609375,nan,nan
convgru_v1_conservative:epoch_0100,True,results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0100.pt,1.2281372137069702,0.6814937205314636,0.09144478368144186,1.3949883471405695,67.27619626234093,974.474609375,nan,nan
convgru_v2_scheduled,True,results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/best.pt,1.2495697245597839,0.7055264301300049,0.12290958888710492,1.4451130647507926,67.05237567306511,974.474609375,nan,nan
convgru_v2_scheduled:latest,True,results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/latest.pt,1.1781467635631562,0.6467303683757782,0.25567078075948213,1.3508493554970575,67.35020943747331,974.474609375,nan,nan
convgru_v2_scheduled:epoch_0010,True,results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0010.pt,1.2328188879489899,0.6885954668521881,0.12529522653609987,1.4280854633876257,68.01220265749309,974.474609375,nan,nan
convgru_v2_scheduled:epoch_0020,True,results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0020.pt,1.2046056730747223,0.6688350870609283,0.15433921067724152,1.3989843106459057,67.62202069835945,974.474609375,nan,nan
convgru_v2_scheduled:epoch_0030,True,results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0030.pt,1.1545004281997682,0.6289590566158295,0.3662071591095319,1.3273823176111494,67.34484460367452,974.474609375,nan,nan
convgru_v2_scheduled:epoch_0040,True,results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0040.pt,1.1553712401390075,0.6271511585712433,0.2656325647045696,1.3618709388233365,67.1969524525579,974.474609375,nan,nan
convgru_v2_scheduled:epoch_0050,True,results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0050.pt,1.1579866061210633,0.6282038791179657,0.3197301156700604,1.313158769456167,66.94639292878232,974.474609375,nan,nan
convgru_v2_scheduled:epoch_0060,True,results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0060.pt,1.1718875513076783,0.6405687067508697,0.232027956949813,1.3731564420556266,67.15876437974946,974.474609375,nan,nan
convgru_v2_scheduled:epoch_0070,True,results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0070.pt,1.17198930311203,0.6441640768051148,0.24738351427136906,1.3733717297750807,67.0976608267261,974.474609375,nan,nan
convgru_v2_scheduled:epoch_0080,True,results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0080.pt,1.1784878141880035,0.6598126697540283,0.29489482945156476,1.3990665910735962,66.75407825414801,974.474609375,nan,nan
convgru_v2_scheduled:epoch_0090,True,results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0090.pt,1.1782232358455658,0.6625325541496276,0.2941841251320309,1.4245243933465745,67.03879898377059,974.474609375,nan,nan
convgru_v2_scheduled:epoch_0100,True,results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0100.pt,1.1781467635631562,0.6467303683757782,0.25567078075948213,1.3508493554970575,67.34064772229878,974.474609375,nan,nan
