sequence_id,method,frames,depth_mae_mm,disp_mae_px,bad_2mm_pct,raw_temporal_diff,motion_compensated_temporal_mae,runtime_ms,peak_vram_mb
dataset_1_keyframe_2,S2M2-L@736+EMA0.50,12,1.1373277107874553,0.9502263168493906,12.953889006796949,0.12217514623295177,0.09539256651293147,187.76713038364855,1672.4599609375
dataset_1_keyframe_2,StereoAnyVideo,12,1.1757987141609192,0.976797898610433,13.5702800243682,0.11152082342993129,0.07500980658964677,60.02991458323473,3944.68212890625
dataset_1_keyframe_2,ConvGRU V2 e40,12,1.2686308523019154,1.055156762401263,16.726893139424234,0.32141905345700006,0.2565407780083743,210.01401646719432,2679.9345703125
dataset_1_keyframe_3,S2M2-S@512,12,1.6247926155726116,1.3362402121225994,26.145523106050273,0.17299386994405228,0.17656475170092148,60.974148300906215,371.33447265625
dataset_1_keyframe_3,S2M2-L@736,12,1.5429290930430095,1.285762796799342,24.2994164857638,0.1812623983079737,0.18414109200239182,187.76713038364855,1672.4599609375
dataset_1_keyframe_3,Fast-FoundationStereo ONNX,12,1.5389521320660908,1.2894619305928547,23.63444609198392,0.15395897220481525,0.15682790597731416,45.3597867449459,nan
dataset_1_keyframe_3,S2M2-S@512+EMA0.50,12,1.5859848658243816,1.2939712901910145,25.786905647910938,0.12385745651342651,0.128934732214971,60.974148300906215,371.33447265625
dataset_1_keyframe_3,S2M2-L@736+EMA0.50,12,1.498183975617091,1.240334928035736,23.743497996251445,0.12635905600406908,0.1306350596926429,187.76713038364855,1672.4599609375
dataset_1_keyframe_3,StereoAnyVideo,12,1.4640083213647206,1.2170981566111247,22.096708715832378,0.11979073658585548,0.12344087897376581,60.02573416723558,3944.68212890625
dataset_1_keyframe_3,ConvGRU V2 e40,12,1.537148763736089,1.2608187993367512,25.201409907481175,0.30756639350544324,0.3106920461763035,209.95398271554268,2679.9345703125
dataset_5_keyframe_1,S2M2-S@512,12,8.600013732910156,15.697215795516968,75.62230267043695,6.436849745837125,6.415907187895342,60.974148300906215,371.33447265625
dataset_5_keyframe_1,S2M2-L@736,12,20.091545422871906,51.246009508768715,94.34190317687546,5.9892683245918965,5.91449126330289,187.76713038364855,1672.4599609375
dataset_5_keyframe_1,Fast-FoundationStereo ONNX,12,15.038809537887573,22.48566548029582,82.87715182263133,11.455849907614969,11.72129674391313,45.3597867449459,nan
dataset_5_keyframe_1,S2M2-S@512+EMA0.50,12,7.907391349474589,14.791297515233358,75.50073104443426,2.9291467774998057,2.8991826447573574,60.974148300906215,371.33447265625
dataset_5_keyframe_1,S2M2-L@736+EMA0.50,12,20.024474143981934,50.93825308481852,94.19953803003443,2.7202257351441816,2.6836716803637417,187.76713038364855,1672.4599609375
dataset_5_keyframe_1,StereoAnyVideo,12,6.531176765759786,11.932864109675089,70.94420591497088,0.7560188445177946,0.745336575941606,59.790889664630726,3944.68212890625
dataset_5_keyframe_1,ConvGRU V2 e40,12,20.07131878534953,51.068579037984215,94.30972560425789,5.3182196833870625,5.262988957491788,209.69286890154203,2679.9345703125
dataset_5_keyframe_2,S2M2-S@512,12,5.723685582478841,21.261515776316326,69.48594772174339,5.163461663506248,5.288180134513161,60.974148300906215,371.33447265625
dataset_5_keyframe_2,S2M2-L@736,12,11.343646923700968,45.64209302266439,88.03135497535277,20.953202160921965,18.266171021894976,187.76713038364855,1672.4599609375
dataset_5_keyframe_2,Fast-FoundationStereo ONNX,12,7.93628712495168,31.709790229797363,80.42145226165208,10.079534487290816,10.556072235107422,45.3597867449459,nan
dataset_5_keyframe_2,S2M2-S@512+EMA0.50,12,5.562871853510539,20.614188989003498,68.65812538798362,2.479387565092607,2.549677751281045,60.974148300906215,371.33447265625
dataset_5_keyframe_2,S2M2-L@736+EMA0.50,12,11.496138095855713,45.430331230163574,88.89255069029481,8.245551759546453,7.240712816065008,187.76713038364855,1672.4599609375
dataset_5_keyframe_2,StereoAnyVideo,12,5.875690937042236,16.309430599212646,71.58985983373684,0.8759443163871765,0.8127260858362372,59.93189583144462,3944.68212890625
dataset_5_keyframe_2,ConvGRU V2 e40,12,11.345554192860922,45.54609616597494,88.03986832474381,19.59016899629073,17.046863599257037,209.68232128533344,2679.9345703125
dataset_5_keyframe_3,S2M2-S@512,12,5.689867774645488,15.32036296526591,67.31642455117334,3.0129027366638184,3.1707055351950904,60.974148300906215,371.33447265625
dataset_5_keyframe_3,S2M2-L@736,12,16.425042231877644,60.90040079752604,95.46808083268036,17.18461912328547,17.669424057006836,187.76713038364855,1672.4599609375
