dataset,split,backbone,sequence,frame,protocol,record_level,section,metric_path,method,horizon,metric_scope,applicability,diagnostic_tags,statistic,value,source_id,source_run,source_manifest_sha256,source_report_sha256,specimen,session,window_index,step_since_reset,reset
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__start,specimen_2__2025_04_10-16_07_15__1744294061_039222002,"four-frame curated causal windows, past-to-present",per_frame,d4d,motion_compensated_inconsistency,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.1973320096731186,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_07_15,0,3,0
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__start,specimen_2__2025_04_10-16_07_15__1744294061_039222002,"four-frame curated causal windows, past-to-present",per_frame,d4d,update_magnitude,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.20112518966197968,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_07_15,0,3,0
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,specimen_2__2025_04_10-16_07_15__1744294083_472864627,"four-frame curated causal windows, past-to-present",per_frame,d4d,support_coverage,support,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.9781635999679565,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_07_15,1,1,1
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,specimen_2__2025_04_10-16_07_15__1744294083_472864627,"four-frame curated causal windows, past-to-present",per_frame,d4d,motion_compensated_inconsistency,raw,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.6116240620613098,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_07_15,1,1,1
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,specimen_2__2025_04_10-16_07_15__1744294083_472864627,"four-frame curated causal windows, past-to-present",per_frame,d4d,motion_compensated_inconsistency,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.29111164808273315,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_07_15,1,1,1
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,specimen_2__2025_04_10-16_07_15__1744294083_472864627,"four-frame curated causal windows, past-to-present",per_frame,d4d,update_magnitude,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.32051244378089905,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_07_15,1,1,1
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,specimen_2__2025_04_10-16_07_15__1744294083_504939794,"four-frame curated causal windows, past-to-present",per_frame,d4d,support_coverage,support,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.9512732028961182,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_07_15,1,2,0
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,specimen_2__2025_04_10-16_07_15__1744294083_504939794,"four-frame curated causal windows, past-to-present",per_frame,d4d,motion_compensated_inconsistency,raw,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.7110885977745056,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_07_15,1,2,0
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,specimen_2__2025_04_10-16_07_15__1744294083_504939794,"four-frame curated causal windows, past-to-present",per_frame,d4d,motion_compensated_inconsistency,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.3795931935310364,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_07_15,1,2,0
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,specimen_2__2025_04_10-16_07_15__1744294083_504939794,"four-frame curated causal windows, past-to-present",per_frame,d4d,update_magnitude,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.22743478417396545,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_07_15,1,2,0
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,specimen_2__2025_04_10-16_07_15__1744294083_538976430,"four-frame curated causal windows, past-to-present",per_frame,d4d,support_coverage,support,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.9794753789901733,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_07_15,1,3,0
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,specimen_2__2025_04_10-16_07_15__1744294083_538976430,"four-frame curated causal windows, past-to-present",per_frame,d4d,motion_compensated_inconsistency,raw,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.6764798760414124,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_07_15,1,3,0
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,specimen_2__2025_04_10-16_07_15__1744294083_538976430,"four-frame curated causal windows, past-to-present",per_frame,d4d,motion_compensated_inconsistency,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.5102576613426208,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_07_15,1,3,0
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,specimen_2__2025_04_10-16_07_15__1744294083_538976430,"four-frame curated causal windows, past-to-present",per_frame,d4d,update_magnitude,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.08921024203300476,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_07_15,1,3,0
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_18_24__Clip_1__start,specimen_2__2025_04_10-16_18_24__1744294710_272859334,"four-frame curated causal windows, past-to-present",per_frame,d4d,support_coverage,support,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.9875386357307434,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_18_24,2,1,1
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_18_24__Clip_1__start,specimen_2__2025_04_10-16_18_24__1744294710_272859334,"four-frame curated causal windows, past-to-present",per_frame,d4d,motion_compensated_inconsistency,raw,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.6715513467788696,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_18_24,2,1,1
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_18_24__Clip_1__start,specimen_2__2025_04_10-16_18_24__1744294710_272859334,"four-frame curated causal windows, past-to-present",per_frame,d4d,motion_compensated_inconsistency,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.18328522145748138,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_18_24,2,1,1
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_18_24__Clip_1__start,specimen_2__2025_04_10-16_18_24__1744294710_272859334,"four-frame curated causal windows, past-to-present",per_frame,d4d,update_magnitude,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.4882661700248718,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_18_24,2,1,1
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_18_24__Clip_1__start,specimen_2__2025_04_10-16_18_24__1744294710_305197238,"four-frame curated causal windows, past-to-present",per_frame,d4d,support_coverage,support,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.9618442058563232,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_18_24,2,2,0
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_18_24__Clip_1__start,specimen_2__2025_04_10-16_18_24__1744294710_305197238,"four-frame curated causal windows, past-to-present",per_frame,d4d,motion_compensated_inconsistency,raw,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,1.0422475337982178,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_18_24,2,2,0
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_18_24__Clip_1__start,specimen_2__2025_04_10-16_18_24__1744294710_305197238,"four-frame curated causal windows, past-to-present",per_frame,d4d,motion_compensated_inconsistency,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.6294153332710266,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_18_24,2,2,0
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_18_24__Clip_1__start,specimen_2__2025_04_10-16_18_24__1744294710_305197238,"four-frame curated causal windows, past-to-present",per_frame,d4d,update_magnitude,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.18122877180576324,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_18_24,2,2,0
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_18_24__Clip_1__start,specimen_2__2025_04_10-16_18_24__1744294710_339358568,"four-frame curated causal windows, past-to-present",per_frame,d4d,support_coverage,support,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.9736111760139465,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_18_24,2,3,0
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_18_24__Clip_1__start,specimen_2__2025_04_10-16_18_24__1744294710_339358568,"four-frame curated causal windows, past-to-present",per_frame,d4d,motion_compensated_inconsistency,raw,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.39678916335105896,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_18_24,2,3,0
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_18_24__Clip_1__start,specimen_2__2025_04_10-16_18_24__1744294710_339358568,"four-frame curated causal windows, past-to-present",per_frame,d4d,motion_compensated_inconsistency,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.2628400921821594,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_18_24,2,3,0
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_18_24__Clip_1__start,specimen_2__2025_04_10-16_18_24__1744294710_339358568,"four-frame curated causal windows, past-to-present",per_frame,d4d,update_magnitude,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},value,0.2782477140426636,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,9a47f373746c11dfd1685633f69957d3232b5beaf8195684d9ba810a8c3a43b1,specimen_2,2025_04_10-16_18_24,2,3,0
