require_helpful_class,utility_margin_px,uncertainty_threshold_px,SCARED-C_raw_epe,SCARED-C_output_epe,SCARED-C_gain,SCARED-C_coverage,SCARED-C_precision,SCARED-C_harmful_acceptance,SCARED-C_false_update_rate,SCARED-C_clean_degradation
True,0.1,1.0,0.18623508512973785,0.1854124218225479,0.0008226633071899414,0.0022386855680217674,0.8446954940916764,0.08518374237112063,0.0008325987617902148,0.00019828117850073315
True,0.1,2.0,0.18623508512973785,0.1854124218225479,0.0008226633071899414,0.0022386855680217674,0.8446954940916764,0.08518374237112063,0.0008325987617902148,0.00019828117850073315
True,0.25,0.1,0.18623508512973785,0.18623508512973785,0.0,0.0,0.0,0.0,0.0,0.0
True,0.25,0.25,0.18623508512973785,0.18623508512973785,0.0,0.0,0.0,0.0,0.0,0.0
True,0.25,0.5,0.18623508512973785,0.18608225882053375,0.00015282630920410156,0.00020639744881125244,0.9845070422535211,0.005633802816901409,3.9474047787282254e-06,1.2145860857625308e-06
True,0.25,1.0,0.18623508512973785,0.18602505326271057,0.00021003186702728271,0.0002354675120241049,0.9790123456790123,0.008641975308641974,4.2510513001688575e-06,1.5182326072031635e-06
True,0.25,2.0,0.18623508512973785,0.18602505326271057,0.00021003186702728271,0.0002354675120241049,0.9790123456790123,0.008641975308641974,4.2510513001688575e-06,1.5182326072031635e-06
False,0.0,0.1,0.18623508512973785,0.17767727375030518,0.008557811379432678,0.006083492128553633,0.388302193338749,0.029292301811057485,0.004130503631156927,0.00018461708503590468
False,0.0,0.25,0.18623508512973785,0.177063450217247,0.009171634912490845,0.009369862774766603,0.540084388185654,0.05162571357656987,0.00605167517231181,0.000501016760377044
False,0.0,0.5,0.18623508512973785,0.17140533030033112,0.014829754829406738,0.01578533502521101,0.7044621646010203,0.04427174453509144,0.006648340586942653,0.0007187313162499776
False,0.0,1.0,0.18623508512973785,0.17048023641109467,0.01575484871864319,0.01632807310539497,0.7127011821677823,0.044135450790485684,0.006654717163892906,0.0007251078932002309
False,0.0,2.0,0.18623508512973785,0.17048023641109467,0.01575484871864319,0.01632807310539497,0.7127011821677823,0.044135450790485684,0.006654717163892906,0.0007251078932002309
False,0.02,0.1,0.18623508512973785,0.18540748953819275,0.000827595591545105,0.001980543406691638,0.8354616174959636,0.059885512989872304,0.001295356060465739,0.00012328048770489687
False,0.02,0.25,0.18623508512973785,0.18479351699352264,0.00144156813621521,0.005207611123950389,0.8339845930557106,0.07692307692307693,0.0031764462607904585,0.0004150847948093449
False,0.02,0.5,0.18623508512973785,0.17913557589054108,0.007099509239196777,0.011622792673762669,0.8950027512380572,0.05297383822720224,0.003773111675421302,0.0006327993506822785
False,0.02,1.0,0.18623508512973785,0.17821048200130463,0.008024603128433228,0.012165530753946625,0.8975602762312123,0.05240268584673469,0.003779488252371555,0.0006391759276325318
False,0.02,2.0,0.18623508512973785,0.17821048200130463,0.008024603128433228,0.012165530753946625,0.8975602762312123,0.05240268584673469,0.003779488252371555,0.0006391759276325318
False,0.05,0.1,0.18623508512973785,0.18623289465904236,2.1904706954956055e-06,1.3662929710040654e-05,0.9148936170212766,0.06382978723404255,6.983869993134552e-06,9.109395643218981e-07
False,0.05,0.25,0.18623508512973785,0.1856679916381836,0.0005670934915542603,0.0028657268315229953,0.8341448569689592,0.0880503144654088,0.0016478896718583136,0.00026083236191750347
False,0.05,0.5,0.18623508512973785,0.1800098568201065,0.006225228309631348,0.00927596647058909,0.910746184462064,0.050111253878216175,0.0022400003886675476,0.00047581409909747146
False,0.05,1.0,0.18623508512973785,0.17908485233783722,0.007150232791900635,0.009818704550773046,0.9130447655139744,0.04956181904310753,0.0022463769656178006,0.0004821906760477247
False,0.05,2.0,0.18623508512973785,0.17908485233783722,0.007150232791900635,0.009818704550773046,0.9130447655139744,0.04956181904310753,0.0022463769656178006,0.0004821906760477247
False,0.1,0.1,0.18623508512973785,0.18623508512973785,0.0,0.0,0.0,0.0,0.0,0.0
False,0.1,0.25,0.18623508512973785,0.18600812554359436,0.00022695958614349365,0.0009453584556819619,0.8302583025830258,0.10239852398523985,0.0004657937638899306,0.00010050699859684942
False,0.1,0.5,0.18623508512973785,0.1803564876317978,0.0058785974979400635,0.007322458222685405,0.9312001270395808,0.0411290642740879,0.0010445440337557765,0.00030789757274080157
False,0.1,1.0,0.18623508512973785,0.17943136394023895,0.006803721189498901,0.007865196302869361,0.9326581904198699,0.041062980484920165,0.0010509206107060297,0.0003142741496910549
False,0.1,2.0,0.18623508512973785,0.17943136394023895,0.006803721189498901,0.007865196302869361,0.9326581904198699,0.041062980484920165,0.0010509206107060297,0.0003142741496910549
False,0.25,0.1,0.18623508512973785,0.18623508512973785,0.0,0.0,0.0,0.0,0.0,0.0
False,0.25,0.25,0.18623508512973785,0.18623508512973785,0.0,0.0,0.0,0.0,0.0,0.0
False,0.25,0.5,0.18623508512973785,0.18136034905910492,0.004874736070632935,0.004566906930739121,0.9829408020369191,0.01222151495862508,7.773350948880197e-05,5.4049080816432624e-05
False,0.25,1.0,0.18623508512973785,0.18043531477451324,0.005799770355224609,0.005109645010923076,0.9796893667861409,0.015190305512886158,8.411008643905526e-05,6.0425657766685905e-05
False,0.25,2.0,0.18623508512973785,0.18043531477451324,0.005799770355224609,0.005109645010923076,0.9796893667861409,0.015190305512886158,8.411008643905526e-05,6.0425657766685905e-05
