dataset,scope,backbone,backbone_status,specimen,method,metric,value,session_count
D4D,macro_session,RAFT-Stereo,seen,specimen_3,raw,depth_P99,47.66682473094152,12
D4D,macro_session,RAFT-Stereo,seen,specimen_3,raw,depth_BadMM10,0.1493354246690035,12
D4D,macro_session,RAFT-Stereo,seen,specimen_3,raw,depth_InvalidRate,0.0,12
D4D,macro_session,RAFT-Stereo,seen,specimen_3,refined,disparity_EPE,2.776791045218753,12
D4D,macro_session,RAFT-Stereo,seen,specimen_3,refined,disparity_P99,32.176139605840056,12
D4D,macro_session,RAFT-Stereo,seen,specimen_3,refined,disparity_Bad3,0.15963364079288808,12
D4D,macro_session,RAFT-Stereo,seen,specimen_3,refined,disparity_InvalidRate,0.0,12
D4D,macro_session,RAFT-Stereo,seen,specimen_3,refined,depth_MAE,50.541582873058736,12
D4D,macro_session,RAFT-Stereo,seen,specimen_3,refined,depth_P99,48.70423689935037,12
D4D,macro_session,RAFT-Stereo,seen,specimen_3,refined,depth_BadMM10,0.15396596284991781,12
D4D,macro_session,RAFT-Stereo,seen,specimen_3,refined,depth_InvalidRate,0.0,12
D4D,macro_session,StereoAnywhere,seen,specimen_2,raw,disparity_EPE,8.351351439209612,8
D4D,macro_session,StereoAnywhere,seen,specimen_2,raw,disparity_P99,67.56234879493714,8
D4D,macro_session,StereoAnywhere,seen,specimen_2,raw,disparity_Bad3,0.3706009009306628,8
D4D,macro_session,StereoAnywhere,seen,specimen_2,raw,disparity_InvalidRate,0.0,8
D4D,macro_session,StereoAnywhere,seen,specimen_2,raw,depth_MAE,14.536480011569093,8
D4D,macro_session,StereoAnywhere,seen,specimen_2,raw,depth_P99,68.20419537211967,8
D4D,macro_session,StereoAnywhere,seen,specimen_2,raw,depth_BadMM10,0.2956688344919932,8
D4D,macro_session,StereoAnywhere,seen,specimen_2,raw,depth_InvalidRate,0.0,8
D4D,macro_session,StereoAnywhere,seen,specimen_2,refined,disparity_EPE,6.768916140596671,8
D4D,macro_session,StereoAnywhere,seen,specimen_2,refined,disparity_P99,56.17715727806094,8
D4D,macro_session,StereoAnywhere,seen,specimen_2,refined,disparity_Bad3,0.3179496935794637,8
D4D,macro_session,StereoAnywhere,seen,specimen_2,refined,disparity_InvalidRate,0.0,8
D4D,macro_session,StereoAnywhere,seen,specimen_2,refined,depth_MAE,2557.0116113432246,8
D4D,macro_session,StereoAnywhere,seen,specimen_2,refined,depth_P99,60.868051912043875,8
D4D,macro_session,StereoAnywhere,seen,specimen_2,refined,depth_BadMM10,0.24901711915586006,8
D4D,macro_session,StereoAnywhere,seen,specimen_2,refined,depth_InvalidRate,0.0,8
D4D,macro_session,StereoAnywhere,seen,specimen_3,raw,disparity_EPE,31.441801996569307,12
D4D,macro_session,StereoAnywhere,seen,specimen_3,raw,disparity_P99,72.98334174950917,12
D4D,macro_session,StereoAnywhere,seen,specimen_3,raw,disparity_Bad3,0.5182264288775148,12
D4D,macro_session,StereoAnywhere,seen,specimen_3,raw,disparity_InvalidRate,0.0,12
D4D,macro_session,StereoAnywhere,seen,specimen_3,raw,depth_MAE,31.326330880465857,12
D4D,macro_session,StereoAnywhere,seen,specimen_3,raw,depth_P99,70.1351286102544,12
D4D,macro_session,StereoAnywhere,seen,specimen_3,raw,depth_BadMM10,0.5115131807237879,12
D4D,macro_session,StereoAnywhere,seen,specimen_3,raw,depth_InvalidRate,0.0,12
D4D,macro_session,StereoAnywhere,seen,specimen_3,refined,disparity_EPE,16.587257860415317,12
D4D,macro_session,StereoAnywhere,seen,specimen_3,refined,disparity_P99,53.86041506131488,12
D4D,macro_session,StereoAnywhere,seen,specimen_3,refined,disparity_Bad3,0.4238429930049437,12
D4D,macro_session,StereoAnywhere,seen,specimen_3,refined,disparity_InvalidRate,0.0,12
D4D,macro_session,StereoAnywhere,seen,specimen_3,refined,depth_MAE,291.58357431317967,12
D4D,macro_session,StereoAnywhere,seen,specimen_3,refined,depth_P99,427.04379888160844,12
D4D,macro_session,StereoAnywhere,seen,specimen_3,refined,depth_BadMM10,0.41467810862684756,12
D4D,macro_session,StereoAnywhere,seen,specimen_3,refined,depth_InvalidRate,0.0,12
D4D,macro_session,CREStereo,unseen,specimen_2,raw,disparity_EPE,2.78084084394637,8
D4D,macro_session,CREStereo,unseen,specimen_2,raw,disparity_P99,33.62385308742524,8
D4D,macro_session,CREStereo,unseen,specimen_2,raw,disparity_Bad3,0.14083759416183148,8
D4D,macro_session,CREStereo,unseen,specimen_2,raw,disparity_InvalidRate,0.0,8
D4D,macro_session,CREStereo,unseen,specimen_2,raw,depth_MAE,5.145437190175247,8
D4D,macro_session,CREStereo,unseen,specimen_2,raw,depth_P99,49.495220969585475,8
D4D,macro_session,CREStereo,unseen,specimen_2,raw,depth_BadMM10,0.11659319431108578,8
D4D,macro_session,CREStereo,unseen,specimen_2,raw,depth_InvalidRate,0.0,8
D4D,macro_session,CREStereo,unseen,specimen_2,refined,disparity_EPE,2.6376497059648774,8
D4D,macro_session,CREStereo,unseen,specimen_2,refined,disparity_P99,32.921602416038525,8
D4D,macro_session,CREStereo,unseen,specimen_2,refined,disparity_Bad3,0.13299305002349066,8
D4D,macro_session,CREStereo,unseen,specimen_2,refined,disparity_InvalidRate,0.0,8
D4D,macro_session,CREStereo,unseen,specimen_2,refined,depth_MAE,5.021918480948723,8
D4D,macro_session,CREStereo,unseen,specimen_2,refined,depth_P99,49.093207581602826,8
D4D,macro_session,CREStereo,unseen,specimen_2,refined,depth_BadMM10,0.10846335702088149,8
D4D,macro_session,CREStereo,unseen,specimen_2,refined,depth_InvalidRate,0.0,8
D4D,macro_session,CREStereo,unseen,specimen_3,raw,disparity_EPE,3.840066670256991,12
D4D,macro_session,CREStereo,unseen,specimen_3,raw,disparity_P99,37.59479227860768,12
D4D,macro_session,CREStereo,unseen,specimen_3,raw,disparity_Bad3,0.15379015065732263,12
D4D,macro_session,CREStereo,unseen,specimen_3,raw,disparity_InvalidRate,0.0,12
D4D,macro_session,CREStereo,unseen,specimen_3,raw,depth_MAE,7.071645923996655,12
D4D,macro_session,CREStereo,unseen,specimen_3,raw,depth_P99,53.706943085638045,12
D4D,macro_session,CREStereo,unseen,specimen_3,raw,depth_BadMM10,0.14120668427315416,12
D4D,macro_session,CREStereo,unseen,specimen_3,raw,depth_InvalidRate,0.0,12
D4D,macro_session,CREStereo,unseen,specimen_3,refined,disparity_EPE,3.4226062175482226,12
D4D,macro_session,CREStereo,unseen,specimen_3,refined,disparity_P99,35.07687328974406,12
D4D,macro_session,CREStereo,unseen,specimen_3,refined,disparity_Bad3,0.14693083097978196,12
D4D,macro_session,CREStereo,unseen,specimen_3,refined,disparity_InvalidRate,2.8851712585004093e-06,12
D4D,macro_session,CREStereo,unseen,specimen_3,refined,depth_MAE,23059.305469619165,12
D4D,macro_session,CREStereo,unseen,specimen_3,refined,depth_P99,55.523539772361346,12
D4D,macro_session,CREStereo,unseen,specimen_3,refined,depth_BadMM10,0.13433455612463627,12
D4D,macro_session,CREStereo,unseen,specimen_3,refined,depth_InvalidRate,2.8851712585004093e-06,12
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_2,raw,disparity_EPE,4.267727466101038,8
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_2,raw,disparity_P99,34.89582332611076,8
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_2,raw,disparity_Bad3,0.2084256517358626,8
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_2,raw,disparity_InvalidRate,0.0,8
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_2,raw,depth_MAE,8.388215045074347,8
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_2,raw,depth_P99,50.48632264264119,8
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_2,raw,depth_BadMM10,0.17152584072437602,8
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_2,raw,depth_InvalidRate,0.0,8
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_2,refined,disparity_EPE,3.613720650137202,8
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_2,refined,disparity_P99,34.05988119602204,8
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_2,refined,disparity_Bad3,0.17504635518624306,8
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_2,refined,disparity_InvalidRate,0.0,8
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_2,refined,depth_MAE,2468.471169893708,8
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_2,refined,depth_P99,50.82144704412098,8
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_2,refined,depth_BadMM10,0.1403029729572315,8
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_2,refined,depth_InvalidRate,0.0,8
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_3,raw,disparity_EPE,4.596681886112677,12
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_3,raw,disparity_P99,38.94689424514771,12
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_3,raw,disparity_Bad3,0.1766245901825245,12
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_3,raw,disparity_InvalidRate,0.0,12
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_3,raw,depth_MAE,8.26723848361073,12
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_3,raw,depth_P99,54.80592988265366,12
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_3,raw,depth_BadMM10,0.16529951382825253,12
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_3,raw,depth_InvalidRate,0.0,12
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_3,refined,disparity_EPE,4.083780848457603,12
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_3,refined,disparity_P99,36.61768683433532,12
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_3,refined,disparity_Bad3,0.16731704670749545,12
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_3,refined,disparity_InvalidRate,0.0,12
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_3,refined,depth_MAE,164.94053267848042,12
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_3,refined,depth_P99,53.56895215798065,12
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_3,refined,depth_BadMM10,0.1569767815147204,12
D4D,macro_session,Fast-FoundationStereo,unseen,specimen_3,refined,depth_InvalidRate,0.0,12
