config,frame_index,modified_pixel_ratio,raw_mae,refined_mae,sequence_id
aligned_local_faithful,14,0.5199662446975708,8.349656105041504,8.21541690826416,dataset_4_keyframe_1
aligned_local_faithful,15,0.41391056776046753,7.497913360595703,7.449192047119141,dataset_4_keyframe_1
aligned_local_faithful,16,0.39627406001091003,6.6840667724609375,6.644993305206299,dataset_4_keyframe_1
aligned_local_faithful,17,0.547069787979126,9.574724197387695,9.398628234863281,dataset_4_keyframe_1
aligned_local_faithful,18,0.4056113064289093,10.442307472229004,10.337705612182617,dataset_4_keyframe_1
aligned_local_faithful,19,0.40127602219581604,8.636974334716797,8.601456642150879,dataset_4_keyframe_1
aligned_local_faithful,20,0.5765867233276367,9.90134048461914,9.78228759765625,dataset_4_keyframe_1
aligned_local_faithful,21,0.578014612197876,7.287899494171143,7.2708821296691895,dataset_4_keyframe_1
aligned_local_faithful,22,0.4586716294288635,9.060539245605469,8.94936752319336,dataset_4_keyframe_1
aligned_local_faithful,23,0.44588199257850647,9.984447479248047,9.89087963104248,dataset_4_keyframe_1
aligned_local_faithful,24,0.5311588644981384,5.842718124389648,5.86343240737915,dataset_4_keyframe_1
aligned_local_faithful,25,0.5066362619400024,8.021361351013184,7.9072723388671875,dataset_4_keyframe_1
aligned_local_faithful,26,0.42735859751701355,8.711276054382324,8.641865730285645,dataset_4_keyframe_1
aligned_local_faithful,27,0.4297980070114136,8.443680763244629,8.391653060913086,dataset_4_keyframe_1
aligned_local_faithful,28,0.4100070297718048,8.189266204833984,8.134464263916016,dataset_4_keyframe_1
aligned_local_faithful,29,0.3723105490207672,7.5717973709106445,7.5252580642700195,dataset_4_keyframe_1
aligned_local_faithful,30,0.5214410424232483,5.668398380279541,5.651330947875977,dataset_4_keyframe_1
aligned_local_faithful,31,0.43907517194747925,5.8285040855407715,5.7660346031188965,dataset_4_keyframe_1
aligned_local_faithful,32,0.5785545110702515,8.490928649902344,8.344992637634277,dataset_4_keyframe_1
