split,sequence,backbone,horizon,method,metric,aggregation,value,support
d7,dataset_7_keyframe_1,CREStereo,8,refined,TEPE_corr_px,macro_sequence,0.06433688854751139,2112235
d7,dataset_7_keyframe_1,CREStereo,8,refined,TEPE_corr_px,value,0.06433688854751139,2112235
d7,dataset_7_keyframe_1,CREStereo,8,refined,OPW_px,macro_sequence,0.09321271665952773,2112235
d7,dataset_7_keyframe_1,CREStereo,8,refined,OPW_px,value,0.09321271665952773,2112235
d7,dataset_7_keyframe_1,Fast-FoundationStereo,1,raw,TEPE_corr_px,macro_sequence,0.0471214689227268,2286995
d7,dataset_7_keyframe_1,Fast-FoundationStereo,1,raw,TEPE_corr_px,value,0.0471214689227268,2286995
d7,dataset_7_keyframe_1,Fast-FoundationStereo,1,raw,OPW_px,macro_sequence,0.042416349794161805,2286995
d7,dataset_7_keyframe_1,Fast-FoundationStereo,1,raw,OPW_px,value,0.042416349794161805,2286995
d7,dataset_7_keyframe_1,Fast-FoundationStereo,1,refined,TEPE_corr_px,macro_sequence,0.03502813733539184,2286995
d7,dataset_7_keyframe_1,Fast-FoundationStereo,1,refined,TEPE_corr_px,value,0.03502813733539184,2286995
d7,dataset_7_keyframe_1,Fast-FoundationStereo,1,refined,OPW_px,macro_sequence,0.027824129949483144,2286995
d7,dataset_7_keyframe_1,Fast-FoundationStereo,1,refined,OPW_px,value,0.027824129949483144,2286995
d7,dataset_7_keyframe_1,Fast-FoundationStereo,2,raw,TEPE_corr_px,macro_sequence,0.051848101967154524,2251969
d7,dataset_7_keyframe_1,Fast-FoundationStereo,2,raw,TEPE_corr_px,value,0.051848101967154524,2251969
d7,dataset_7_keyframe_1,Fast-FoundationStereo,2,raw,OPW_px,macro_sequence,0.05087650307257377,2251969
d7,dataset_7_keyframe_1,Fast-FoundationStereo,2,raw,OPW_px,value,0.05087650307257377,2251969
d7,dataset_7_keyframe_1,Fast-FoundationStereo,2,refined,TEPE_corr_px,macro_sequence,0.04344961204614878,2251969
d7,dataset_7_keyframe_1,Fast-FoundationStereo,2,refined,TEPE_corr_px,value,0.04344961204614878,2251969
d7,dataset_7_keyframe_1,Fast-FoundationStereo,2,refined,OPW_px,macro_sequence,0.04100444255290404,2251969
d7,dataset_7_keyframe_1,Fast-FoundationStereo,2,refined,OPW_px,value,0.04100444255290404,2251969
d7,dataset_7_keyframe_1,Fast-FoundationStereo,4,raw,TEPE_corr_px,macro_sequence,0.058003692383870244,2210750
d7,dataset_7_keyframe_1,Fast-FoundationStereo,4,raw,TEPE_corr_px,value,0.058003692383870244,2210750
d7,dataset_7_keyframe_1,Fast-FoundationStereo,4,raw,OPW_px,macro_sequence,0.06660797746022686,2210750
d7,dataset_7_keyframe_1,Fast-FoundationStereo,4,raw,OPW_px,value,0.06660797746022686,2210750
d7,dataset_7_keyframe_1,Fast-FoundationStereo,4,refined,TEPE_corr_px,macro_sequence,0.05081302221471417,2210750
d7,dataset_7_keyframe_1,Fast-FoundationStereo,4,refined,TEPE_corr_px,value,0.05081302221471417,2210750
d7,dataset_7_keyframe_1,Fast-FoundationStereo,4,refined,OPW_px,macro_sequence,0.0596853132893917,2210750
d7,dataset_7_keyframe_1,Fast-FoundationStereo,4,refined,OPW_px,value,0.0596853132893917,2210750
d7,dataset_7_keyframe_1,Fast-FoundationStereo,8,raw,TEPE_corr_px,macro_sequence,0.06814518335613384,2112235
d7,dataset_7_keyframe_1,Fast-FoundationStereo,8,raw,TEPE_corr_px,value,0.06814518335613384,2112235
d7,dataset_7_keyframe_1,Fast-FoundationStereo,8,raw,OPW_px,macro_sequence,0.09750623354490001,2112235
d7,dataset_7_keyframe_1,Fast-FoundationStereo,8,raw,OPW_px,value,0.09750623354490001,2112235
d7,dataset_7_keyframe_1,Fast-FoundationStereo,8,refined,TEPE_corr_px,macro_sequence,0.0616037059838856,2112235
d7,dataset_7_keyframe_1,Fast-FoundationStereo,8,refined,TEPE_corr_px,value,0.0616037059838856,2112235
d7,dataset_7_keyframe_1,Fast-FoundationStereo,8,refined,OPW_px,macro_sequence,0.09178107650171294,2112235
d7,dataset_7_keyframe_1,Fast-FoundationStereo,8,refined,OPW_px,value,0.09178107650171294,2112235
d7,dataset_7_keyframe_2,S2M2-S,1,raw,TEPE_corr_px,macro_sequence,0.06825010010937226,162512
d7,dataset_7_keyframe_2,S2M2-S,1,raw,TEPE_corr_px,value,0.06825010010937226,162512
d7,dataset_7_keyframe_2,S2M2-S,1,raw,OPW_px,macro_sequence,0.06697575578225273,162512
d7,dataset_7_keyframe_2,S2M2-S,1,raw,OPW_px,value,0.06697575578225273,162512
d7,dataset_7_keyframe_2,S2M2-S,1,refined,TEPE_corr_px,macro_sequence,0.05497331011068801,162512
d7,dataset_7_keyframe_2,S2M2-S,1,refined,TEPE_corr_px,value,0.05497331011068801,162512
d7,dataset_7_keyframe_2,S2M2-S,1,refined,OPW_px,macro_sequence,0.05040923311412951,162512
d7,dataset_7_keyframe_2,S2M2-S,1,refined,OPW_px,value,0.05040923311412951,162512
d7,dataset_7_keyframe_2,S2M2-S,2,raw,TEPE_corr_px,macro_sequence,0.06978421967074004,158773
d7,dataset_7_keyframe_2,S2M2-S,2,raw,TEPE_corr_px,value,0.06978421967074004,158773
d7,dataset_7_keyframe_2,S2M2-S,2,raw,OPW_px,macro_sequence,0.08498868351038287,158773
d7,dataset_7_keyframe_2,S2M2-S,2,raw,OPW_px,value,0.08498868351038287,158773
d7,dataset_7_keyframe_2,S2M2-S,2,refined,TEPE_corr_px,macro_sequence,0.06507230206679171,158773
d7,dataset_7_keyframe_2,S2M2-S,2,refined,TEPE_corr_px,value,0.06507230206679171,158773
d7,dataset_7_keyframe_2,S2M2-S,2,refined,OPW_px,macro_sequence,0.07549495985575043,158773
d7,dataset_7_keyframe_2,S2M2-S,2,refined,OPW_px,value,0.07549495985575043,158773
d7,dataset_7_keyframe_2,S2M2-S,4,raw,TEPE_corr_px,macro_sequence,0.08346343282822541,140775
d7,dataset_7_keyframe_2,S2M2-S,4,raw,TEPE_corr_px,value,0.08346343282822541,140775
