sequence_id,num_frames_total,frames_evaluated,frames_skipped,valid_pixel_pct_mean,valid_pixel_pct_min,valid_pixel_pct_max,disparity_mae_mean,disparity_mae_median,disparity_rmse_mean,bad_1px_mean,bad_2px_mean,bad_3px_mean,depth_mae_mean,depth_mae_median,runtime_ms_mean,runtime_ms_median,warnings
dataset_4_keyframe_2,540,540,0,0.36054854922824436,0.22529983520507812,0.5380775451660156,6.834366183543665,6.505090469833616,9.984503550299518,82.84588235254333,68.23139747451938,56.75886259568288,3.5949964823220957,3.4802260914404046,57.15391691558546,57.01846652664244,
dataset_4_keyframe_3,407,366,41,0.17424734991949958,0.02691497802734375,0.462469482421875,10.28876536399717,9.58044239265379,14.166993374436553,90.52314683132155,81.57225433745462,73.43564551244897,4.481146336229445,4.232384952367164,57.386637010733736,57.21940705552697,low_valid_pixel_pct
dataset_4_keyframe_4,348,323,25,0.15214270668468255,0.03425750732421875,0.4120086669921875,20.030629586179547,15.831127211541705,21.620000419551577,96.97315507579421,94.00760655186625,91.1538297223239,5.109387308542862,4.383641736561283,57.192002359673886,57.03960917890072,low_valid_pixel_pct
dataset_5_keyframe_1,197,197,0,0.4006560233643818,0.34549636840820314,0.46566619873046877,19.443522059571265,16.61535544857026,25.266940672710454,91.29949664680062,84.0344839670162,78.63989973075365,10.306404509813039,8.979866796073537,57.548687751948606,57.19583900645375,
dataset_5_keyframe_2,1673,1565,108,0.1811160792723004,0.00783843994140625,0.34533538818359377,22.18017049642852,16.534077088535163,27.850990911925148,95.46173173001452,91.01162051968686,86.61120137463669,5.81993525343394,5.066614484009725,57.34759696190969,57.143551064655185,low_valid_pixel_pct
dataset_5_keyframe_3,1440,1263,177,0.19746236006418863,2.44140625e-05,0.43808746337890625,18.46372969081005,11.451777997808664,23.745850657426196,94.24100758546268,88.3935917483148,82.63394635000691,6.0842351524218,4.69959937761055,57.39056003156102,57.218692963942885,low_valid_pixel_pct;low_valid_pixel_pct;extreme_depth_outlier
dataset_5_keyframe_4,411,411,0,0.31349045505198825,0.18528518676757813,0.5007438659667969,10.872851227573369,8.834870574334186,13.52375607987032,92.16657075649476,84.54572916148706,77.2234367671776,3.7087434155471324,3.64992628850613,57.40128668736657,57.2042060084641,
dataset_6_keyframe_1,637,637,0,0.29317364295947496,0.20359268188476562,0.5735511779785156,2.1984791113034543,2.0808513208532697,2.905597924229237,65.8609134355846,41.022067427550624,24.989091838662734,2.0262191558604936,1.724710279211175,57.189751686923074,56.98609980754554,
dataset_6_keyframe_2,1087,1055,32,0.17805567638744646,0.0418792724609375,0.5311515808105469,5.150513123565584,3.647138337122311,5.935058372487907,82.54313231560467,67.40771923738336,54.83876130687447,2.0685804523646167,1.7977848046007758,57.01646445985548,56.773500982671976,low_valid_pixel_pct
dataset_6_keyframe_3,1573,1400,173,0.188960431990772,0.01057891845703125,0.6085617065429687,3.6544819328253846,2.4404695302832167,4.382552850562991,74.62355819906195,52.6822180431075,36.346568571169314,3.517273894761075,2.384759295010758,56.66032995862354,56.437090039253235,low_valid_pixel_pct
dataset_6_keyframe_4,1360,1334,26,0.2528798552120433,0.04331817626953125,0.6187103271484375,5.89130060297308,3.5287515522873893,7.755485483571355,76.84863073951361,58.381437793971784,44.88199535708873,4.0406479978592325,2.7998981583225446,57.184463987864184,56.926948484033346,low_valid_pixel_pct
dataset_7_keyframe_1,647,647,0,0.2248178496795607,0.09028167724609375,0.40900421142578125,2.381847070895342,2.375212251419987,4.86786218865836,59.37858127258299,32.38645125147544,18.70409727783319,2.8032345423313325,2.741403872085526,56.99732235036905,56.89004296436906,
dataset_7_keyframe_2,628,628,0,0.12360826237186506,0.06670379638671875,0.34561691284179685,5.08548632431493,5.12180634196636,8.484864951134247,83.2521202438788,68.42425296211937,55.98328273065582,1.841357682917296,1.791015234811396,57.22813939365742,56.874045985750854,
dataset_7_keyframe_3,584,440,144,0.11012379110675968,0.00706939697265625,0.3501701354980469,9.804030399761483,4.649888338175858,21.891778939428047,57.32010397595313,34.78744057842849,25.103893081999487,5.870868868373654,4.637319878733984,59.55766527437266,57.36646556761116,low_valid_pixel_pct
dataset_7_keyframe_4,2197,1467,730,0.09795418497536146,0.0,0.49475555419921874,6.354396106350698,5.626357885185714,8.976244496272837,84.3609667994659,70.03058020717371,57.92420164585913,2.9858841097746858,2.871653432298694,57.46472757195402,56.851772824302316,low_valid_pixel_pct
