backbone,sequence,support_coverage
CREStereo,dataset_7_keyframe_1,0.9744801512287334
CREStereo,dataset_7_keyframe_1,0.9744075829383886
CREStereo,dataset_7_keyframe_1,0.9755576649264357
CREStereo,dataset_7_keyframe_1,0.9755979705242812
CREStereo,dataset_7_keyframe_1,0.9865657059110894
CREStereo,dataset_7_keyframe_1,0.9894036471168063
CREStereo,dataset_7_keyframe_1,0.9898060666335157
CREStereo,dataset_7_keyframe_1,0.9902206619859579
CREStereo,dataset_7_keyframe_1,0.9939255884586181
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,0.9986814345991561
CREStereo,dataset_7_keyframe_1,0.9897691500524659
CREStereo,dataset_7_keyframe_1,0.9898558462359851
CREStereo,dataset_7_keyframe_1,0.9899918853124154
CREStereo,dataset_7_keyframe_1,0.9932678821879383
CREStereo,dataset_7_keyframe_1,0.999421965317919
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,0.9996438746438746
CREStereo,dataset_7_keyframe_1,0.9992695398100804
CREStereo,dataset_7_keyframe_1,0.9985080193957478
CREStereo,dataset_7_keyframe_1,0.9988649262202043
CREStereo,dataset_7_keyframe_1,0.9980166600555335
CREStereo,dataset_7_keyframe_1,0.9923139158576052
CREStereo,dataset_7_keyframe_1,0.9974293059125964
CREStereo,dataset_7_keyframe_1,0.9910179640718563
CREStereo,dataset_7_keyframe_1,0.9912967798085291
CREStereo,dataset_7_keyframe_1,0.9948837209302326
CREStereo,dataset_7_keyframe_1,0.9924599434495759
CREStereo,dataset_7_keyframe_1,0.9965669445806769
CREStereo,dataset_7_keyframe_1,0.9994944388270981
CREStereo,dataset_7_keyframe_1,0.9932920536635707
CREStereo,dataset_7_keyframe_1,0.9922480620155039
CREStereo,dataset_7_keyframe_1,0.9916107382550335
CREStereo,dataset_7_keyframe_1,0.998792270531401
CREStereo,dataset_7_keyframe_1,0.9835547122074636
CREStereo,dataset_7_keyframe_1,0.999322951929587
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,0.9921652421652422
CREStereo,dataset_7_keyframe_1,0.9797297297297297
CREStereo,dataset_7_keyframe_1,0.9796992481203007
CREStereo,dataset_7_keyframe_1,0.9658678286129266
CREStereo,dataset_7_keyframe_1,0.9542097488921714
CREStereo,dataset_7_keyframe_1,0.9538228614685844
CREStereo,dataset_7_keyframe_1,0.9477941176470588
CREStereo,dataset_7_keyframe_1,0.9294369208838203
CREStereo,dataset_7_keyframe_1,0.9323671497584541
CREStereo,dataset_7_keyframe_1,0.9139710942876806
CREStereo,dataset_7_keyframe_1,0.9082758620689655
CREStereo,dataset_7_keyframe_1,0.9196488858879136
CREStereo,dataset_7_keyframe_1,0.9271746459878625
CREStereo,dataset_7_keyframe_1,0.9188267394270123
CREStereo,dataset_7_keyframe_1,0.9193006052454606
CREStereo,dataset_7_keyframe_1,0.9344473007712082
CREStereo,dataset_7_keyframe_1,0.9443708609271523
CREStereo,dataset_7_keyframe_1,0.9600785340314136
CREStereo,dataset_7_keyframe_1,0.9655172413793104
CREStereo,dataset_7_keyframe_1,0.974390243902439
CREStereo,dataset_7_keyframe_1,0.9769900497512438
CREStereo,dataset_7_keyframe_1,0.9868421052631579
CREStereo,dataset_7_keyframe_1,0.9890552995391705
CREStereo,dataset_7_keyframe_1,0.9925756710451171
CREStereo,dataset_7_keyframe_1,0.9932508436445444
CREStereo,dataset_7_keyframe_1,0.99572877736252
CREStereo,dataset_7_keyframe_1,0.9946178686759957
CREStereo,dataset_7_keyframe_1,0.9979328165374677
CREStereo,dataset_7_keyframe_1,0.9973876698014629
CREStereo,dataset_7_keyframe_1,0.9984939759036144
CREStereo,dataset_7_keyframe_1,0.9984717269485481
CREStereo,dataset_7_keyframe_1,0.9980573093734822
CREStereo,dataset_7_keyframe_1,0.9980059820538385
CREStereo,dataset_7_keyframe_1,0.9985059760956175
CREStereo,dataset_7_keyframe_1,0.9980713596914176
CREStereo,dataset_7_keyframe_1,0.9985044865403788
CREStereo,dataset_7_keyframe_1,0.9955947136563876
CREStereo,dataset_7_keyframe_1,0.996078431372549
CREStereo,dataset_7_keyframe_1,0.9952153110047847
CREStereo,dataset_7_keyframe_1,0.993844696969697
CREStereo,dataset_7_keyframe_1,0.991264367816092
CREStereo,dataset_7_keyframe_1,0.9906367041198502
CREStereo,dataset_7_keyframe_1,0.9904065783462769
CREStereo,dataset_7_keyframe_1,0.992255125284738
CREStereo,dataset_7_keyframe_1,0.9737793851717902
CREStereo,dataset_7_keyframe_1,0.9757521329142343
CREStereo,dataset_7_keyframe_1,0.9706013363028954
CREStereo,dataset_7_keyframe_1,0.9542857142857143
CREStereo,dataset_7_keyframe_1,0.9447585906916051
CREStereo,dataset_7_keyframe_1,0.9501289767841788
CREStereo,dataset_7_keyframe_1,0.947011445527766
CREStereo,dataset_7_keyframe_1,0.9396336386344712
CREStereo,dataset_7_keyframe_1,0.9388682362660058
CREStereo,dataset_7_keyframe_1,0.9441318327974276
CREStereo,dataset_7_keyframe_1,0.9317252657399836
CREStereo,dataset_7_keyframe_1,0.9338635412306404
CREStereo,dataset_7_keyframe_1,0.9432968813284731
CREStereo,dataset_7_keyframe_1,0.9452166802943581
CREStereo,dataset_7_keyframe_1,0.9371428571428572
CREStereo,dataset_7_keyframe_1,0.9528712871287128
CREStereo,dataset_7_keyframe_1,0.9551357733175915
CREStereo,dataset_7_keyframe_1,0.95078125
CREStereo,dataset_7_keyframe_1,0.958974358974359
CREStereo,dataset_7_keyframe_1,0.9655445544554455
CREStereo,dataset_7_keyframe_1,0.9653406853091768
CREStereo,dataset_7_keyframe_1,0.9706473663047849
CREStereo,dataset_7_keyframe_1,0.9689681923972071
CREStereo,dataset_7_keyframe_1,0.9834905660377359
CREStereo,dataset_7_keyframe_1,0.9858128834355828
CREStereo,dataset_7_keyframe_1,0.9884139033160207
CREStereo,dataset_7_keyframe_1,0.9893700787401575
CREStereo,dataset_7_keyframe_1,0.9875631558492033
CREStereo,dataset_7_keyframe_1,0.9900268507863444
CREStereo,dataset_7_keyframe_1,0.994276993513926
CREStereo,dataset_7_keyframe_1,0.995105421686747
CREStereo,dataset_7_keyframe_1,0.9966517857142857
CREStereo,dataset_7_keyframe_1,0.9967008797653959
CREStereo,dataset_7_keyframe_1,0.9967129291453616
CREStereo,dataset_7_keyframe_1,0.9985835694050992
CREStereo,dataset_7_keyframe_1,0.9989583333333333
CREStereo,dataset_7_keyframe_1,0.9989687177724303
CREStereo,dataset_7_keyframe_1,0.998960498960499
CREStereo,dataset_7_keyframe_1,0.9989905787348586
CREStereo,dataset_7_keyframe_1,0.9979702300405954
CREStereo,dataset_7_keyframe_1,0.9983062330623306
CREStereo,dataset_7_keyframe_1,0.9993429697766097
CREStereo,dataset_7_keyframe_1,0.9990291262135922
CREStereo,dataset_7_keyframe_1,0.9977520873474631
CREStereo,dataset_7_keyframe_1,0.9974811083123426
CREStereo,dataset_7_keyframe_1,0.9966299019607843
CREStereo,dataset_7_keyframe_1,0.9949763593380615
CREStereo,dataset_7_keyframe_1,0.9953515398024404
CREStereo,dataset_7_keyframe_1,0.9960674157303371
