scope,backbone,method,age_frames,temporal_metric,geometry_gain_epe,temporal_gain
Fast-FoundationStereo,Fast-FoundationStereo,h4,2,nr_tce,0.01068601054757784,0.0002948850828795946
Fast-FoundationStereo,Fast-FoundationStereo,immutable,2,gt_tce,-0.005266467618040838,-0.010449689673259273
Fast-FoundationStereo,Fast-FoundationStereo,immutable,2,rgt_tce,-0.005266467618040838,-0.0008872679841294842
Fast-FoundationStereo,Fast-FoundationStereo,immutable,2,nr_tce,-0.005266467618040838,-0.00024470196112629135
Fast-FoundationStereo,Fast-FoundationStereo,h4,4,gt_tce,0.01068601054757784,-0.004435041050724536
Fast-FoundationStereo,Fast-FoundationStereo,h4,4,rgt_tce,0.01068601054757784,-0.0003350787519695157
Fast-FoundationStereo,Fast-FoundationStereo,h4,4,nr_tce,0.01068601054757784,0.00023834302171384276
Fast-FoundationStereo,Fast-FoundationStereo,immutable,4,gt_tce,-0.005266467618040838,-0.01498939690203567
Fast-FoundationStereo,Fast-FoundationStereo,immutable,4,rgt_tce,-0.005266467618040838,-0.001235227145658168
Fast-FoundationStereo,Fast-FoundationStereo,immutable,4,nr_tce,-0.005266467618040838,-0.00017536978755423524
Fast-FoundationStereo,Fast-FoundationStereo,h4,8,gt_tce,0.01068601054757784,-0.008443632103105683
Fast-FoundationStereo,Fast-FoundationStereo,h4,8,rgt_tce,0.01068601054757784,-0.0006801205348012573
Fast-FoundationStereo,Fast-FoundationStereo,h4,8,nr_tce,0.01068601054757784,0.00030589638767943017
Fast-FoundationStereo,Fast-FoundationStereo,immutable,8,gt_tce,-0.005266467618040838,-0.024165362173360246
Fast-FoundationStereo,Fast-FoundationStereo,immutable,8,rgt_tce,-0.005266467618040838,-0.0019342641845596052
Fast-FoundationStereo,Fast-FoundationStereo,immutable,8,nr_tce,-0.005266467618040838,0.0002777314804349243
RAFT-Stereo,RAFT-Stereo,h4,1,gt_tce,0.010822484016900724,-0.003114694733753455
RAFT-Stereo,RAFT-Stereo,h4,1,rgt_tce,0.010822484016900724,-0.00014698765262110072
RAFT-Stereo,RAFT-Stereo,h4,1,nr_tce,0.010822484016900724,0.0004912285905176571
RAFT-Stereo,RAFT-Stereo,immutable,1,gt_tce,-0.006559196642338061,-0.008852623436547594
RAFT-Stereo,RAFT-Stereo,immutable,1,rgt_tce,-0.006559196642338061,-0.0007864537845789174
RAFT-Stereo,RAFT-Stereo,immutable,1,nr_tce,-0.006559196642338061,-0.00023133956603176714
RAFT-Stereo,RAFT-Stereo,h4,2,gt_tce,0.010822484016900724,-0.008544369718478072
RAFT-Stereo,RAFT-Stereo,h4,2,rgt_tce,0.010822484016900724,-0.0006287975318078108
RAFT-Stereo,RAFT-Stereo,h4,2,nr_tce,0.010822484016900724,0.00030687481474632634
RAFT-Stereo,RAFT-Stereo,immutable,2,gt_tce,-0.006559196642338061,-0.011317746691323696
RAFT-Stereo,RAFT-Stereo,immutable,2,rgt_tce,-0.006559196642338061,-0.0009733131714079954
RAFT-Stereo,RAFT-Stereo,immutable,2,nr_tce,-0.006559196642338061,-0.00024057832408256544
RAFT-Stereo,RAFT-Stereo,h4,4,gt_tce,0.010822484016900724,-0.003948936495064621
RAFT-Stereo,RAFT-Stereo,h4,4,rgt_tce,0.010822484016900724,-0.00029527468351981745
RAFT-Stereo,RAFT-Stereo,h4,4,nr_tce,0.010822484016900724,0.0002259466111194583
RAFT-Stereo,RAFT-Stereo,immutable,4,gt_tce,-0.006559196642338061,-0.01631916011900724
RAFT-Stereo,RAFT-Stereo,immutable,4,rgt_tce,-0.006559196642338061,-0.0013572495224977638
RAFT-Stereo,RAFT-Stereo,immutable,4,nr_tce,-0.006559196642338061,-0.00017074540849026758
RAFT-Stereo,RAFT-Stereo,h4,8,gt_tce,0.010822484016900724,-0.007866562633479748
RAFT-Stereo,RAFT-Stereo,h4,8,rgt_tce,0.010822484016900724,-0.0006367391995946037
RAFT-Stereo,RAFT-Stereo,h4,8,nr_tce,0.010822484016900724,0.000270019072213315
RAFT-Stereo,RAFT-Stereo,immutable,8,gt_tce,-0.006559196642338061,-0.026040938425064802
RAFT-Stereo,RAFT-Stereo,immutable,8,rgt_tce,-0.006559196642338061,-0.002110697748046237
RAFT-Stereo,RAFT-Stereo,immutable,8,nr_tce,-0.006559196642338061,0.00022590724173335644
S2M2-S,S2M2-S,h4,1,gt_tce,0.009860850908964214,-0.003536474275160441
S2M2-S,S2M2-S,h4,1,rgt_tce,0.009860850908964214,-0.00019474882049357002
S2M2-S,S2M2-S,h4,1,nr_tce,0.009860850908964214,0.0005102102266317955
S2M2-S,S2M2-S,immutable,1,gt_tce,-0.005353693108611779,-0.00837507875734702
S2M2-S,S2M2-S,immutable,1,rgt_tce,-0.005353693108611779,-0.0007340227783140855
S2M2-S,S2M2-S,immutable,1,nr_tce,-0.005353693108611779,-0.00021139103304846675
S2M2-S,S2M2-S,h4,2,gt_tce,0.009860850908964214,-0.008551374673288592
S2M2-S,S2M2-S,h4,2,rgt_tce,0.009860850908964214,-0.0006288551297705227
S2M2-S,S2M2-S,h4,2,nr_tce,0.009860850908964214,0.0003346826925108145
S2M2-S,S2M2-S,immutable,2,gt_tce,-0.005353693108611779,-0.010687037221016951
S2M2-S,S2M2-S,immutable,2,rgt_tce,-0.005353693108611779,-0.0009092023208825571
S2M2-S,S2M2-S,immutable,2,nr_tce,-0.005353693108611779,-0.0002121121979997932
S2M2-S,S2M2-S,h4,4,gt_tce,0.009860850908964214,-0.003093626345353623
S2M2-S,S2M2-S,h4,4,rgt_tce,0.009860850908964214,-0.00021842226339035186
S2M2-S,S2M2-S,h4,4,nr_tce,0.009860850908964214,0.0002459796561036856
S2M2-S,S2M2-S,immutable,4,gt_tce,-0.005353693108611779,-0.015144318219139329
S2M2-S,S2M2-S,immutable,4,rgt_tce,-0.005353693108611779,-0.0012505705822284303
S2M2-S,S2M2-S,immutable,4,nr_tce,-0.005353693108611779,-0.00011885002939727649
S2M2-S,S2M2-S,h4,8,gt_tce,0.009860850908964214,-0.006814028276075572
S2M2-S,S2M2-S,h4,8,rgt_tce,0.009860850908964214,-0.0005370588108984074
S2M2-S,S2M2-S,h4,8,nr_tce,0.009860850908964214,0.000292053664406159
S2M2-S,S2M2-S,immutable,8,gt_tce,-0.005353693108611779,-0.023612826972725667
S2M2-S,S2M2-S,immutable,8,rgt_tce,-0.005353693108611779,-0.001896238498096288
S2M2-S,S2M2-S,immutable,8,nr_tce,-0.005353693108611779,0.0003067649649730782
StereoAnywhere,StereoAnywhere,h4,1,gt_tce,0.022528976454906646,0.01070381309006442
StereoAnywhere,StereoAnywhere,h4,1,rgt_tce,0.022528976454906646,0.0009244219759460708
StereoAnywhere,StereoAnywhere,h4,1,nr_tce,0.022528976454906646,0.0012716002991712307
StereoAnywhere,StereoAnywhere,immutable,1,gt_tce,0.00615364046647604,0.0025529498441649034
StereoAnywhere,StereoAnywhere,immutable,1,rgt_tce,0.00615364046647604,6.657111986744894e-05
StereoAnywhere,StereoAnywhere,immutable,1,nr_tce,0.00615364046647604,0.0003083593151883505
StereoAnywhere,StereoAnywhere,h4,2,gt_tce,0.022528976454906646,0.005729782059620228
StereoAnywhere,StereoAnywhere,h4,2,rgt_tce,0.022528976454906646,0.0004869959083045432
StereoAnywhere,StereoAnywhere,h4,2,nr_tce,0.022528976454906646,0.0010788436547598292
StereoAnywhere,StereoAnywhere,immutable,2,gt_tce,0.00615364046647604,0.0007710822059711492
StereoAnywhere,StereoAnywhere,immutable,2,rgt_tce,0.00615364046647604,-6.226810903582798e-05
StereoAnywhere,StereoAnywhere,immutable,2,nr_tce,0.00615364046647604,0.00041589775811298225
StereoAnywhere,StereoAnywhere,h4,4,gt_tce,0.022528976454906646,0.010831860743063498
StereoAnywhere,StereoAnywhere,h4,4,rgt_tce,0.022528976454906646,0.00087006905582268
StereoAnywhere,StereoAnywhere,h4,4,nr_tce,0.022528976454906646,0.0009649800072702077
StereoAnywhere,StereoAnywhere,immutable,4,gt_tce,0.00615364046647604,-0.0030246074882456925
StereoAnywhere,StereoAnywhere,immutable,4,rgt_tce,0.00615364046647604,-0.0003566497329246729
StereoAnywhere,StereoAnywhere,immutable,4,nr_tce,0.00615364046647604,0.000701544595135507
StereoAnywhere,StereoAnywhere,h4,8,gt_tce,0.022528976454906646,0.008021247609108502
StereoAnywhere,StereoAnywhere,h4,8,rgt_tce,0.022528976454906646,0.000631170991821371
StereoAnywhere,StereoAnywhere,h4,8,nr_tce,0.022528976454906646,0.0010328751873233365
StereoAnywhere,StereoAnywhere,immutable,8,gt_tce,0.00615364046647604,-0.010770150311702698
StereoAnywhere,StereoAnywhere,immutable,8,rgt_tce,0.00615364046647604,-0.0009401601701643416
StereoAnywhere,StereoAnywhere,immutable,8,nr_tce,0.00615364046647604,0.001064821098879204
ALL,ALL,h4,1,gt_tce,0.01299973992704545,-0.000672782818968605
ALL,ALL,h4,1,rgt_tce,0.01299973992704545,3.533907424460971e-05
ALL,ALL,h4,1,nr_tce,0.01299973992704545,0.0006545586888062
ALL,ALL,immutable,1,gt_tce,-0.0030937957916382097,-0.006117568857361921
ALL,ALL,immutable,1,rgt_tce,-0.0030937957916382097,-0.0005706343714483816
ALL,ALL,immutable,1,nr_tce,-0.0030937957916382097,-0.0001070166816119775
ALL,ALL,h4,2,gt_tce,0.01299973992704545,-0.005812138877314528
ALL,ALL,h4,2,rgt_tce,0.01299973992704545,-0.00041516962915067726
ALL,ALL,h4,2,nr_tce,0.01299973992704545,0.0004770436250921906
ALL,ALL,immutable,2,gt_tce,-0.0030937957916382097,-0.008382861783015609
ALL,ALL,immutable,2,rgt_tce,-0.0030937957916382097,-0.0007403006664551373
ALL,ALL,immutable,2,nr_tce,-0.0030937957916382097,-8.792585045045657e-05
ALL,ALL,h4,4,gt_tce,0.01299973992704545,-0.0007638044174114594
ALL,ALL,h4,4,rgt_tce,0.01299973992704545,-3.9188929567991054e-05
ALL,ALL,h4,4,nr_tce,0.01299973992704545,0.0003905564771261288
ALL,ALL,immutable,4,gt_tce,-0.0030937957916382097,-0.012875370964015365
ALL,ALL,immutable,4,rgt_tce,-0.0030937957916382097,-0.001085741405285022
ALL,ALL,immutable,4,nr_tce,-0.0030937957916382097,4.2882456162978214e-05
ALL,ALL,h4,8,gt_tce,0.01299973992704545,-0.004473411322616951
ALL,ALL,h4,8,rgt_tce,0.01299973992704545,-0.00035783467478236585
ALL,ALL,h4,8,nr_tce,0.01299973992704545,0.00045099287195650775
ALL,ALL,immutable,8,gt_tce,-0.0030937957916382097,-0.02172526294817937
ALL,ALL,immutable,8,rgt_tce,-0.0030937957916382097,-0.0017613338511434122
ALL,ALL,immutable,8,nr_tce,-0.0030937957916382097,0.0004486762412640073
