namespace,coverage_threshold,backbone,sequence,method,epe,bad1,bad3,absrel,boundary_epe,false_update_rate,clean_degradation_ratio,clean_update_mean,new_bad3,valid_count,clean_count,raw_good3_count,boundary_count,common_valid_ratio,frames,frames_worsened_ratio,worst_frame_degradation,p95_frame_degradation
cache,0.5,S2M2-S,dataset_7_keyframe_1,oracle,0.14530985614025224,0.005898386634002075,0.001964289655476837,0.018820143560776673,0.14931968152214423,0.17527562530236032,0.0,0.0234115486441785,0.0,724944,706938,723412,635413,0.2185040509259259,128,0.0,-0.008605971932411194,-0.014634045213460923
cache,0.9,S2M2-S,dataset_7_keyframe_1,raw,0.31171033531427383,0.09090909090909091,0.0,0.03693152650852095,0.31171033531427383,0.0,0.0,0.0,0.0,22,20,22,22,6.630979938271604e-06,128,0.0,0.0,0.0
cache,0.9,S2M2-S,dataset_7_keyframe_1,memory,0.316072052852674,0.09090909090909091,0.0,0.037105742037634955,0.316072052852674,0.2,0.2,0.03313813237473369,0.0,22,20,22,22,6.630979938271604e-06,128,0.6666666666666666,0.09574699401855469,0.07729949951171873
cache,0.9,S2M2-S,dataset_7_keyframe_1,blend_0.1,0.3118056377226656,0.09090909090909091,0.0,0.036895436996763405,0.3118056377226656,0.0,0.0,0.0033138513565063475,0.0,22,20,22,22,6.630979938271604e-06,128,0.6666666666666666,0.009573936462402344,0.007729148864746092
cache,0.9,S2M2-S,dataset_7_keyframe_1,blend_0.25,0.3119487545707009,0.09090909090909091,0.0,0.036841315725310284,0.3119487545707009,0.0,0.05,0.008284521021414549,0.0,22,20,22,22,6.630979938271604e-06,128,0.6666666666666666,0.023937225341796875,0.019325256347656247
cache,0.9,S2M2-S,dataset_7_keyframe_1,blend_0.5,0.31218708645213733,0.09090909090909091,0.0,0.036751094020225784,0.31218708645213733,0.05,0.1,0.016569041972979905,0.0,22,20,22,22,6.630979938271604e-06,128,0.6666666666666666,0.047873497009277344,0.03864994049072265
cache,0.9,S2M2-S,dataset_7_keyframe_1,heuristic_gate,0.31186420301144774,0.09090909090909091,0.0,0.03673224261199886,0.31186420301144774,0.0,0.1,0.015121769765391946,0.0,22,20,22,22,6.630979938271604e-06,128,0.6666666666666666,0.04277515411376953,0.03377971649169921
cache,0.9,S2M2-S,dataset_7_keyframe_1,learned_refiner,0.28941828554326837,0.09090909090909091,0.0,0.033490985801274124,0.28941828554326837,0.9,0.35,0.06691055204719305,0.0,22,20,22,22,6.630979938271604e-06,128,0.3333333333333333,0.008994266390800476,0.00622930824756622
cache,0.9,S2M2-S,dataset_7_keyframe_1,oracle,0.29722857441414485,0.09090909090909091,0.0,0.03467427291484042,0.29722857441414485,0.1,0.0,0.019679069239646196,0.0,22,20,22,22,6.630979938271604e-06,128,0.0,0.0,0.0
cache,0.05,RAFT-Stereo,dataset_7_keyframe_1,raw,0.2217952282290994,0.02137057524186052,0.0035189348816110706,0.020707143134383488,0.28188955386609255,0.0,0.0,0.0,0.0,2735771,2533658,2726144,1662317,0.824583755304784,128,0.0,0.0,0.0
